date,probability
1960-01-31,0.10471875414617808
1960-02-28,0.09761965395539676
1960-03-31,0.10580624414779871
1960-04-30,0.10864796534215934
1960-05-31,0.07698293982699173
1960-06-30,0.11438843104862761
1960-07-31,0.10601209099164731
1960-08-31,0.12516657396515543
1960-09-30,0.19047429330965582
1960-10-31,0.21927365735358317
1960-11-30,0.23912556530130025
1960-12-31,0.2784863186390828
1961-01-31,0.24251766964713556
1961-02-28,0.20946545419964918
1961-03-31,0.13978285346200475
1961-04-30,0.12456025292687323
1961-05-31,0.12350382646048627
1961-06-30,0.058025906399498006
1961-07-31,0.06460216980140837
1961-08-31,0.07298050351424254
1961-09-30,0.0906087255546152
1961-10-31,0.06540480235912162
1961-11-30,0.06801009230805476
1961-12-31,0.06530142882950694
1962-01-31,0.06447944501448101
1962-02-28,0.08638693250537466
1962-03-31,0.08730884483359645
1962-04-30,0.07383929238745204
1962-05-31,0.08023836426378843
1962-06-30,0.06875788729292628
1962-07-31,0.05834025557314497
1962-08-31,0.060881625657642935
1962-09-30,0.05695357211032259
1962-10-31,0.06301987799909164
1962-11-30,0.07698673587217783
1962-12-31,0.07728370836024258
1963-01-31,0.08720311348082052
1963-02-28,0.09236125992245622
1963-03-31,0.10325307001317906
1963-04-30,0.11511747748079694
1963-05-31,0.10660799273263585
1963-06-30,0.1067380334370151
1963-07-31,0.11827323767407302
1963-08-31,0.10938719456437308
1963-09-30,0.10458833436109424
1963-10-31,0.10561027974508402
1963-11-30,0.11794881900875653
1963-12-31,0.13108488272130625
1964-01-31,0.14091072919089886
1964-02-28,0.1299361431942146
1964-03-31,0.12454495964617882
1964-04-30,0.12072508023839248
1964-05-31,0.12997503389038031
1964-06-30,0.1302100230149205
1964-07-31,0.15373997212160695
1964-08-31,0.17969747406188497
1964-09-30,0.17670623064513574
1964-10-31,0.18372255822172678
1964-11-30,0.19437902220915676
1964-12-31,0.19264192245964776
1965-01-31,0.1857888897622164
1965-02-28,0.19096982545224
1965-03-31,0.18085702904827214
1965-04-30,0.1674813469779306
1965-05-31,0.17395681382054534
1965-06-30,0.1788768364929812
1965-07-31,0.17223299958471933
1965-08-31,0.17898279973227893
1965-09-30,0.18247374647630052
1965-10-31,0.1911927617526774
1965-11-30,0.21115103260116472
1965-12-31,0.24490733082549376
1966-01-31,0.23682121919212717
1966-02-28,0.25762622391224116
1966-03-31,0.25762622391224116
1966-04-30,0.2596739342602175
1966-05-31,0.24924494288948562
1966-06-30,0.23093584142617768
1966-07-31,0.2409457339225455
1966-08-31,0.23119604649461525
1966-09-30,0.23951356645054406
1966-10-31,0.25021583656574775
1966-11-30,0.242650991614568
1966-12-31,0.26919776170340287
1967-01-31,0.3188110433464554
1967-02-28,0.28404618812583693
1967-03-31,0.2625165917642375
1967-04-30,0.29462052609939426
1967-05-31,0.2926070298992385
1967-06-30,0.2556747619465183
1967-07-31,0.27675022397111293
1967-08-31,0.26965549532564814
1967-09-30,0.3750935434578232
1967-10-31,0.41138894653675806
1967-11-30,0.36741512561413314
1967-12-31,0.35445691777710875
1968-01-31,0.3569570220179327
1968-02-28,0.30734398448785755
1968-03-31,0.26000627973682533
1968-04-30,0.17102217693518668
1968-05-31,0.1017430963620504
1968-06-30,0.07802185946301098
1968-07-31,0.14263086448322293
1968-08-31,0.13453918133805043
1968-09-30,0.1539997459438867
1968-10-31,0.14883498962266695
1968-11-30,0.13552657713255992
1968-12-31,0.18111788095469195
1969-01-31,0.21659199051147573
1969-02-28,0.20727560297287503
1969-03-31,0.2104905171128627
1969-04-30,0.2732620782235919
1969-05-31,0.28646444400185467
1969-06-30,0.28731759631975956
1969-07-31,0.28756199421587836
1969-08-31,0.25627840135545477
1969-09-30,0.26950798187366987
1969-10-31,0.27934663705303736
1969-11-30,0.27599669248010333
1969-12-31,0.3203560931194821
1970-01-31,0.36170892001667765
1970-02-28,0.32200921197744964
1970-03-31,0.27494911572470226
1970-04-30,0.32417746825349425
1970-05-31,0.27514141496891054
1970-06-30,0.31186341183663224
1970-07-31,0.41543208021656797
1970-08-31,0.4176515239989797
1970-09-30,0.3327840051785427
1970-10-31,0.32486641378203507
1970-11-30,0.3745881693665245
1970-12-31,0.39907943049696537
1971-01-31,0.3779195297003364
1971-02-28,0.32410198848258365
1971-03-31,0.24793442186021952
1971-04-30,0.16772297966466918
1971-05-31,0.14158194901758991
1971-06-30,0.12814218599147104
1971-07-31,0.14747759912882968
1971-08-31,0.13175145188661258
1971-09-30,0.1109128730191269
1971-10-31,0.09297127353654104
1971-11-30,0.07657099380862693
1971-12-31,0.07872662670154028
1972-01-31,0.05465297749863296
1972-02-28,0.0225413631877318
1972-03-31,0.025383114504473354
1972-04-30,0.042537995325892676
1972-05-31,0.02917542755408901
1972-06-30,0.05763959658603826
1972-07-31,0.10031585666668466
