date,gz_spread,ebp,est_prob
1973-01-01,1.1307714053429057,-0.04688505503845475,0.1862412418192204
1973-02-01,1.075493276125443,-0.05816783816570248,0.1824865805166909
1973-03-01,1.0299678416836435,-0.14961638830069712,0.153820541966355
1973-04-01,0.9827458103604768,-0.21031425253518643,0.13653513160167194
1973-05-01,1.0464935117518377,-0.08432449273758369,0.1739656802832573
1973-06-01,1.185925775964177,0.03564613102663627,0.21513799894313165
1973-07-01,0.9810549739577188,-0.3453226465661273,0.10298992139949664
1973-08-01,0.9777605050840716,-0.21353977765585408,0.13565530323594313
1973-09-01,0.8188236781169651,-0.35365683890109256,0.10113515793342676
1973-10-01,1.273250254171703,0.1182519445818726,0.24651021811723056
1973-11-01,1.3537449558224253,0.05294004485323755,0.2215072744436671
1973-12-01,1.295969416847959,-0.00702102362502876,0.1998863394912773
1974-01-01,1.1784210232542267,-0.03855567659797776,0.18904356079540227
1974-02-01,1.3067144792396042,0.16252886082678542,0.264283942009347
1974-03-01,1.220038714401003,-0.09880377126176954,0.1693594576006439
1974-04-01,1.2539698576113811,0.09216552716681405,0.23634634068950627
1974-05-01,1.3012385977617122,0.09934871467731488,0.2391218439230917
1974-06-01,1.9017877205835212,0.75539342911544,0.5440032219348395
1974-07-01,2.568696915547139,1.2606725089157964,0.7708999957989523
1974-08-01,2.1264243722076457,0.9436189573493674,0.635212556615207
1974-09-01,2.381902491150801,0.9967010931451494,0.6598344209163833
1974-10-01,2.5524795103497766,1.1081228312980158,0.7092586604838611
1974-11-01,2.356853811556149,1.0888821613650406,0.7009661237738192
1974-12-01,2.661212477979876,1.2212467065288783,0.7557058578423458
1975-01-01,1.7337713333806513,0.38862386439729657,0.3640277778198414
1975-02-01,1.649526368358294,0.41160549877507746,0.37486316050376034
1975-03-01,1.8961250416029105,0.6009892540423865,0.4671697155007396
1975-04-01,1.5567123308218438,0.2338493281174343,0.2942239075609438
1975-05-01,1.606921254453593,0.359552484892943,0.3504763740888537
1975-06-01,1.461922207470538,0.25425318149555864,0.30306886789778364
1975-07-01,1.4884824580177884,0.38396449925561393,0.3618438503325208
1975-08-01,1.300847928813233,0.12638045103132067,0.24972446964812628
1975-09-01,1.4186685311342824,0.30241566995826585,0.3244032899821309
1975-10-01,1.3607284327062037,0.11144073433232138,0.24383402851344305
1975-11-01,1.329823154039846,0.18199771931729036,0.2723007063244245
1975-12-01,1.2541786335635057,-0.04022156891483042,0.18848102340119663
1976-01-01,0.9979908878131896,-0.16596171517706615,0.1490292430263385
1976-02-01,1.0617339891598505,-0.08451574695891106,0.17390432304702105
1976-03-01,1.011120581271097,-0.12595713403835984,0.16093444559342646
1976-04-01,1.0521076518505803,-0.06815595400439167,0.1792025083580372
1976-05-01,1.0237351420087335,-0.12823823616031427,0.16023935083054447
1976-06-01,1.0197788832302777,-0.05346082458629087,0.18404718651306012
1976-07-01,0.9837099912897176,-0.09196752966941146,0.17152439786348048
1976-08-01,0.9120648551648856,-0.17210875874442333,0.1472534390423075
1976-09-01,0.8550532640032931,-0.2086510841666167,0.13699031667267497
1976-10-01,0.9219118941699904,-0.14606521497431424,0.15487483064920846
1976-11-01,0.8555867249993262,-0.37374366147590166,0.09676514908565768
1976-12-01,1.1083337127370156,-0.04673485966196211,0.18629154423426847
1977-01-01,0.9877198594648672,-0.3388897910335531,0.1044383512209902
1977-02-01,0.9379016261616826,-0.20998631365101117,0.13662480174950917
1977-03-01,0.9231957678701688,-0.17795671576256,0.14557725452932133
1977-04-01,0.8633616214622896,-0.24681000770950645,0.12680666577932
1977-05-01,0.8099849739276472,-0.24918925615102472,0.1261896385617845
1977-06-01,0.8512871905637213,-0.2613489892308266,0.12306885915960993
1977-07-01,0.8767822191117481,-0.17915815772913957,0.14523448335231967
1977-08-01,0.9251361350888264,-0.18866856088907236,0.14254033719020465
1977-09-01,0.9449811605505964,-0.13721533492615656,0.15752294615944434
1977-10-01,0.9310095841986334,-0.152473293815659,0.15297582675234783
1977-11-01,0.9339801709741394,-0.13583136429630727,0.1579397409892441
1977-12-01,0.7853049470875838,-0.3382786389892457,0.10457672291517264
1978-01-01,0.7587030375251503,-0.3357003375306137,0.1051619413311468
1978-02-01,0.7141317271766402,-0.340773117760104,0.10401277927499096
1978-03-01,0.7198637386015848,-0.33864452584381144,0.10449386607236837
1978-04-01,0.7353117681645004,-0.28676495722766615,0.11672160515131726
1978-05-01,0.7776714269052935,-0.2474247098149728,0.12664704987992492
1978-06-01,0.6222007182807374,-0.45931115308304626,0.07969690671474368
1978-07-01,0.6187085690170846,-0.3730080423247881,0.0969227013565451
1978-08-01,0.5981373777490661,-0.3964277350360811,0.09199866163155028
1978-09-01,0.6381015099065186,-0.31920673365310115,0.1089617616479876
1978-10-01,0.5641497987359325,-0.49366628930994816,0.07352422083293707
1978-11-01,0.6759448970423942,-0.23544748668061663,0.129782343502275
1978-12-01,0.6532541104105585,-0.37680186681095806,0.09611216973733744
1979-01-01,0.702604369050579,-0.24988223608763205,0.12601031738975213
1979-02-01,0.6671887115386741,-0.3111233502365378,0.11085964753488732
1979-03-01,0.658788911062305,-0.1692170987178443,0.14808702914598842
1979-04-01,0.6687966878187225,-0.20553634067689489,0.13784556366305192
1979-05-01,0.7217913940558555,-0.23801389606317735,0.129106047241691
1979-06-01,0.7660561848487495,-0.1462026463490419,0.1548339408143614
1979-07-01,0.6711907137257954,-0.23695570361878504,0.12938460387046863
1979-08-01,0.6016968629727698,-0.3192180580933299,0.10895911928477336
