date,ticker,close,volume,rsi_14,macd,ema_10,sentiment,return_1d,return_3d,target_1d,target_3d
2020-02-07,AMD,49.72999954223633,53107600,52.31497581289753,0.011565135131576199,49.26326318768979,0.0,0.05087469942862377,0.08365171698581997,1,1
2020-02-10,AMD,52.2599983215332,60971700,61.696563694890926,0.24957126270678032,49.80812412111586,0.0,0.02946806285856307,0.04343667299408116,1,1
2020-02-11,AMD,53.79999923706055,74719100,66.07214803370562,0.5560482589094065,50.533919596742166,0.0,0.0016728653134607807,0.028066954603045646,1,1
2020-02-12,AMD,53.88999938964844,45994900,66.31433479517577,0.7970083306830347,51.14411592272512,0.0,0.011876032601540132,0.0556689559097725,1,1
2020-02-13,AMD,54.529998779296875,51640000,68.06033918979315,1.0277660780481952,51.759730987556345,0.0,0.01430410070521182,0.08013942498456772,1,1
2020-02-14,AMD,55.310001373291016,52365400,70.09479455169641,1.2590691801708829,52.405234694053554,0.0,0.028566226308582188,0.03543661247166652,1,1
2020-02-18,AMD,56.88999938964844,70133200,73.74321286559646,1.5519809204018316,53.220646456888986,0.0,0.03533137911399242,-0.06345580328848499,1,0
2020-02-19,AMD,58.900001525878906,58597300,77.50332525949256,1.9241258340666718,54.25325646943261,0.0,-0.027674041186553477,-0.16604418235366425,0,0
2020-02-20,AMD,57.27000045776367,74203400,68.88787314025025,2.0637364267001033,54.801755376401886,0.0,-0.0696700130360467,-0.16937315672091102,0,0
2020-02-21,AMD,53.279998779296875,88271100,53.2758830587292,1.8313088491226779,54.52507235874643,0.0,-0.07807807700304548,-0.1086711192470956,0,0
2020-02-24,AMD,49.119998931884766,86624100,42.46915882928407,1.296486014485012,53.54233173568067,0.0,-0.03155535974685075,-0.1040309593132861,0,0
2020-02-25,AMD,47.56999969482422,88699400,39.27264616136365,0.7390438429152297,52.456453182797674,0.0,-0.001681690495493604,-0.043935256800417655,0,0
2020-02-26,AMD,47.4900016784668,86378400,39.10903523986678,0.2874976406036609,51.553462000192056,0.0,-0.07327865306249337,-0.0006317665389290461,0,0
2020-02-27,AMD,44.0099983215332,106416200,32.72264251160311,-0.34716130581296056,50.18192314952681,0.0,0.03340152866999513,0.06225861810874389,1,1
2020-02-28,AMD,45.47999954223633,100331800,37.37475964052661,-0.7231799122563629,49.32702794820126,0.0,0.04353561042579912,0.10180301483546517,1,1
2020-03-02,AMD,47.459999084472656,102324700,43.08363963638551,-0.8515913365876742,48.98756815479606,0.0,-0.014959947285480335,0.013695776199278642,0,1
2020-03-03,AMD,46.75,141972300,41.61854465758852,-0.9991319369010512,48.58073758119677,0.0,0.07187167080965917,0.03935829203396568,1,1
2020-03-04,AMD,50.11000061035156,93311800,50.24202104090585,-0.8353060686638187,48.85878540467946,0.0,-0.03991219268887514,-0.13649970204101147,0,0
2020-03-05,AMD,48.11000061035156,98302700,45.89631266033362,-0.8569774702595652,48.72264271480166,0.0,0.009977126089103505,-0.0567449492330484,1,0
2020-03-06,AMD,48.59000015258789,124590900,47.079391851496794,-0.825899801812767,48.69852588530824,0.0,-0.10948754225391533,-0.059477245947168744,0,0
2020-03-09,AMD,43.27000045776367,80859800,37.33493177414108,-1.2165266776673462,47.71152126211832,0.0,0.04876359112616968,-0.09845163141120616,1,0
2020-03-10,AMD,45.380001068115234,76228200,42.42492393817956,-1.3403906863838557,47.2876084995723,0.0,0.007051557675018527,-0.03261347526226044,1,0
2020-03-11,AMD,45.70000076293945,101601100,43.1787207058856,-1.3966329889377818,46.998952547457236,0.0,-0.14638954769627766,-0.15295408231448782,0,0
2020-03-12,AMD,39.0099983215332,107461500,33.348601714429435,-1.958456833968988,45.546415415471046,0.0,0.12535256125982608,0.07357095283436133,1,1
