date,mom,spy,gp,op,ep
2017-02-01,0.05130689586704371,0.010566506837151435,0.09283667587119732,0.03821541623747726,0.02997684153362418
2017-03-01,0.06754004376576057,0.05342237061769617,0.045107089661628144,0.06879090746821334,0.06602799866475151
2017-04-01,0.004193256691029239,-0.018558678788889726,0.003440995522037836,-0.03124521833546306,0.01608502432212168
2017-05-01,0.01117821074837792,0.014235329112310291,0.04402924701072621,-0.004929008875588057,0.042072448960391445
2017-06-01,0.0987840881303431,0.019607843137254832,0.035927814831111946,0.04344267621640566,0.06543699763393207
2017-07-01,-0.019659835705623283,-0.004725509533201833,0.01792423505288244,-0.01622537574162409,-0.03699305916559605
2017-08-01,0.021547774454299586,0.021097394822674476,0.07208713441582196,0.041009251633466734,0.04048860412917337
2017-09-01,0.012690671248098476,0.0021025392204432336,0.020455746374078626,0.023536743414354452,0.03514545999856454
2017-10-01,0.05759583168561741,0.018076178179470492,0.03991731441320516,0.057804856872595144,0.023912926135961177
2017-11-01,0.05471901353606007,0.020489854153455944,0.060522181841304826,0.02730482366735639,0.06081134895203349
2017-12-01,0.04987038786664705,0.027069012388830416,0.013601653800569734,0.024897819837175976,0.021461517116184936
2018-01-01,0.031731274871688996,0.016297360659456972,0.0007847675874697571,0.02878521319299063,0.006882794619373553
2018-02-01,0.10722680057881748,0.047661569371581614,0.0328243099779258,0.0930655976805826,0.09618145835784998
2018-03-01,0.06284075545072455,-0.04929327367000491,0.03052952241152999,-0.013667603863813098,-0.05738032213038297
2018-04-01,-0.02446281798677206,-0.03821441912588708,0.015636382400845094,-0.0189598151200635,-0.04083925341014002
2018-05-01,0.052314322729216906,0.029168446809336945,0.048018066510513796,0.0362131810287655,0.010107440098665927
2018-06-01,0.20953165247365158,0.03253075703826713,0.08532869319995916,0.044869072587498504,0.061250320282297266
2018-07-01,0.04176781097893032,-0.006359649122807065,-0.016113637129234668,-0.01999778420345745,-0.022328430211603113
2018-08-01,-0.019372366838719398,0.03310527477378056,0.0036791979114433335,0.05086661129881254,0.01712299451265663
2018-09-01,0.23338277848260686,0.03186641031118698,0.05622181731472442,0.0676814780915215,0.02569229424549147
2018-10-01,0.059566308416241734,0.006625030192194847,-0.055563585781366616,-0.020380916097152042,-0.014259138998258623
2018-11-01,-0.1359717517161737,-0.06245500976930729,-0.04274936185984281,-0.08660569429568499,-0.08589337357199112
2018-12-01,-0.0054822168693291875,0.021169244268948173,-0.005082136231163365,-0.03026882499566186,-0.012880297382666434
2019-01-01,-0.09961033516188993,-0.10426065162907272,-0.11791105261574919,-0.08317816110573772,-0.08430764068657028
2019-02-01,0.06021658033505791,0.07946278679350871,0.09619895432902743,0.10771035259839834,0.10948391686361417
2019-03-01,0.08975291314224725,0.038361845515811455,0.05707299155275263,0.030562143478948693,0.06081924117392638
2019-04-01,0.02517785201031169,0.019292489836673532,-0.009772470643505235,-0.00534721874836148,0.07447002099909548
2019-05-01,-0.010059789076850317,0.0209215267816536,-0.026752904238222738,-0.022267694103154188,0.018287194494377577
2019-06-01,-0.0381441473716058,-0.05907953805558419,-0.016671690961596212,-0.06587877574201428,-0.14946484743484792
2019-07-01,0.08027555262376376,0.0768110135848783,0.02974322915648191,0.08289042737972235,0.07686146096095
