ticker,name,gics_sector,source,rank
HD,Home Depot (The),Consumer Discretionary,SP500,138
LVS,Las Vegas Sands,Consumer Discretionary,SP500,139
LEN,Lennar,Consumer Discretionary,SP500,140
LOW,Lowe's,Consumer Discretionary,SP500,141
MAR,Marriott International,Consumer Discretionary,SP500,142
MCD,McDonald's,Consumer Discretionary,SP500,143
MGM,MGM Resorts,Consumer Discretionary,SP500,144
NKE,"Nike, Inc.",Consumer Discretionary,SP500,145
NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary,SP500,146
MO,Altria,Consumer Staples,SP500,147
ADM,Archer Daniels Midland,Consumer Staples,SP500,148
BG,Bunge Global,Consumer Staples,SP500,149
CPB,Campbell's Company (The),Consumer Staples,SP500,150
CASY,Casey's,Consumer Staples,SP500,151
CHD,Church & Dwight,Consumer Staples,SP500,152
CLX,Clorox,Consumer Staples,SP500,153
KO,Coca-Cola Company (The),Consumer Staples,SP500,154
CL,Colgate-Palmolive,Consumer Staples,SP500,155
CAG,Conagra Brands,Consumer Staples,SP500,156
STZ,Constellation Brands,Consumer Staples,SP500,157
DG,Dollar General,Consumer Staples,SP500,158
DLTR,Dollar Tree,Consumer Staples,SP500,159
EL,Estée Lauder Companies (The),Consumer Staples,SP500,160
GIS,General Mills,Consumer Staples,SP500,161
HSY,Hershey Company (The),Consumer Staples,SP500,162
HRL,Hormel Foods,Consumer Staples,SP500,163
KDP,Keurig Dr Pepper,Consumer Staples,SP500,164
KMB,Kimberly-Clark,Consumer Staples,SP500,165
KHC,Kraft Heinz,Consumer Staples,SP500,166
KR,Kroger,Consumer Staples,SP500,167
MKC,McCormick & Company,Consumer Staples,SP500,168
APA,APA Corporation,Energy,SP500,169
BKR,Baker Hughes,Energy,SP500,170
CVX,Chevron Corporation,Energy,SP500,171
COP,ConocoPhillips,Energy,SP500,172
DVN,Devon Energy,Energy,SP500,173
FANG,Diamondback Energy,Energy,SP500,174
EOG,EOG Resources,Energy,SP500,175
EQT,EQT Corporation,Energy,SP500,176
EXE,Expand Energy,Energy,SP500,177
XOM,ExxonMobil,Energy,SP500,178
HAL,Halliburton,Energy,SP500,179
KMI,Kinder Morgan,Energy,SP500,180
MPC,Marathon Petroleum,Energy,SP500,181
OXY,Occidental Petroleum,Energy,SP500,182
OKE,Oneok,Energy,SP500,183
PSX,Phillips 66,Energy,SP500,184
SLB,Schlumberger,Energy,SP500,185
TRGP,Targa Resources,Energy,SP500,186
TPL,Texas Pacific Land Corporation,Energy,SP500,187
VLO,Valero Energy,Energy,SP500,188
AES,AES Corporation,Utilities,SP500,189
LNT,Alliant Energy,Utilities,SP500,190
AEE,Ameren,Utilities,SP500,191
AEP,American Electric Power,Utilities,SP500,192
AWK,American Water Works,Utilities,SP500,193
ATO,Atmos Energy,Utilities,SP500,194
CNP,CenterPoint Energy,Utilities,SP500,195
CMS,CMS Energy,Utilities,SP500,196
ED,Consolidated Edison,Utilities,SP500,197
DTE,DTE Energy,Utilities,SP500,198
DUK,Duke Energy,Utilities,SP500,199
EIX,Edison International,Utilities,SP500,200
ETR,Entergy,Utilities,SP500,201
EVRG,Evergy,Utilities,SP500,202
ES,Eversource Energy,Utilities,SP500,203
EXC,Exelon,Utilities,SP500,204
ARE,Alexandria Real Estate Equities,Real Estate,SP500,205
AMT,American Tower,Real Estate,SP500,206
AVB,AvalonBay Communities,Real Estate,SP500,207
BXP,"BXP, Inc.",Real Estate,SP500,208
CPT,Camden Property Trust,Real Estate,SP500,209
CBRE,CBRE Group,Real Estate,SP500,210
CSGP,CoStar Group,Real Estate,SP500,211
CCI,Crown Castle,Real Estate,SP500,212
EQR,Equity Residential,Real Estate,SP500,213
ESS,Essex Property Trust,Real Estate,SP500,214
EXR,Extra Space Storage,Real Estate,SP500,215
FRT,Federal Realty Investment Trust,Real Estate,SP500,216
DOC,Healthpeak Properties,Real Estate,SP500,217
HST,Host Hotels & Resorts,Real Estate,SP500,218
INVH,Invitation Homes,Real Estate,SP500,219
IRM,Iron Mountain,Real Estate,SP500,220
