ticker,horizon,n_folds,accuracy_mean,accuracy_std,auc_mean,brier_mean,buy_hit_55_mean,buy_n_55_total,pos_rate_mean
TJX,5,24,0.5351,0.096,0.5508,0.2736,0.5859,798,0.5523
TPR,5,24,0.5053,0.1383,0.5365,0.3007,0.707,501,0.541
TSLA,5,24,0.5205,0.1196,0.5571,0.2706,0.5601,569,0.5185
TSM,5,24,0.5668,0.1227,0.5355,0.2704,0.5848,810,0.5489
UAL,5,24,0.5258,0.1116,0.5576,0.2917,0.6127,498,0.5192
UNH,5,24,0.5265,0.0943,0.5273,0.2604,0.5775,678,0.5304
V,5,24,0.5311,0.1113,0.5196,0.2698,0.5952,894,0.5628
VKTX,5,24,0.5225,0.1412,0.5283,0.2946,0.5997,314,0.4762
VZ,5,24,0.5086,0.0791,0.5398,0.2791,0.4965,465,0.4782
WMT,5,24,0.5522,0.0759,0.5908,0.2556,0.6716,730,0.5562
ZM,5,19,0.4946,0.099,0.5005,0.2709,0.4784,295,0.462
SPY,5,24,0.5668,0.1313,0.5222,0.2611,0.619,1040,0.6038
QQQ,5,24,0.5516,0.1181,0.5737,0.2539,0.6578,836,0.5939
GLD,5,24,0.5635,0.1229,0.5105,0.257,0.6058,837,0.5787
XLF,5,24,0.5179,0.1128,0.5828,0.298,0.6073,724,0.5668
XLE,5,24,0.5086,0.1036,0.4888,0.2621,0.5234,582,0.5549
XLV,5,24,0.5728,0.1009,0.5623,0.2552,0.624,660,0.5403
XLI,5,24,0.5258,0.106,0.5316,0.2848,0.6063,913,0.5754
XLU,5,24,0.547,0.0711,0.5681,0.273,0.5867,810,0.541
COIN,5,11,0.557,0.0729,0.5749,0.2839,0.572,141,0.5108
AVGO,5,24,0.5212,0.1078,0.5421,0.2749,0.6209,819,0.5708
ANET,5,24,0.535,0.0902,0.5166,0.2809,0.5476,890,0.5675
AMAT,5,24,0.5331,0.1043,0.5575,0.2758,0.6035,781,0.5595
LRCX,5,24,0.5073,0.0981,0.5376,0.2916,0.6229,752,0.5727
VRT,5,16,0.5268,0.0864,0.5439,0.2767,0.6346,434,0.5863
ETN,5,24,0.5364,0.1368,0.5163,0.2676,0.5758,974,0.5847
NOW,5,24,0.5192,0.1272,0.5423,0.2799,0.5638,932,0.5364
EQIX,5,24,0.502,0.097,0.526,0.2706,0.5185,587,0.5311
DLR,5,24,0.498,0.0993,0.5804,0.2777,0.55,454,0.5159
WDC,5,24,0.5093,0.1285,0.5166,0.3024,0.5719,589,0.5628
STX,5,24,0.5119,0.1374,0.5428,0.2926,0.5942,638,0.5721
