n_train,n_calib,n_test,accuracy,roc_auc,log_loss,brier,pos_rate,buy_hit_50,buy_n_50,buy_hit_55,buy_n_55,buy_hit_60,buy_n_60,ticker,horizon,fold,train_end_idx,test_start_idx
399,100,63,0.6349,0.5587,0.6337,0.226,0.6349,0.6349,63,0.6349,63,0.6349,63,MSFT,5,0,499,504
449,113,63,0.746,0.6442,0.5912,0.2008,0.6825,0.7288,59,0.7288,59,0.7857,28,MSFT,5,1,562,567
500,125,63,0.4921,0.6184,1.342,0.3277,0.4444,0.4667,60,0.4828,58,0.4828,58,MSFT,5,2,625,630
550,138,63,0.5873,0.6008,0.6963,0.2538,0.5873,0.5873,63,0.5806,62,0.6071,56,MSFT,5,3,688,693
600,151,63,0.4762,0.5005,2.4534,0.3585,0.5714,0.5484,31,,0,,0,MSFT,5,4,751,756
651,163,63,0.7302,0.5428,0.6902,0.2485,0.7302,0.7302,63,,0,,0,MSFT,5,5,814,819
701,176,63,0.6349,0.4346,0.9034,0.2461,0.6508,0.6452,62,0.6452,62,0.6154,52,MSFT,5,6,877,882
752,188,63,0.4127,0.6195,1.2276,0.3039,0.4127,0.4127,63,0.4444,36,0.4444,36,MSFT,5,7,940,945
802,201,63,0.4603,0.4691,0.7886,0.2944,0.4603,0.4603,63,0.4603,63,0.439,41,MSFT,5,8,1003,1008
852,214,63,0.5238,0.496,1.1605,0.2675,0.5238,0.5238,63,0.5238,63,0.5,4,MSFT,5,9,1066,1071
903,226,63,0.6032,0.5277,0.6871,0.2469,0.3651,0.0,2,0.0,2,0.0,2,MSFT,5,10,1129,1134
953,239,63,0.4921,0.7295,0.7293,0.2677,0.6508,0.8462,13,0.8333,6,0.8333,6,MSFT,5,11,1192,1197
1004,251,63,0.381,0.7063,0.8268,0.307,0.6667,0.8,5,1.0,1,,0,MSFT,5,12,1255,1260
1054,264,63,0.4444,0.499,6.7061,0.5257,0.5556,,0,,0,,0,MSFT,5,13,1318,1323
1104,277,63,0.3016,0.2695,2.8904,0.3665,0.6032,0.3125,16,,0,,0,MSFT,5,14,1381,1386
1155,289,63,0.7143,0.5263,0.645,0.2263,0.6984,0.7097,62,0.7097,62,,0,MSFT,5,15,1444,1449
1205,302,63,0.5397,0.4985,0.7048,0.2555,0.5397,0.5397,63,0.5397,63,0.5397,63,MSFT,5,16,1507,1512
1256,314,63,0.5556,0.5179,0.69,0.2484,0.5556,0.5556,63,0.5556,63,,0,MSFT,5,17,1570,1575
1306,327,63,0.5397,0.5,0.6994,0.253,0.5397,0.5397,63,0.5397,63,0.5397,63,MSFT,5,18,1633,1638
1356,340,63,0.5556,0.4486,0.7155,0.2594,0.5714,0.5667,60,0.5333,45,,0,MSFT,5,19,1696,1701
1407,352,63,0.4127,0.435,1.0555,0.3062,0.5079,0.4419,43,0.4419,43,0.4615,39,MSFT,5,20,1759,1764
1457,365,63,0.8095,0.4755,0.629,0.2182,0.8254,0.8226,62,0.8182,11,0.8889,9,MSFT,5,21,1822,1827
1508,377,63,0.5238,0.4646,1.4636,0.3008,0.5238,0.5238,63,0.5238,63,0.537,54,MSFT,5,22,1885,1890
1558,390,63,0.4444,0.626,0.7394,0.2721,0.4444,0.4426,61,0.4426,61,0.4,10,MSFT,5,23,1948,1953
399,100,63,0.5873,0.5374,0.7028,0.2536,0.5873,0.5873,63,0.5873,63,0.5873,63,NVDA,5,0,499,504
449,113,63,0.7619,0.5153,0.6308,0.2189,0.7619,0.7619,63,0.8,10,0.8,10,NVDA,5,1,562,567
500,125,63,0.6349,0.6043,0.6532,0.2286,0.6349,0.6441,59,0.6441,59,0.7174,46,NVDA,5,2,625,630
550,138,63,0.5079,0.6956,1.5201,0.3279,0.5079,0.5079,63,0.5079,63,0.5079,63,NVDA,5,3,688,693
600,151,63,0.5238,0.5303,0.6744,0.245,0.4762,0.5,60,0.5,60,0.4,5,NVDA,5,4,751,756
651,163,63,0.4921,0.39,5.229,0.4508,0.7302,0.675,40,0.6667,33,,0,NVDA,5,5,814,819
701,176,63,0.6508,0.6469,0.6515,0.2294,0.6508,0.6508,63,0.7931,29,,0,NVDA,5,6,877,882
752,188,63,0.4127,0.5494,1.1921,0.282,0.4127,0.4127,63,0.4783,23,0.4783,23,NVDA,5,7,940,945
802,201,63,0.381,0.4439,0.7387,0.2705,0.381,0.381,63,0.1667,6,0.1667,6,NVDA,5,8,1003,1008
852,214,63,0.5873,0.7394,0.6421,0.2292,0.5397,1.0,8,1.0,8,1.0,8,NVDA,5,9,1066,1071
903,226,63,0.5714,0.4635,0.7027,0.2541,0.4286,0.5,14,,0,,0,NVDA,5,10,1129,1134
953,239,63,0.2857,0.5747,5.695,0.5562,0.7143,,0,,0,,0,NVDA,5,11,1192,1197
1004,251,63,0.3492,0.4368,1.5721,0.3512,0.746,0.75,12,,0,,0,NVDA,5,12,1255,1260
1054,264,63,0.619,0.5641,0.672,0.2395,0.619,0.619,63,0.619,63,,0,NVDA,5,13,1318,1323
1104,277,63,0.4921,0.5086,0.7235,0.2648,0.4921,0.4921,63,0.4921,63,0.4921,63,NVDA,5,14,1381,1386
1155,289,63,0.381,0.4593,0.7413,0.2733,0.7143,0.6364,22,0.6,15,0.6,15,NVDA,5,15,1444,1449
1205,302,63,0.6349,0.5674,0.6662,0.2356,0.6349,0.6441,59,0.6441,59,0.6441,59,NVDA,5,16,1507,1512
1256,314,63,0.5873,0.5312,0.7219,0.2588,0.5873,0.5932,59,0.5957,47,0.5952,42,NVDA,5,17,1570,1575
1306,327,63,0.5714,0.5085,0.6856,0.2484,0.619,0.6111,54,0.6111,54,0.5882,34,NVDA,5,18,1633,1638
1356,340,63,0.4444,0.5745,1.2685,0.3082,0.4603,0.4516,62,0.4516,62,0.5161,31,NVDA,5,19,1696,1701
1407,352,63,0.5238,0.546,0.6882,0.2479,0.5238,0.5238,63,0.5238,63,0.6154,13,NVDA,5,20,1759,1764
1457,365,63,0.8889,0.5446,0.6108,0.209,0.8889,0.8889,63,0.8889,63,1.0,1,NVDA,5,21,1822,1827
1508,377,63,0.5238,0.503,0.7166,0.2611,0.5238,0.5238,63,0.5238,63,0.5238,63,NVDA,5,22,1885,1890
1558,390,63,0.4762,0.6192,0.6944,0.2545,0.4762,0.4762,63,0.4762,63,0.5263,38,NVDA,5,23,1948,1953
399,100,63,0.5079,0.5055,3.1283,0.3808,0.5079,0.5079,63,0.5079,63,0.5079,63,TSLA,5,0,499,504
449,113,63,0.7619,0.4653,0.5929,0.2008,0.7619,0.7619,63,0.7619,63,0.7619,63,TSLA,5,1,562,567
500,125,63,0.5556,0.5,0.7018,0.2539,0.5556,0.5556,63,0.5556,63,0.5556,63,TSLA,5,2,625,630
550,138,63,0.7619,0.65,0.5583,0.1853,0.7619,0.7619,63,0.7619,63,0.8421,38,TSLA,5,3,688,693
600,151,63,0.3492,0.5875,0.882,0.332,0.3651,0.3548,62,0.3548,62,0.3953,43,TSLA,5,4,751,756
651,163,63,0.5556,0.4847,0.7153,0.2593,0.5556,0.5686,51,0.5185,27,0.5333,15,TSLA,5,5,814,819
701,176,63,0.7619,0.6275,0.6464,0.2254,0.8095,0.8103,58,0.878,41,1.0,4,TSLA,5,6,877,882
752,188,63,0.3968,0.6896,1.7142,0.3266,0.381,0.3833,60,0.4074,54,0.4074,54,TSLA,5,7,940,945
802,201,63,0.4762,0.5258,0.7115,0.259,0.3968,0.4167,48,0.425,40,0.381,21,TSLA,5,8,1003,1008
852,214,63,0.4444,0.4214,3.779,0.3835,0.4444,0.4444,63,0.4444,63,0.3158,19,TSLA,5,9,1066,1071
903,226,63,0.5079,0.5641,0.6832,0.2472,0.381,0.4186,43,0.4186,43,,0,TSLA,5,10,1129,1134
953,239,63,0.4286,0.4577,0.7234,0.265,0.4444,0.413,46,0.413,46,,0,TSLA,5,11,1192,1197
1004,251,63,0.5238,0.5171,0.6957,0.2513,0.4921,1.0,1,1.0,1,1.0,1,TSLA,5,12,1255,1260
1054,264,63,0.3651,0.6314,1.2488,0.3126,0.6508,1.0,1,,0,,0,TSLA,5,13,1318,1323
1104,277,63,0.5556,0.5837,1.1141,0.2513,0.4444,0.5,4,0.5,4,,0,TSLA,5,14,1381,1386
1155,289,63,0.5238,0.5505,0.6892,0.248,0.4762,0.5,20,0.5,20,,0,TSLA,5,15,1444,1449
1205,302,63,0.4762,0.5806,0.7013,0.254,0.4921,0.4839,62,0.5263,19,,0,TSLA,5,16,1507,1512
1256,314,63,0.4127,0.3898,0.9966,0.2916,0.4444,0.4043,47,0.3846,39,0.1429,7,TSLA,5,17,1570,1575
1306,327,63,0.5397,0.57,0.9414,0.2613,0.5397,0.6,25,0.5833,24,,0,TSLA,5,18,1633,1638
1356,340,63,0.5238,0.5519,2.3285,0.3132,0.4921,0.6,5,,0,,0,TSLA,5,19,1696,1701
1407,352,63,0.6667,0.7153,0.6552,0.2311,0.381,0.5405,37,,0,,0,TSLA,5,20,1759,1764
1457,365,63,0.4762,0.501,0.7357,0.2707,0.5397,0.5714,7,0.5714,7,,0,TSLA,5,21,1822,1827
1508,377,63,0.3651,0.4799,0.7457,0.2756,0.6349,,0,,0,,0,TSLA,5,22,1885,1890
1558,390,63,0.5238,0.6008,0.6231,0.2257,0.4921,0.52,25,,0,,0,TSLA,5,23,1948,1953
399,100,63,0.4762,0.5763,0.7501,0.2813,0.4762,0.4754,61,0.4833,60,0.4833,60,AMD,5,0,499,504
449,113,63,0.6984,0.6537,0.6291,0.2186,0.6984,0.6984,63,0.6984,63,1.0,4,AMD,5,1,562,567
500,125,63,0.4921,0.4834,1.3308,0.3246,0.4921,0.4894,47,0.4651,43,0.4651,43,AMD,5,2,625,630
550,138,63,0.619,0.5924,0.6646,0.2359,0.619,0.619,63,0.6182,55,0.9091,11,AMD,5,3,688,693
600,151,63,0.3968,0.5905,0.7696,0.2897,0.3968,0.3968,63,0.4167,48,0.4167,48,AMD,5,4,751,756
651,163,63,0.4762,0.4988,0.9927,0.2897,0.6984,0.6571,35,0.7,20,0.7,20,AMD,5,5,814,819
701,176,63,0.5079,0.5442,0.7055,0.2558,0.5873,0.6154,26,0.6842,19,,0,AMD,5,6,877,882
752,188,63,0.6032,0.569,1.3968,0.276,0.4603,0.5769,26,,0,,0,AMD,5,7,940,945
802,201,63,0.4127,0.5881,0.7105,0.2613,0.381,0.3934,61,0.4571,35,0.4571,35,AMD,5,8,1003,1008
852,214,63,0.5397,0.5489,1.7735,0.263,0.5873,0.5909,44,0.6296,27,0.6296,27,AMD,5,9,1066,1071
903,226,63,0.4603,0.6585,2.1235,0.3202,0.3016,0.3333,45,0.3409,44,0.3929,28,AMD,5,10,1129,1134
953,239,63,0.3651,0.3841,0.7309,0.2694,0.5873,0.44,25,,0,,0,AMD,5,11,1192,1197
1004,251,63,0.5079,0.4435,0.8054,0.2842,0.4921,,0,,0,,0,AMD,5,12,1255,1260
1054,264,63,0.3333,0.6241,0.8914,0.3369,0.6667,,0,,0,,0,AMD,5,13,1318,1323
1104,277,63,0.6349,0.6581,0.6367,0.2224,0.381,0.6,5,,0,,0,AMD,5,14,1381,1386
1155,289,63,0.5556,0.4879,0.8265,0.3056,0.7302,0.725,40,0.725,40,,0,AMD,5,15,1444,1449
1205,302,63,0.4921,0.6321,0.687,0.2465,0.3968,0.4286,49,0.6,10,0.6,10,AMD,5,16,1507,1512
1256,314,63,0.4444,0.446,0.7488,0.2771,0.5238,0.4643,28,0.4,15,0.4,15,AMD,5,17,1570,1575
1306,327,63,0.4127,0.3712,0.7484,0.2769,0.5397,0.4717,53,0.4211,38,0.4667,30,AMD,5,18,1633,1638
1356,340,63,0.381,0.5988,1.4368,0.2964,0.381,0.381,63,0.4762,21,0.4762,21,AMD,5,19,1696,1701
1407,352,63,0.5079,0.5277,1.8367,0.2866,0.5079,0.5079,63,0.5385,26,0.5385,26,AMD,5,20,1759,1764
1457,365,63,0.2857,0.5109,0.7051,0.256,0.7302,1.0,1,1.0,1,,0,AMD,5,21,1822,1827
1508,377,63,0.3968,0.4637,0.6967,0.2517,0.6032,0.5,18,0.5385,13,0.5833,12,AMD,5,22,1885,1890
1558,390,63,0.5873,0.5862,1.3878,0.274,0.5556,0.5957,47,,0,,0,AMD,5,23,1948,1953
399,100,63,0.5714,0.5211,0.6928,0.2491,0.5714,0.5714,63,0.5778,45,0.6296,27,RZLV,5,0,499,504
