n_train,n_calib,n_test,accuracy,roc_auc,log_loss,brier,pos_rate,buy_hit_50,buy_n_50,buy_hit_55,buy_n_55,buy_hit_60,buy_n_60,ticker,horizon,fold,train_end_idx,test_start_idx
956,240,63,0.4921,0.4812,0.715,0.2606,0.5397,0.525,40,,0,,0,ABT,1,11,1196,1197
1007,252,63,0.5238,0.5203,0.7326,0.2669,0.5397,0.5435,46,0.5714,21,0.75,4,ABT,1,12,1259,1260
1057,265,63,0.5873,0.5568,0.7322,0.26,0.4603,0.6,15,1.0,1,1.0,1,ABT,1,13,1322,1323
1108,277,63,0.5873,0.6507,0.7267,0.2479,0.4286,0.5122,41,0.6316,19,0.5,10,ABT,1,14,1385,1386
1158,290,63,0.3492,0.4637,0.7579,0.2813,0.619,0.3333,6,0.5,4,0.5,4,ABT,1,15,1448,1449
1208,303,63,0.5238,0.499,0.7001,0.2504,0.4603,0.4909,55,0.0,1,,0,ABT,1,16,1511,1512
1259,315,63,0.619,0.6278,0.6711,0.2401,0.4603,0.6923,13,0.6923,13,0.5,2,ABT,1,17,1574,1575
1309,328,63,0.4286,0.5314,0.6914,0.2493,0.5714,0.5,2,1.0,1,,0,ABT,1,18,1637,1638
1360,340,63,0.5079,0.6166,0.9151,0.2543,0.5397,0.8,5,0.8,5,0.8,5,ABT,1,19,1700,1701
1410,353,63,0.5397,0.4295,1.1771,0.275,0.5714,0.5614,57,0.25,4,,0,ABT,1,20,1763,1764
1460,366,63,0.5397,0.475,0.7153,0.2589,0.5556,0.5577,52,0.5,4,0.5,4,ABT,1,21,1826,1827
1511,378,63,0.5079,0.5522,0.6904,0.2487,0.4603,0.48,50,1.0,1,1.0,1,ABT,1,22,1889,1890
1561,391,63,0.4762,0.4878,0.7,0.2534,0.4444,0.4528,53,0.2857,7,,0,ABT,1,23,1952,1953
1612,403,63,0.4762,0.5032,0.7897,0.2935,0.3968,0.4231,52,0.4,50,0.4,20,ABT,1,24,2015,2016
402,101,63,0.5079,0.5338,0.7283,0.2666,0.5079,0.5079,63,0.5273,55,0.5273,55,ADSK,1,0,503,504
452,114,63,0.6508,0.622,0.6433,0.2254,0.6508,0.6508,63,0.7381,42,0.7317,41,ADSK,1,1,566,567
503,126,63,0.5238,0.4832,0.7002,0.257,0.5556,0.5472,53,0.5,18,0.5,18,ADSK,1,2,629,630
553,139,63,0.5397,0.5898,0.6824,0.2449,0.5397,0.5397,63,0.5424,59,0.65,20,ADSK,1,3,692,693
604,151,63,0.5397,0.5418,1.6172,0.2825,0.4921,0.6667,6,0.6667,6,0.6667,6,ADSK,1,4,755,756
654,164,63,0.619,0.4076,0.6979,0.2518,0.619,0.619,63,0.0,1,0.0,1,ADSK,1,5,818,819
704,177,63,0.4921,0.3514,0.7211,0.2635,0.5397,0.5172,58,0.3158,19,0.3333,9,ADSK,1,6,881,882
755,189,63,0.4127,0.4574,0.958,0.2751,0.4127,0.4068,59,0.3889,54,,0,ADSK,1,7,944,945
805,202,63,0.381,0.4784,1.1833,0.2793,0.3968,0.3871,62,0.375,8,0.375,8,ADSK,1,8,1007,1008
856,214,63,0.5238,0.5323,0.6924,0.2496,0.4921,0.5217,23,0.5217,23,,0,ADSK,1,9,1070,1071
906,227,63,0.5079,0.3936,0.7091,0.2577,0.4921,0.5,6,0.5,6,0.5,6,ADSK,1,10,1133,1134
