ticker,horizon,n_folds,accuracy_mean,accuracy_std,auc_mean,brier_mean,buy_hit_55_mean,buy_n_55_total,pos_rate_mean
AAPL,3,25,0.5314,0.0742,0.5365,0.2563,0.6269,702,0.5581
ABNB,3,13,0.514,0.0906,0.5389,0.2757,0.5891,212,0.5275
ABT,3,25,0.5117,0.0998,0.5354,0.2745,0.5604,568,0.5149
ADSK,3,25,0.5219,0.1033,0.5286,0.2555,0.5694,727,0.5244
AI,3,24,0.5185,0.0683,0.5279,0.2658,0.4561,330,0.4603
ALK,3,25,0.4654,0.1132,0.5452,0.2921,0.5432,487,0.501
AMD,3,25,0.5041,0.0795,0.4838,0.2744,0.5026,543,0.5416
AMPX,3,6,0.5,0.0913,0.5366,0.298,0.6468,73,0.5264
AMZN,3,25,0.5003,0.0894,0.4962,0.2802,0.5422,382,0.52
APLD,3,9,0.5362,0.0769,0.5537,0.257,0.5507,250,0.5432
ARM,3,2,0.5079,0.0,0.4839,0.3222,0.4084,42,0.4524
ASAN,3,14,0.5147,0.0867,0.5148,0.2755,0.474,184,0.4773
ASTS,3,12,0.4868,0.0805,0.52,0.2718,0.4795,89,0.4841
AXP,3,25,0.5257,0.0775,0.5533,0.273,0.6006,751,0.5498
AZN,3,25,0.5175,0.0729,0.523,0.2677,0.5527,766,0.5365
BA,3,25,0.5149,0.092,0.5399,0.2646,0.5884,474,0.5009
BETR,3,2,0.508,0.0674,0.5402,0.2877,0.6122,49,0.5317
BRKR,3,25,0.5137,0.0886,0.5288,0.2681,0.5788,369,0.5137
BSX,3,25,0.5403,0.098,0.561,0.2737,0.6283,818,0.5416
CAVA,3,3,0.5926,0.0367,0.6042,0.2402,0.8269,37,0.4868
CI,3,25,0.5048,0.0807,0.5373,0.2635,0.5838,545,0.52
CNC,3,25,0.5073,0.1033,0.5525,0.2838,0.5615,592,0.5213
COST,3,25,0.5409,0.0904,0.5189,0.2627,0.6218,1019,0.5733
CRM,3,25,0.4984,0.0849,0.512,0.2696,0.5003,644,0.5156
CRWD,3,19,0.5313,0.0711,0.531,0.2711,0.5953,528,0.5355
DDOG,3,18,0.4815,0.1125,0.5245,0.2744,0.5344,698,0.5265
