CFE data is compiled for the convenience of site visitors and is furnished without responsibility for accuracy and is accepted by the site visitor on the condition that transmission or omissions shall not be made the basis for any claim demand or cause for action. The information and data was obtained from sources believed to be reliable but accuracy is not guaranteed. Your use of CFE data is subject to the Terms and Conditions of CBOE's Websites.
Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
12/16/2016,M (Jun 17),19.02,19.15,18.93,19.01,19.0250,0.00,1870,0,11057
12/19/2016,M (Jun 17),19.02,19.02,18.75,18.85,18.8250,-0.20,1619,0,11694
12/20/2016,M (Jun 17),18.80,18.90,18.69,18.75,18.7500,-0.08,2353,0,12228
12/21/2016,M (Jun 17),18.75,18.81,18.57,18.75,18.7250,-0.02,4042,0,12835
12/22/2016,M (Jun 17),18.80,18.95,18.68,18.91,18.9250,0.20,2970,0,12796
12/23/2016,M (Jun 17),18.95,19.05,18.86,18.92,18.9250,0.00,1312,0,12777
12/27/2016,M (Jun 17),18.85,18.90,18.70,18.75,18.7750,-0.15,1534,0,13134
12/28/2016,M (Jun 17),18.82,19.00,18.72,18.95,18.9250,0.15,3102,0,13279
12/29/2016,M (Jun 17),18.94,19.17,18.89,19.00,19.0250,0.10,2563,0,13601
12/30/2016,M (Jun 17),19.00,19.32,18.85,19.09,19.0750,0.05,2743,0,14167
01/03/2017,M (Jun 17),19.08,19.10,18.60,18.65,18.6250,-0.45,3400,0,14157
01/04/2017,M (Jun 17),18.63,18.66,18.11,18.25,18.2250,-0.40,3727,0,14692
01/05/2017,M (Jun 17),18.20,18.42,18.15,18.15,18.1750,-0.05,1909,0,14245
01/06/2017,M (Jun 17),18.20,18.20,17.85,18.00,18.0250,-0.15,2180,0,14167
01/09/2017,M (Jun 17),18.02,18.09,17.78,17.90,17.9250,-0.10,2883,0,13804
01/10/2017,M (Jun 17),18.00,18.12,17.80,17.93,17.9250,0.00,2395,0,13973
01/11/2017,M (Jun 17),17.86,18.18,17.75,17.82,17.8250,-0.10,3096,0,14514
01/12/2017,M (Jun 17),17.78,18.22,17.78,17.95,17.9750,0.15,2058,0,14578
