CFE data is compiled for the convenience of site visitors and is furnished without responsibility for accuracy and is accepted by the site visitor on the condition that transmission or omissions shall not be made the basis for any claim demand or cause for action. The information and data was obtained from sources believed to be reliable but accuracy is not guaranteed. Your use of CFE data is subject to the Terms and Conditions of CBOE's Websites.
Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
11/21/2016,Q (Aug 17),0.00,0.00,0.00,0.00,19.7250,19.72,0,0,0
11/22/2016,Q (Aug 17),19.98,20.10,19.90,19.90,19.7750,0.05,14,0,11
11/23/2016,Q (Aug 17),20.00,20.05,19.86,19.88,19.8000,0.02,45,0,36
11/25/2016,Q (Aug 17),20.00,20.00,19.95,19.95,19.8750,0.08,10,0,45
11/28/2016,Q (Aug 17),20.00,20.05,19.90,19.95,19.9500,0.08,29,0,67
11/29/2016,Q (Aug 17),19.90,19.95,19.88,19.88,19.9250,-0.02,159,0,153
11/30/2016,Q (Aug 17),19.94,19.94,19.80,19.82,19.8250,-0.10,302,0,451
12/01/2016,Q (Aug 17),19.90,20.15,19.86,20.00,20.1000,0.28,119,0,554
12/02/2016,Q (Aug 17),20.00,20.15,19.93,19.98,20.0250,-0.08,140,0,660
12/05/2016,Q (Aug 17),20.00,20.00,19.80,19.80,19.8750,-0.15,134,0,760
12/06/2016,Q (Aug 17),19.83,19.83,19.64,19.64,19.6250,-0.25,40,0,780
12/07/2016,Q (Aug 17),19.55,19.76,19.55,19.76,19.6750,0.05,32,0,805
12/08/2016,Q (Aug 17),19.80,19.89,19.67,19.74,19.7000,0.02,165,0,916
12/09/2016,Q (Aug 17),19.80,19.85,19.65,19.67,19.6500,-0.05,167,0,1062
12/12/2016,Q (Aug 17),19.80,19.85,19.75,19.84,19.8000,0.15,40,0,1079
12/13/2016,Q (Aug 17),19.80,19.90,19.75,19.75,19.7750,-0.02,104,0,1135
12/14/2016,Q (Aug 17),19.83,19.85,19.65,19.80,19.7000,-0.08,60,0,1168
12/15/2016,Q (Aug 17),19.60,19.70,19.60,19.70,19.6500,-0.05,29,0,1168
12/16/2016,Q (Aug 17),19.75,19.75,19.63,19.67,19.6500,0.00,17,0,1167
12/19/2016,Q (Aug 17),19.61,19.61,19.47,19.47,19.5000,-0.15,35,0,1176
12/20/2016,Q (Aug 17),19.52,19.53,19.40,19.45,19.4500,-0.05,33,0,1196
12/21/2016,Q (Aug 17),19.42,19.46,19.31,19.46,19.4000,-0.05,48,0,1218
12/22/2016,Q (Aug 17),19.50,19.59,19.45,19.53,19.5250,0.12,223,0,1372
12/23/2016,Q (Aug 17),19.60,19.70,19.55,19.62,19.6250,0.10,121,0,1427
12/27/2016,Q (Aug 17),19.50,19.50,19.44,19.44,19.4500,-0.18,30,0,1445
12/28/2016,Q (Aug 17),19.55,19.65,19.45,19.55,19.5500,0.10,304,0,1638
12/29/2016,Q (Aug 17),19.55,19.75,19.55,19.70,19.6750,0.12,177,0,1775
12/30/2016,Q (Aug 17),19.70,19.87,19.55,19.80,19.7500,0.08,316,0,1987
01/03/2017,Q (Aug 17),19.71,19.71,19.30,19.30,19.3000,-0.45,153,0,2064
01/04/2017,Q (Aug 17),19.25,19.28,18.90,19.05,19.0250,-0.28,271,0,2154
01/05/2017,Q (Aug 17),18.96,19.15,18.95,18.95,18.9750,-0.05,242,0,2313
01/06/2017,Q (Aug 17),18.96,18.96,18.70,18.86,18.8500,-0.12,133,0,2406
01/09/2017,Q (Aug 17),18.85,18.85,18.65,18.76,18.7750,-0.08,50,0,2418
01/10/2017,Q (Aug 17),18.80,18.90,18.68,18.80,18.7500,-0.02,493,0,2476
01/11/2017,Q (Aug 17),18.75,18.95,18.65,18.66,18.6750,-0.08,146,0,2514
01/12/2017,Q (Aug 17),18.70,19.00,18.68,18.85,18.8250,0.15,761,0,2890
01/13/2017,Q (Aug 17),18.80,19.00,18.75,18.95,18.9750,0.15,343,0,3102
01/17/2017,Q (Aug 17),19.00,19.20,18.94,19.05,19.0500,0.08,554,0,3278
01/18/2017,Q (Aug 17),19.05,19.13,18.87,19.04,19.0250,-0.02,1830,0,4162
01/19/2017,Q (Aug 17),19.00,19.20,18.90,18.90,18.9250,-0.10,1893,0,4615
01/20/2017,Q (Aug 17),18.85,18.93,18.60,18.80,18.8250,-0.10,2670,0,5375
01/23/2017,Q (Aug 17),18.83,18.90,18.63,18.63,18.6250,-0.20,1439,0,5974
01/24/2017,Q (Aug 17),18.63,18.65,18.05,18.16,18.1750,-0.45,2096,0,6373
01/25/2017,Q (Aug 17),18.05,18.14,17.85,17.92,17.9250,-0.25,1555,0,6798
01/26/2017,Q (Aug 17),17.90,18.00,17.83,17.94,17.9250,0.00,1291,0,7076
01/27/2017,Q (Aug 17),17.95,18.10,17.90,18.00,18.0250,0.10,1582,0,7713
01/30/2017,Q (Aug 17),18.09,18.39,18.05,18.05,18.0750,0.05,2302,0,7980
01/31/2017,Q (Aug 17),18.10,18.20,17.95,17.96,17.9750,-0.10,1060,0,8449
02/01/2017,Q (Aug 17),17.95,17.97,17.65,17.80,17.7750,-0.20,1979,0,9354
02/02/2017,Q (Aug 17),17.80,17.91,17.70,17.87,17.8750,0.10,1399,0,9953
02/03/2017,Q (Aug 17),17.90,17.90,17.56,17.70,17.6750,-0.20,3244,0,11371
02/06/2017,Q (Aug 17),17.60,17.75,17.55,17.70,17.7250,0.05,1572,0,11567
02/07/2017,Q (Aug 17),17.75,17.79,17.62,17.77,17.7750,0.05,2177,0,11999
02/08/2017,Q (Aug 17),17.80,17.95,17.73,17.90,17.8750,0.10,3612,0,12942
02/09/2017,Q (Aug 17),17.85,17.90,17.65,17.70,17.7000,-0.18,2582,0,13885
02/10/2017,Q (Aug 17),17.65,17.70,17.58,17.65,17.6250,-0.08,2388,0,15056
02/13/2017,Q (Aug 17),17.66,17.67,17.40,17.40,17.4250,-0.20,2829,0,15966
02/14/2017,Q (Aug 17),17.40,17.41,16.90,16.90,16.8750,-0.55,3764,0,16469
02/15/2017,Q (Aug 17),16.91,17.07,16.60,16.60,16.6000,-0.28,8827,0,18083
02/16/2017,Q (Aug 17),16.64,17.15,16.60,16.80,16.7750,0.18,4538,0,19051
02/17/2017,Q (Aug 17),16.75,17.03,16.75,16.85,16.8750,0.10,1602,0,19107
02/21/2017,Q (Aug 17),16.90,17.03,16.73,17.00,17.0250,0.15,3119,0,19920
02/22/2017,Q (Aug 17),17.00,17.20,16.95,17.08,17.0750,0.05,2462,0,20477
02/23/2017,Q (Aug 17),17.05,17.45,17.05,17.42,17.4250,0.35,5939,0,21716
02/24/2017,Q (Aug 17),17.40,17.85,17.40,17.55,17.5250,0.10,7828,0,23919
02/27/2017,Q (Aug 17),17.50,17.55,17.13,17.22,17.2250,-0.30,3109,0,24830
02/28/2017,Q (Aug 17),17.18,17.43,17.15,17.22,17.2250,0.00,5729,0,24217
03/01/2017,Q (Aug 17),17.23,17.25,16.92,17.15,17.1750,-0.05,3299,0,23891
03/02/2017,Q (Aug 17),17.15,17.37,17.15,17.25,17.2750,0.10,3366,0,23744
03/03/2017,Q (Aug 17),17.26,17.35,16.95,16.97,16.9750,-0.30,2554,0,23637
03/06/2017,Q (Aug 17),16.95,17.10,16.83,16.90,16.8750,-0.10,2214,0,23458
03/07/2017,Q (Aug 17),16.90,16.95,16.74,16.95,16.9250,0.05,1707,0,23408
03/08/2017,Q (Aug 17),16.95,17.05,16.64,16.88,16.8750,-0.05,2591,0,23116
03/09/2017,Q (Aug 17),16.90,17.04,16.72,16.85,16.8750,0.00,2357,0,23175
03/10/2017,Q (Aug 17),16.83,16.93,16.68,16.80,16.7250,-0.15,1841,0,23333
03/13/2017,Q (Aug 17),16.75,16.81,16.64,16.70,16.6750,-0.05,2211,0,22999
03/14/2017,Q (Aug 17),16.65,16.89,16.63,16.85,16.8250,0.15,4012,0,23691
03/15/2017,Q (Aug 17),16.83,16.85,16.58,16.60,16.6250,-0.20,3059,0,23783
03/16/2017,Q (Aug 17),16.59,16.61,16.35,16.35,16.3750,-0.25,2354,0,24075
03/17/2017,Q (Aug 17),16.37,16.40,16.15,16.30,16.2750,-0.10,3070,0,23695
03/20/2017,Q (Aug 17),16.30,16.35,16.13,16.20,16.2250,-0.05,4185,0,24791
03/21/2017,Q (Aug 17),16.21,16.52,16.01,16.51,16.5250,0.30,6179,0,25205
03/22/2017,Q (Aug 17),16.50,16.66,16.35,16.45,16.4750,-0.05,13744,0,26798
03/23/2017,Q (Aug 17),16.49,16.74,16.30,16.70,16.6750,0.20,4972,0,27356
03/24/2017,Q (Aug 17),16.65,16.80,16.35,16.36,16.3500,-0.32,4032,0,27697
03/27/2017,Q (Aug 17),16.50,16.72,16.00,16.02,16.0250,-0.32,5173,0,28208
03/28/2017,Q (Aug 17),16.00,16.05,15.72,15.74,15.7250,-0.30,4808,0,28410
03/29/2017,Q (Aug 17),15.68,15.71,15.52,15.60,15.5750,-0.15,3024,0,28078
03/30/2017,Q (Aug 17),15.58,15.60,15.45,15.49,15.4750,-0.10,3178,0,28003
03/31/2017,Q (Aug 17),15.52,15.62,15.41,15.50,15.4750,0.00,4993,0,28832
04/03/2017,Q (Aug 17),15.46,15.65,15.40,15.57,15.5750,0.10,5263,0,28825
04/04/2017,Q (Aug 17),15.52,15.68,15.32,15.40,15.3750,-0.20,3638,0,28725
04/05/2017,Q (Aug 17),15.38,15.75,15.10,15.68,15.6750,0.30,4715,0,28570
04/06/2017,Q (Aug 17),15.70,15.78,15.28,15.35,15.3750,-0.30,4437,0,28534
04/07/2017,Q (Aug 17),15.35,15.63,15.30,15.60,15.6000,0.22,5465,0,28637
04/10/2017,Q (Aug 17),15.63,15.85,15.51,15.76,15.7750,0.18,4270,0,29024
04/11/2017,Q (Aug 17),15.76,16.20,15.76,15.87,15.8750,0.10,12752,0,31523
04/12/2017,Q (Aug 17),15.85,16.10,15.75,15.90,15.8750,0.00,6770,0,32389
04/13/2017,Q (Aug 17),15.95,16.12,15.62,16.10,16.1000,0.22,7533,0,32962
04/17/2017,Q (Aug 17),16.07,16.12,15.47,15.55,15.5750,-0.52,6806,0,32440
04/18/2017,Q (Aug 17),15.60,15.73,15.40,15.49,15.4750,-0.10,10437,0,32079
04/19/2017,Q (Aug 17),15.50,15.70,15.15,15.43,15.4250,-0.05,20594,0,34248
04/20/2017,Q (Aug 17),15.45,15.50,15.23,15.38,15.3750,-0.05,10903,0,35250
04/21/2017,Q (Aug 17),15.36,15.52,15.15,15.15,15.1750,-0.20,11918,0,38288
04/24/2017,Q (Aug 17),15.10,15.10,14.51,14.70,14.7250,-0.45,13164,0,37513
04/25/2017,Q (Aug 17),14.70,14.71,14.37,14.40,14.4250,-0.30,7273,0,38391
04/26/2017,Q (Aug 17),14.45,14.60,14.39,14.55,14.5250,0.10,6181,0,38485
04/27/2017,Q (Aug 17),14.56,14.65,14.45,14.58,14.5750,0.05,5636,0,38903
04/28/2017,Q (Aug 17),14.60,14.70,14.45,14.48,14.4750,-0.10,7443,0,39173
05/01/2017,Q (Aug 17),14.53,14.54,14.05,14.12,14.1250,-0.35,9137,0,39748
05/02/2017,Q (Aug 17),14.10,14.25,14.05,14.20,14.2250,0.10,8733,0,41085
05/03/2017,Q (Aug 17),14.25,14.38,14.12,14.35,14.3250,0.10,8162,0,41397
05/04/2017,Q (Aug 17),14.35,14.43,14.10,14.11,14.1250,-0.20,7917,0,41031
05/05/2017,Q (Aug 17),14.10,14.30,14.05,14.22,14.2250,0.10,11288,0,41527
05/08/2017,Q (Aug 17),14.21,14.40,14.15,14.33,14.3250,0.10,13935,0,40651
05/09/2017,Q (Aug 17),14.38,14.40,14.20,14.35,14.3250,0.00,12431,0,41485
05/10/2017,Q (Aug 17),14.38,14.45,14.27,14.40,14.4250,0.10,9577,0,40740
05/11/2017,Q (Aug 17),14.40,14.72,14.25,14.35,14.3750,-0.05,15895,0,43610
05/12/2017,Q (Aug 17),14.40,14.48,14.20,14.40,14.4250,0.05,11290,0,43619
05/15/2017,Q (Aug 17),14.43,14.43,14.15,14.15,14.1750,-0.25,12490,0,44521
05/16/2017,Q (Aug 17),14.17,14.30,14.08,14.13,14.1250,-0.05,19243,0,47917
05/17/2017,Q (Aug 17),14.10,15.25,14.05,14.98,14.9750,0.85,52227,0,47653
05/18/2017,Q (Aug 17),15.02,15.30,14.62,15.00,15.0250,0.05,34836,0,46407
05/19/2017,Q (Aug 17),15.00,15.04,14.12,14.15,14.1750,-0.85,43662,0,47588
05/22/2017,Q (Aug 17),14.15,14.30,13.90,13.95,13.9250,-0.25,22466,0,49612
05/23/2017,Q (Aug 17),13.95,14.20,13.85,14.15,14.1250,0.20,19013,0,49265
05/24/2017,Q (Aug 17),14.15,14.23,13.90,13.90,13.9250,-0.20,20694,0,50337
05/25/2017,Q (Aug 17),13.92,14.02,13.70,13.95,13.9250,0.00,24021,0,50078
05/26/2017,Q (Aug 17),13.95,14.03,13.75,13.79,13.7750,-0.15,18274,0,50085
05/30/2017,Q (Aug 17),13.79,13.88,13.55,13.58,13.5750,-0.20,20714,0,52941
05/31/2017,Q (Aug 17),13.58,13.79,13.42,13.50,13.5250,-0.05,24267,0,55188
06/01/2017,Q (Aug 17),13.50,13.55,13.30,13.31,13.3250,-0.20,17060,0,56236
06/02/2017,Q (Aug 17),13.30,13.50,13.23,13.44,13.4250,0.10,18156,0,54734
06/05/2017,Q (Aug 17),13.50,13.50,13.25,13.45,13.4250,0.00,17604,0,58356
06/06/2017,Q (Aug 17),13.45,13.70,13.40,13.65,13.6250,0.20,21349,0,59283
06/07/2017,Q (Aug 17),13.63,13.82,13.48,13.50,13.5250,-0.10,19632,0,59571
06/08/2017,Q (Aug 17),13.53,13.55,13.25,13.30,13.3250,-0.20,20873,0,61950
06/09/2017,Q (Aug 17),13.33,13.79,13.15,13.30,13.3250,0.00,32862,0,61091
06/12/2017,Q (Aug 17),13.30,13.80,13.30,13.40,13.4250,0.10,38416,0,61910
06/13/2017,Q (Aug 17),13.40,13.50,13.10,13.10,13.1250,-0.30,39149,0,66274
06/14/2017,Q (Aug 17),13.10,13.25,13.00,13.00,13.0250,-0.10,35794,0,67207
06/15/2017,Q (Aug 17),13.03,13.50,12.98,13.13,13.1250,0.10,40496,0,68685
06/16/2017,Q (Aug 17),13.15,13.20,12.93,12.95,12.9750,-0.15,43613,0,73036
06/19/2017,Q (Aug 17),12.96,12.99,12.55,12.75,12.7250,-0.25,38119,0,78674
06/20/2017,Q (Aug 17),12.75,12.95,12.57,12.72,12.7250,0.00,52427,0,80872
06/21/2017,Q (Aug 17),12.73,12.93,12.55,12.81,12.8250,0.10,95759,0,95235
06/22/2017,Q (Aug 17),12.80,12.88,12.70,12.72,12.7250,-0.10,55707,0,103610
06/23/2017,Q (Aug 17),12.72,12.85,12.55,12.63,12.6250,-0.10,65592,0,113840
06/26/2017,Q (Aug 17),12.62,12.70,12.30,12.35,12.3750,-0.25,69312,0,122009
06/27/2017,Q (Aug 17),12.38,12.75,12.30,12.65,12.6750,0.30,94747,0,126144
06/28/2017,Q (Aug 17),12.68,12.84,12.35,12.50,12.4750,-0.20,84696,0,135518
06/29/2017,Q (Aug 17),12.47,13.75,12.35,12.64,12.6250,0.15,213499,0,144944
06/30/2017,Q (Aug 17),12.70,13.00,12.45,12.70,12.6750,0.05,125739,0,159603
07/03/2017,Q (Aug 17),12.65,13.00,12.40,13.00,12.9750,0.30,66952,0,165029
07/05/2017,Q (Aug 17),12.95,13.10,12.70,12.93,12.9250,-0.05,106254,0,173119
07/06/2017,Q (Aug 17),12.90,13.55,12.80,13.42,13.4250,0.50,138835,85,176863
07/07/2017,Q (Aug 17),13.40,13.45,13.00,13.08,13.0750,-0.35,95516,0,189457
07/10/2017,Q (Aug 17),13.10,13.10,12.65,12.85,12.8250,-0.25,87638,0,201291
07/11/2017,Q (Aug 17),12.85,13.20,12.60,12.66,12.6750,-0.15,139665,0,220290
07/12/2017,Q (Aug 17),12.65,12.75,12.35,12.40,12.4250,-0.25,105737,0,249359
07/13/2017,Q (Aug 17),12.45,12.45,12.25,12.37,12.3750,-0.05,154723,0,256851
07/14/2017,Q (Aug 17),12.35,12.45,12.00,12.04,12.0250,-0.35,144141,0,279313
07/17/2017,Q (Aug 17),12.05,12.05,11.80,11.91,11.9250,-0.10,145171,0,300876
07/18/2017,Q (Aug 17),11.90,12.13,11.70,11.75,11.7750,-0.15,197236,0,326118
07/19/2017,Q (Aug 17),11.75,11.80,11.45,11.55,11.5250,-0.25,164784,0,326414
07/20/2017,Q (Aug 17),11.50,11.75,11.44,11.48,11.4750,-0.05,127310,0,329160
07/21/2017,Q (Aug 17),11.46,11.65,11.34,11.40,11.3750,-0.10,138040,400,311395
07/24/2017,Q (Aug 17),11.40,11.50,11.10,11.32,11.3250,-0.05,92903,0,310363
07/25/2017,Q (Aug 17),11.30,11.35,11.10,11.15,11.1750,-0.15,96881,0,304550
07/26/2017,Q (Aug 17),11.15,11.30,11.00,11.30,11.2750,0.10,89215,0,299009
07/27/2017,Q (Aug 17),11.30,12.10,11.10,11.45,11.4250,0.15,201666,0,283940
07/28/2017,Q (Aug 17),11.43,11.95,11.35,11.35,11.3750,-0.05,176296,0,270224
07/31/2017,Q (Aug 17),11.45,11.63,11.25,11.25,11.2750,-0.10,104180,0,261241
08/01/2017,Q (Aug 17),11.30,11.42,11.15,11.25,11.2250,-0.05,106236,0,253827
08/02/2017,Q (Aug 17),11.25,11.60,11.10,11.30,11.2750,0.05,138847,0,242622
08/03/2017,Q (Aug 17),11.28,11.50,11.20,11.35,11.3250,0.05,113239,0,231681
08/04/2017,Q (Aug 17),11.34,11.50,11.10,11.30,11.2750,-0.05,106325,225,222361
08/07/2017,Q (Aug 17),11.25,11.30,11.05,11.10,11.1250,-0.15,57472,0,214726
08/08/2017,Q (Aug 17),11.10,11.87,10.95,11.55,11.5250,0.40,234503,764,182440
08/09/2017,Q (Aug 17),11.55,12.61,11.50,11.71,11.7250,0.20,298433,0,155159
08/10/2017,Q (Aug 17),11.75,15.60,11.70,15.55,15.5250,3.80,373331,1087,122178
08/11/2017,Q (Aug 17),15.55,16.55,14.30,15.40,15.4250,-0.10,292347,906,90544
08/14/2017,Q (Aug 17),15.00,15.10,12.25,12.50,12.4500,-2.98,139574,0,70486
08/15/2017,Q (Aug 17),12.43,12.60,11.85,12.32,12.3250,-0.12,109439,0,47223
08/16/2017,Q (Aug 17),12.31,12.56,11.90,12.16,12.9500,0.62,10365,0,42017
