Price,Close,High,Low,Open,Volume,Return,Trend
Ticker,TSM,TSM,TSM,TSM,TSM,,
Datetime,,,,,,,
2025-07-22 13:30:00+00:00,233.75999450683594,238.0,231.75999450683594,237.8300018310547,5537229,,
2025-07-22 14:30:00+00:00,235.4499969482422,235.5500030517578,233.75999450683594,233.75999450683594,1430550,0.007229647848733256,
2025-07-22 15:30:00+00:00,234.81919860839844,236.3719024658203,234.72999572753906,235.39010620117188,992380,-0.0026791180633670697,
2025-07-22 16:30:00+00:00,235.41000366210938,235.52999877929688,234.6999969482422,234.77999877929688,646710,0.0025159997871222473,0.0023555098574961444
2025-07-22 17:30:00+00:00,234.92999267578125,235.47000122070312,234.24180603027344,235.41799926757812,556821,-0.00203904243176134,-0.0007340535693353875
2025-07-22 18:30:00+00:00,235.2050018310547,235.6300048828125,234.91000366210938,234.91000366210938,761871,0.0011706004505476209,0.0005491859353028428
2025-07-22 19:30:00+00:00,234.5500030517578,235.3350067138672,234.41000366210938,235.1999969482422,1154872,-0.0027847995331636843,-0.0012177471714591344
2025-07-23 13:30:00+00:00,237.80990600585938,239.01499938964844,236.3800048828125,237.61000061035156,2613208,0.01389854151220038,0.0040947808098614384
2025-07-23 14:30:00+00:00,237.6999969482422,238.14500427246094,237.10000610351562,237.75999450683594,981610,-0.0004621719063900853,0.00355052335754887
2025-07-23 15:30:00+00:00,237.7949981689453,238.6300048828125,237.33999633789062,237.63999938964844,769282,0.0003996685819218637,0.004612012729244053
2025-07-23 16:30:00+00:00,237.25,238.09500122070312,236.9199981689453,237.7949981689453,743922,-0.0022918823908907315,-0.0007847952384529844
2025-07-23 17:30:00+00:00,238.3699951171875,238.9499969482422,237.22000122070312,237.22999572753906,825428,0.004720738112486744,0.0009428414345059588
2025-07-23 18:30:00+00:00,238.9250030517578,239.03500366210938,238.0800018310547,238.36000061035156,931424,0.002328346461128561,0.0015857340609081911
2025-07-23 19:30:00+00:00,240.47999572753906,240.5,238.74349975585938,238.9199981689453,1832701,0.006508287771976651,0.004519124115197319
2025-07-24 13:30:00+00:00,239.52000427246094,241.0399932861328,238.02999877929688,240.2050018310547,2946967,-0.003991980506211301,0.0016148845756313035
2025-07-24 14:30:00+00:00,240.1999969482422,240.90499877929688,239.3699951171875,239.52000427246094,1227619,0.0028389807266693268,0.0017850959974782254
2025-07-24 15:30:00+00:00,240.38499450683594,240.77999877929688,239.76499938964844,240.24000549316406,795270,0.0007701813528067092,-0.0001276061422450884
2025-07-24 16:30:00+00:00,240.82000732421875,241.73939514160156,239.93170166015625,240.38499450683594,926576,0.0018096504662250545,0.0018062708485670302
2025-07-24 17:30:00+00:00,241.6300048828125,241.82000732421875,240.8300018310547,240.8300018310547,685137,0.003363497774099944,0.001981109864377236
2025-07-24 18:30:00+00:00,241.69000244140625,241.9499969482422,241.24000549316406,241.6898956298828,674647,0.00024830342830495233,0.0018071505562099837
2025-07-24 19:30:00+00:00,241.5800018310547,241.88999938964844,241.0800018310547,241.69000244140625,1111544,-0.00045513099110594535,0.001052223403766317
2025-07-25 13:30:00+00:00,245.86500549316406,246.1199951171875,240.94000244140625,241.48500061035156,3922139,0.01773741050430999,0.005843527647169666
2025-07-25 14:30:00+00:00,244.64999389648438,245.8892059326172,243.80999755859375,245.83999633789062,1848055,-0.004941783375159825,0.004113498712681407
