Price,Close,High,Low,Open,Volume,Return,Trend
Ticker,META,META,META,META,META,,
Datetime,,,,,,,
2025-07-22 13:30:00+00:00,704.2449951171875,716.5999755859375,701.4099731445312,716.5999755859375,2903758,,
2025-07-22 14:30:00+00:00,704.7050170898438,706.159912109375,703.3200073242188,704.344970703125,1001215,0.0006532129810588039,
2025-07-22 15:30:00+00:00,703.030029296875,706.2999877929688,702.719970703125,704.8049926757812,673922,-0.0023768637264508508,
2025-07-22 16:30:00+00:00,704.6799926757812,705.39990234375,702.5,702.97998046875,671722,0.0023469315820783265,0.00020776027889542656
2025-07-22 17:30:00+00:00,704.289794921875,704.8800048828125,702.4199829101562,704.7000122070312,600875,-0.000553723332522349,-0.0001945518256316244
2025-07-22 18:30:00+00:00,707.7999877929688,708.0454711914062,704.1099853515625,704.1099853515625,730411,0.004984017795520046,0.0022590753483586745
2025-07-22 19:30:00+00:00,704.6699829101562,708.719970703125,703.5,707.7999877929688,1151895,-0.004422160125450603,2.711445849031454e-06
2025-07-23 13:30:00+00:00,708.2271118164062,710.4299926757812,704.9299926757812,706.364990234375,1898127,0.005047935902647183,0.001869931190905542
2025-07-23 14:30:00+00:00,709.2550048828125,710.0800170898438,707.5,708.4600219726562,1102154,0.0014513607983319687,0.0006923788585095162
2025-07-23 15:30:00+00:00,710.6824951171875,714.6284790039062,709.0499877929688,709.2550048828125,1163193,0.00201266148923529,0.002837319396738147
2025-07-23 16:30:00+00:00,711.905029296875,712.0999145507812,709.3463134765625,710.6300048828125,628483,0.001720225541063769,0.0017280826095436759
2025-07-23 17:30:00+00:00,713.2000122070312,713.9500122070312,711.6201171875,711.8569946289062,700063,0.0018190388561172277,0.0018506419621387622
2025-07-23 18:30:00+00:00,713.0,714.3099975585938,712.760009765625,713.22998046875,691084,-0.00028044335895660577,0.0010862736794081302
2025-07-23 19:30:00+00:00,713.8300170898438,714.1300048828125,712.125,713.0399780273438,899175,0.0011641193405942385,0.0009009049459182868
2025-07-24 13:30:00+00:00,718.64501953125,723.6239013671875,715.4400024414062,717.0499877929688,3146665,0.006745306762296455,0.002542994247978029
2025-07-24 14:30:00+00:00,717.4299926757812,722.010009765625,717.10009765625,718.6599731445312,1241728,-0.001690719092802273,0.00207290233669614
2025-07-24 15:30:00+00:00,714.5900268554688,717.4998779296875,714.2000122070312,717.4249877929688,1064532,-0.003958526754255676,0.0003653536384128353
2025-07-24 16:30:00+00:00,715.739990234375,717.2999877929688,714.0,714.5999755859375,854442,0.00160926312387355,-0.0013466609077281329
2025-07-24 17:30:00+00:00,718.219970703125,718.4498901367188,714.8901977539062,715.6799926757812,647127,0.0034649181303085808,0.00037188483330881833
2025-07-24 18:30:00+00:00,718.4199829101562,718.7382202148438,716.989990234375,718.219970703125,745478,0.0002784832157136652,0.0017842214899652653
2025-07-24 19:30:00+00:00,714.780029296875,718.3300170898438,714.7100219726562,718.3300170898438,1234604,-0.005066609643201492,-0.00044106943239308194
2025-07-25 13:30:00+00:00,716.4555053710938,719.8900146484375,713.0,716.7100219726562,1730794,0.0023440443290880797,-0.0008146940327999156
2025-07-25 14:30:00+00:00,717.97998046875,718.39990234375,715.2100219726562,716.5150146484375,1009988,0.002127801498107873,-0.0001982546053351797
2025-07-25 15:30:00+00:00,718.2150268554688,718.47998046875,716.3300170898438,718.0399780273438,685496,0.00032737178349351304,0.0015997392035631552
2025-07-25 16:30:00+00:00,719.22998046875,720.64990234375,717.8895263671875,718.0700073242188,947562,0.0014131612056698106,0.0012894448290903988
2025-07-25 17:30:00+00:00,716.1828002929688,719.510009765625,715.8200073242188,719.25,632183,-0.004236725746325609,-0.0008320642523874285
2025-07-25 18:30:00+00:00,713.5800170898438,717.1900024414062,713.5800170898438,716.0800170898438,1006379,-0.0036342442209730264,-0.0021526029205429418
2025-07-25 19:30:00+00:00,712.9299926757812,713.7742919921875,711.9000244140625,713.5700073242188,1268074,-0.0009109341608436461,-0.0029273013760474273
2025-07-28 13:30:00+00:00,719.6599731445312,724.7352294921875,714.260009765625,715.0900268554688,3038576,0.00943988966362741,0.0016315704272702458
2025-07-28 14:30:00+00:00,717.0599975585938,720.2999877929688,715.448974609375,719.6950073242188,963447,-0.003612783374038475,0.0016387240429150962
2025-07-28 15:30:00+00:00,716.6599731445312,718.1500244140625,716.0,717.094970703125,623189,-0.0005578674245174664,0.0017564129550238228
2025-07-28 16:30:00+00:00,715.0640258789062,717.4478149414062,714.4000244140625,716.719970703125,638976,-0.0022269239603578406,-0.0021325249196379272
2025-07-28 17:30:00+00:00,713.5800170898438,716.7747802734375,712.6799926757812,715.0,752151,-0.002075350927126407,-0.0016200474373339047
2025-07-28 18:30:00+00:00,714.6300048828125,715.1599731445312,713.2100219726562,713.6099853515625,682703,0.0014714366543655544,-0.0009436127443728978
2025-07-28 19:30:00+00:00,717.719970703125,717.8800048828125,714.4910278320312,714.5999755859375,980632,0.004323868014496801,0.0012399845805786496
2025-07-29 13:30:00+00:00,715.2399291992188,724.3300170898438,712.989990234375,720.0250244140625,2332518,-0.003455444470183311,0.0007799533995596816
2025-07-29 14:30:00+00:00,711.3099975585938,716.75,710.5590209960938,715.030029296875,1419330,-0.005494564103859401,-0.0015420468531819702
2025-07-29 15:30:00+00:00,709.89501953125,712.659912109375,709.3200073242188,711.2000122070312,1178675,-0.001989256487607838,-0.0036464216872168498
2025-07-29 16:30:00+00:00,710.9299926757812,711.8900146484375,708.4201049804688,709.89501953125,1006910,0.001457924222675322,-0.002008632122930639
2025-07-29 17:30:00+00:00,708.1849975585938,710.9992065429688,707.8699951171875,710.885009765625,1163438,-0.003861132805574763,-0.0014641550235024263
2025-07-29 18:30:00+00:00,706.2100219726562,708.97998046875,705.6699829101562,708.1400146484375,1389735,-0.0027887848411729532,-0.001730664474690798
2025-07-29 19:30:00+00:00,700.0,706.7899780273438,699.9099731445312,706.280029296875,2920600,-0.00879344922819103,-0.0051477889583129155
2025-07-30 13:30:00+00:00,702.7000122070312,708.5,699.5999755859375,708.0,3219320,0.003857160295758888,-0.0025750245912016987
2025-07-30 14:30:00+00:00,699.7501220703125,704.2000122070312,699.0,702.6699829101562,1952086,-0.004197936652162282,-0.0030447418615314747
2025-07-30 15:30:00+00:00,700.7100219726562,702.0,698.9600219726562,700.0858154296875,1519745,0.0013717752552921958,0.00034366629962960066
2025-07-30 16:30:00+00:00,700.0449829101562,702.0,699.9000244140625,700.7999877929688,1059943,-0.0009490931221844967,-0.0012584181730181943
2025-07-30 17:30:00+00:00,699.5750122070312,702.8798828125,698.75,700.0579833984375,1802496,-0.0006713435773387788,-8.288714807702657e-05
2025-07-30 18:30:00+00:00,694.7249755859375,700.677978515625,691.2000732421875,699.625,3354584,-0.006932832843461356,-0.002851089847661544
2025-07-30 19:30:00+00:00,695.6300048828125,696.9998779296875,693.3309936523438,694.7694702148438,2724938,0.0013027159360603502,-0.002100486828246595
