Price,Close,High,Low,Open,Volume,Return,Trend
Ticker,MC.PA,MC.PA,MC.PA,MC.PA,MC.PA,,
Datetime,,,,,,,
2025-07-23 07:00:00+00:00,474.8999938964844,478.95001220703125,473.3500061035156,477.1499938964844,0,,
2025-07-23 08:00:00+00:00,478.25,479.29998779296875,474.70001220703125,474.8500061035156,25805,0.007054129599011638,
2025-07-23 09:00:00+00:00,475.8500061035156,479.75,475.75,478.25,23798,-0.005018283108174315,
2025-07-23 10:00:00+00:00,475.04998779296875,476.45001220703125,474.95001220703125,475.8999938964844,12994,-0.001681240517569349,0.00011820199108932468
2025-07-23 11:00:00+00:00,476.70001220703125,477.1000061035156,473.6000061035156,475.1000061035156,17575,0.003473370079911664,-0.0010753845152773334
2025-07-23 12:00:00+00:00,478.54998779296875,479.0,476.20001220703125,476.70001220703125,15496,0.0038807961790738865,0.0018909752471387338
2025-07-23 13:00:00+00:00,477.25,480.25,477.1499938964844,478.45001220703125,33294,-0.0027165141074690924,0.001545884050505486
2025-07-23 14:00:00+00:00,477.75,479.95001220703125,476.95001220703125,477.3999938964844,44072,0.0010476689366161196,0.0007373170027403045
2025-07-23 15:00:00+00:00,480.75,480.8500061035156,477.45001220703125,477.8500061035156,16609,0.006279434850863463,0.0015368632266701636
2025-07-24 07:00:00+00:00,473.5,483.5,472.04998779296875,483.25,60450,-0.015080603224128963,-0.00258449981221646
2025-07-24 08:00:00+00:00,471.5,474.5,469.8500061035156,473.6000061035156,41107,-0.004223864836325197,-0.004341677736530232
2025-07-24 09:00:00+00:00,474.5,474.8999938964844,470.04998779296875,471.6000061035156,28847,0.006362672322375307,-0.004313931912692952
2025-07-24 10:00:00+00:00,471.3999938964844,474.6000061035156,470.6499938964844,474.6000061035156,17912,-0.00653320569760929,-0.0014647994038530603
2025-07-24 11:00:00+00:00,474.1499938964844,474.8999938964844,471.1000061035156,471.3999938964844,11944,0.005833686965647011,0.0018877178634710094
2025-07-24 12:00:00+00:00,471.5,474.1000061035156,471.3500061035156,474.1000061035156,23445,-0.0055889358443457215,-0.002096151525436
2025-07-24 13:00:00+00:00,467.20001220703125,471.5,465.6000061035156,471.45001220703125,59866,-0.009119804438958101,-0.002958351105885604
2025-07-24 14:00:00+00:00,466.8999938964844,468.0,463.75,467.25,60179,-0.000642162462987983,-0.005116967582097269
2025-07-24 15:00:00+00:00,469.20001220703125,469.54998779296875,466.1000061035156,466.79998779296875,24368,0.004926147656058477,-0.0016119397486292024
2025-07-25 07:00:00+00:00,473.3999938964844,476.0,460.1000061035156,464.95001220703125,0,0.008951367391695442,0.004411784194921979
2025-07-25 08:00:00+00:00,490.0,494.3999938964844,470.0,473.20001220703125,167525,0.035065497079717955,0.016314337375823957
2025-07-25 09:00:00+00:00,487.1499938964844,491.20001220703125,481.25,490.04998779296875,66860,-0.005816338986766589,0.01273350849488227
2025-07-25 10:00:00+00:00,487.29998779296875,488.8500061035156,484.6499938964844,487.25,35756,0.00030790084853471456,0.00985235298049536
2025-07-25 11:00:00+00:00,480.95001220703125,489.0,480.0,487.29998779296875,63368,-0.013030937297366263,-0.006179791811866046
2025-07-25 12:00:00+00:00,478.25,482.6000061035156,477.79998779296875,481.0,33654,-0.005613914416263688,-0.006112316955031745
2025-07-25 13:00:00+00:00,481.3999938964844,482.25,476.1499938964844,478.1499938964844,54782,0.006586500567661968,-0.004019450381989327
2025-07-25 14:00:00+00:00,485.1499938964844,485.8500061035156,480.8999938964844,481.3999938964844,52327,0.007789779907654948,0.002920788686351076
2025-07-25 15:00:00+00:00,489.29998779296875,490.75,484.5,485.20001220703125,54451,0.008554042973707432,0.007643441149674783
2025-07-28 07:00:00+00:00,491.1000061035156,500.20001220703125,487.54998779296875,495.75,0,0.0036787622224681016,0.00667419503461016
2025-07-28 08:00:00+00:00,489.8500061035156,491.8999938964844,489.29998779296875,491.1499938964844,51674,-0.0025453064232634492,0.0032291662576373614
2025-07-28 09:00:00+00:00,491.8500061035156,493.79998779296875,489.6499938964844,489.8500061035156,36383,0.00408288246418298,0.0017387794211292107
2025-07-28 10:00:00+00:00,491.95001220703125,492.70001220703125,489.95001220703125,491.6499938964844,34062,0.00020332642528142486,0.0005803008220669851
2025-07-28 11:00:00+00:00,490.45001220703125,492.95001220703125,490.0,491.95001220703125,27393,-0.0030490902790520913,0.0004123728701374378
2025-07-28 12:00:00+00:00,491.75,492.20001220703125,489.3500061035156,490.54998779296875,42144,0.002650602019803827,-6.50539446556131e-05
2025-07-28 13:00:00+00:00,489.8500061035156,492.04998779296875,489.20001220703125,491.70001220703125,82735,-0.0038637394946301473,-0.0014207425846261372
2025-07-28 14:00:00+00:00,489.95001220703125,490.79998779296875,489.54998779296875,489.8500061035156,50165,0.0002041565831776282,-0.00033632696388289734
2025-07-28 15:00:00+00:00,490.25,491.29998779296875,489.6000061035156,489.95001220703125,30023,0.0006122824481979983,-0.0010157668210848403
2025-07-29 07:00:00+00:00,485.75,489.45001220703125,481.29998779296875,489.0,0,-0.009178990311065838,-0.0027875170932300706
2025-07-29 08:00:00+00:00,481.79998779296875,486.1000061035156,481.45001220703125,485.79998779296875,35912,-0.008131780148288748,-0.005566162670385529
2025-07-29 09:00:00+00:00,483.54998779296875,483.6499938964844,480.3500061035156,481.79998779296875,33191,0.0036322126283490075,-0.0045595192770018595
