ticker,entity_start,reason
SPCX,2026-06-12,SpaceX Class A took the ticker Apr 2026; earlier rows are the AXS SPAC and New Issue ETF (renamed SPCK 2026-04-07)
BETR,2023-08-24,Better Home and Finance post-merger; earlier rows are Aurora Acquisition Corp SPAC (872.15 -> 57.50 handover)
