ticker,horizon,n_obs,win_rate,avg_return_per_bar,annualized_return,annualized_vol,sharpe,turnover,fitness
ARM,1,38,0.8461538461538461,0.01954613272315483,4.925625446235017,0.7282624950233942,6.7635302928469345,0.32432432432432434,26.358116343812824
HUM,1,38,0.7058823529411765,0.008865115672065434,2.2340091493604897,0.37280472387777375,5.992437880408733,0.08108108108108109,25.333255771492713
AMD,1,45,0.7777777777777778,0.01527626343924653,3.8496183866901257,0.6620254943845947,5.814909575753804,0.20454545454545456,25.226493597626813
INTC,1,38,0.6363636363636364,0.017166697881804787,4.326007866214806,0.6895217871603877,6.273924837140129,0.32432432432432434,22.913593430024555
MU,1,38,0.5277777777777778,0.010315153345474837,2.599418643059659,0.7465087478591232,3.482100712837468,0.02702702702702703,15.879047076103564
QQQ,1,33,0.6666666666666666,0.004067655511820769,1.0250491889788338,0.18515844949202206,5.53606487735792,0.09375,15.85325764100284
GOOG,1,45,0.64,0.006264569584003496,1.578671535168881,0.3075799154910811,5.132557282384251,0.20454545454545456,14.258859107209842
QURE,1,38,0.625,0.010924871479337558,2.753067612793065,0.7248192041730022,3.7982818293759695,0.21621621621621623,13.553501030250342
SPY,1,33,0.6,0.0032131592621968868,0.8097161340736154,0.15379096383069812,5.265043627433125,0.09375,13.400264297468224
UNH,1,45,0.625,0.005455404966482372,1.3747620515535577,0.25261091185275675,5.442211666433819,0.22727272727272727,13.384912454750054
FTNT,1,38,0.6666666666666666,0.00946765569348523,2.385849234758278,0.5991843295765557,3.9818284908157744,0.21621621621621623,13.226956233969124
PL,1,38,0.6,0.012830765869764957,3.2333529991807692,0.8852155536734635,3.6526165697868906,0.32432432432432434,11.532962620544533
USAR,1,36,0.6470588235294118,0.013172421554107947,3.319450231635203,0.791552068499583,4.193596812812765,0.45714285714285713,11.300399186881371
FIVN,1,38,0.8,0.011104264006427911,2.7982745296198335,0.8665379262903027,3.2292579986653362,0.24324324324324326,10.952859356545998
ROKU,1,38,0.6923076923076923,0.008049887114431695,2.0285715528367874,0.4163585317298815,4.872174816277938,0.40540540540540543,10.898663922123157
AMPX,1,38,0.7,0.0058836359980596825,1.48267627151104,0.4099019549070379,3.617148573607798,0.21621621621621623,9.472080598676364
CNC,1,45,0.6571428571428571,0.007907523009885242,1.992695798491081,0.592909316011754,3.3608778689717487,0.2727272727272727,9.084665659038807
QUBT,1,38,0.8571428571428571,0.005744968520600289,1.4477320671912728,0.419221326344071,3.4533836334534747,0.21621621621621623,8.936033578247661
QS,1,38,0.6,0.0036337255789121083,0.9156988458858513,0.25230505545493925,3.6293321361901594,0.16216216216216217,8.624387957247716
DDOG,1,45,0.7,0.004553084266211532,1.147377235085306,0.35261392201779007,3.2539192681887883,0.18181818181818182,8.174124210770499
MP,1,45,0.6363636363636364,0.005751833317050715,1.4494619958967803,0.507731993686752,2.8547777447939073,0.22727272727272727,7.209448720462195
PUBM,1,38,0.7272727272727273,0.004237984258424936,1.067972033123084,0.4414672139717242,2.419142349246998,0.08108108108108109,7.0710898830523465
DNA,1,38,0.6538461538461539,0.008540843740603451,2.1522926226320696,0.9088410455221804,2.3681727770068486,0.2702702702702703,6.682899114038158
ETSY,1,38,0.625,0.00523610172973676,1.3194976358936634,0.4888424440729034,2.69922886584881,0.21621621621621623,6.668065948282856
AMZN,1,38,0.6296296296296297,0.0036470961041456377,0.9190682182447008,0.22347385903552264,4.112643072488442,0.35135135135135137,6.651568679645518
APLD,1,38,0.5,0.006607613579047982,1.6651186219200915,0.5766102525941921,2.887771444279143,0.32432432432432434,6.543282115982894
GLD,1,33,0.5517241379310345,0.0030169750895962955,0.7602777225782664,0.27052104977144364,2.8104198295127336,0.15625,6.199366620726062
S,1,38,0.7,0.00538294784539099,1.3565028570385294,0.42160081239197067,3.217505320595449,0.40540540540540543,5.885520309008628
TEAM,1,38,0.4666666666666667,0.004719980329797122,1.1894350431088747,0.5287683750484587,2.2494443677723153,0.1891891891891892,5.640238434339802
ASAN,1,38,0.5882352941176471,0.005258056799025884,1.3250303133545227,0.5888357785768872,2.250254419928233,0.21621621621621623,5.570579786298889
NVO,1,45,0.5517241379310345,0.003946236794174397,0.9944516721319481,0.29800186813415974,3.3370652283436297,0.38636363636363635,5.353754031686065
COIN,1,33,0.6470588235294118,0.004628193452223715,1.1663047499603763,0.5495017151595655,2.122476996494364,0.1875,5.29356656030585
XYZ,1,36,0.47368421052631576,0.004064843503600885,1.0243405629074231,0.3483046949719819,2.9409324011260383,0.34285714285714286,5.08335718398898
ONTO,1,38,0.6428571428571429,0.0038521334187594544,0.9707376215273825,0.40848844253071975,2.3764139213176874,0.2702702702702703,4.503745908026568
CI,1,38,0.5925925925925926,0.0027573362203668476,0.6948487275324456,0.219644630763977,3.1635133766557106,0.35135135135135137,4.448811393676003
NVDA,1,45,0.5625,0.0032845165451725372,0.8276981693834794,0.33955150913589915,2.4376218250062576,0.25,4.435395205099178
XLF,1,33,0.6153846153846154,0.0013817126231923313,0.34819158104446746,0.10286734953738687,3.3848600416978583,0.21875,4.270471405411572
TSLA,1,45,0.6176470588235294,0.003437332752117402,0.8662078535335853,0.36541319327637134,2.3704887220053115,0.2727272727272727,4.224590977123504
UAL,1,38,0.5454545454545454,0.003443085045644489,0.8676574315024111,0.34319303669179474,2.5281906645489802,0.32432432432432434,4.135177992016693
LYFT,1,38,0.5909090909090909,0.0026979911853176274,0.6798937787000421,0.2917688354079502,2.3302481149140446,0.21621621621621623,4.132173683249035
ZM,1,45,0.65,0.003061550221188222,0.7715106557394319,0.3429000307063878,2.2499579663206477,0.2727272727272727,3.784261019874456
IREN,1,38,0.6666666666666666,0.0033940853462969996,0.8553095072668438,0.39805386358890965,2.1487280629693,0.32432432432432434,3.4894207928662837
BRKR,1,38,0.5,0.003903196636778021,0.9836055524680614,0.4401292011796202,2.234810936951771,0.40540540540540543,3.4810199032196834
AAPL,1,45,0.5,0.0019930403665541,0.5022461723716333,0.2136078789033262,2.3512530293835177,0.25,3.3326344670758727
AI,1,38,0.5714285714285714,0.003000178963202722,0.7560450987270859,0.48418196315526024,1.5614895974236211,0.1891891891891892,3.121510416433594
NVMI,1,38,0.5185185185185185,0.002575221747674729,0.6489558804140317,0.4351654056437664,1.4912855479722527,0.16216216216216217,2.9832773581905165
ABNB,1,38,0.7333333333333333,0.0013986870377692394,0.3524691335178483,0.1383595121484094,2.5474875420186303,0.2702702702702703,2.9091993129234255
ADSK,1,38,0.6521739130434783,0.0022103049158552542,0.5569968387955241,0.320292071950101,1.7390278672970083,0.21621621621621623,2.791185981210012
OKLO,1,38,0.5,0.004426813907014909,1.115557104567757,0.7400619280598814,1.5073834530202894,0.35135135135135137,2.6859556207518533
TGT,1,38,0.5882352941176471,0.001760143685916111,0.44355620885086,0.180726892162444,2.4542900259258333,0.43243243243243246,2.485656342655511
MSFT,1,45,0.5,0.0019440036161118954,0.4898889112601976,0.25683282081863623,1.9074233180117393,0.29545454545454547,2.4561255008983207
CRWD,1,45,0.6785714285714286,0.0028341756243678504,0.7142122573406983,0.4357451176270227,1.6390596898254413,0.3409090909090909,2.372406624104103
DUOL,1,44,0.5384615384615384,0.0022021177266422303,0.5549336671138421,0.47723578842325903,1.16280815600039,0.16279069767441862,2.1469098765393255
TSM,1,45,0.5333333333333333,0.002340458439674049,0.5897955267978604,0.37119426036208697,1.5889133798096327,0.3409090909090909,2.089929653160723
WMT,1,38,0.6,0.0008709837507227307,0.21948790518212813,0.1402215124345577,1.5652940934049944,0.10810810810810811,2.0741790180839876
NET,1,38,0.6470588235294118,0.003330903030336126,0.8393875636447038,0.7537502174854697,1.1136150201653308,0.24324324324324326,2.068692559830456
GM,1,38,0.5,0.0013295288502300638,0.3350412702579761,0.18156456856970382,1.8453009466401016,0.3783783783783784,1.7364136933035195
V,1,38,0.4166666666666667,0.0014721701676549356,0.37098688224904375,0.2440681833067009,1.5200132898225998,0.2972972972972973,1.6979745688174475
BA,1,38,0.625,0.001294250134059826,0.32615103378307614,0.20901606337828174,1.560411331605653,0.2972972972972973,1.6343798323941454
MRNA,1,45,0.39285714285714285,0.002155143770044023,0.5430962300510938,0.468733965714182,1.1586449239359269,0.29545454545454547,1.5708814795272754
NOK,1,38,0.6,0.0015864993424058278,0.3997978342862686,0.3220134152940699,1.2415564547867182,0.2702702702702703,1.5100368746727277
VZ,1,38,0.5714285714285714,0.0006009597440804697,0.15144185550827838,0.10815078879937388,1.400284336244759,0.2972972972972973,0.9994100474686815
XLI,1,33,0.45161290322580644,0.000658210991749263,0.16586916992081427,0.21436661573925944,0.7737639993466423,0.0625,0.8913255354040458
ORIC,1,38,0.5,0.0010682256390897203,0.2691928610506095,0.32137415010704956,0.8376307209554393,0.24324324324324326,0.88117866519211
XLE,1,33,0.5769230769230769,0.0006132031669031997,0.15452719805960632,0.22200002775560318,0.6960683727018414,0.15625,0.6922203348319611
AXP,1,45,0.45,0.00044115616455180903,0.11117135346705588,0.18224535344194243,0.6100092615116881,0.20454545454545456,0.44971560613909733
LLY,1,38,0.42857142857142855,0.0008279960565872338,0.20865500625998293,0.4051936800320933,0.5149512851322273,0.32432432432432434,0.4130387426018892
GME,1,38,0.6086956521739131,0.0006897058805718058,0.17380588190409504,0.4041421377856695,0.4300612721464603,0.21621621621621623,0.3855834977364342
SMMT,1,38,0.5909090909090909,0.0010275384588732932,0.2589396916360699,0.9275928184241031,0.279152324697797,0.16216216216216217,0.352749006254719
HY,1,38,0.5,0.00042503166020552353,0.10710797837179192,0.40464699695048695,0.26469485546410165,0.32432432432432434,0.15211311173886743
JNJ,1,45,0.4583333333333333,0.00020975326067683246,0.05285782169056178,0.11985466254742155,0.4410159819159986,0.4772727272727273,0.14676606479581222
XLU,1,33,0.5161290322580645,0.00014429140591023203,0.03636143428937847,0.1589646964060362,0.22873905408847595,0.125,0.12336893544656626
OPEN,1,45,0.56,0.0004050492794329739,0.10207241841710941,0.5486118180801676,0.18605581406230984,0.4318181818181818,0.09045800095210965
ALK,1,38,0.47058823529411764,0.0001242888402669156,0.031320787747262734,0.41278740912917594,0.07587631563990203,0.24324324324324326,0.0272271497527171
ROST,1,38,0.5454545454545454,2.5581503605763117e-05,0.006446538908652305,0.20022131214880978,0.03219706653336218,0.13513513513513514,0.007032268901230534
SNOW,1,45,0.5,-2.645131049719711e-05,-0.006665730245293672,0.6191937477281074,-0.010765176925237048,0.38636363636363635,-0.0014139918833558599
CRM,1,38,0.5483870967741935,-0.0001971539356470128,-0.04968279178304722,0.4272463864920285,-0.11628604326177068,0.24324324324324326,-0.05255453486623276
PLTR,1,45,0.5714285714285714,-0.00018667147155528962,-0.04704121083193299,0.3229320006692388,-0.145669090503405,0.3181818181818182,-0.05601043879560471
TJX,1,38,0.3888888888888889,-0.0001397712581372091,-0.03522235705057669,0.13298897811005794,-0.2648517008787575,0.21621621621621623,-0.10689757235097318
AZN,1,38,0.38461538461538464,-0.0003859307957633222,-0.09725456053235719,0.18713429849207908,-0.5197046255872423,0.24324324324324326,-0.3286178708041957
XLV,1,33,0.4375,-0.0003649296732848236,-0.09196227766777555,0.11152408581381483,-0.8245956646647885,0.4375,-0.3780566468060147
VKTX,1,38,0.375,-0.0007236124603451628,-0.18235034000698103,0.3819362167473497,-0.4774366294977613,0.21621621621621623,-0.43845486450013316
PYPL,1,45,0.4642857142857143,-0.000846883005184506,-0.21341451730649552,0.3033420462547625,-0.7035441342254902,0.2727272727272727,-0.6223562294533047
TPR,1,38,0.4,-0.0009753357018572993,-0.2457845968680394,0.26101812559245136,-0.9416380426078254,0.35135135135135137,-0.7875724451042404
SHOP,1,44,0.43478260869565216,-0.0015478899764683669,-0.3900682740700285,0.5206115893832525,-0.749250078224587,0.27906976744186046,-0.8858102800639196
CAVA,1,38,0.5,-0.0014827959767424164,-0.37366458613908893,0.39636424758257444,-0.9427303002681732,0.40540540540540543,-0.9050731230893603
META,1,45,0.4827586206896552,-0.0013617313800338873,-0.3431563077685396,0.3451305626744739,-0.9942796868216033,0.2727272727272727,-1.1152963354592118
BSX,1,45,0.47368421052631576,-0.0017754285497832121,-0.44740799454536945,0.3119309038338257,-1.4343176294700064,0.38636363636363635,-1.5434731679686284
BETR,1,38,0.5833333333333334,-0.0035900617220861113,-0.9046955539657,1.0619766586911101,-0.8518977762474934,0.2702702702702703,-1.558617595053898
