date,accuracy
2024-01-02,
2024-01-03,
2024-01-04,
2024-01-05,
2024-01-08,
2024-01-09,
2024-01-10,
2024-01-11,
2024-01-12,
2024-01-16,0.6
2024-01-17,0.6363636363636364
2024-01-18,0.5833333333333334
2024-01-19,0.6153846153846154
2024-01-22,0.6428571428571429
2024-01-23,0.6666666666666666
2024-01-24,0.625
2024-01-25,0.5882352941176471
2024-01-26,0.5555555555555556
2024-01-29,0.5263157894736842
2024-01-30,0.5
2024-01-31,0.47619047619047616
2024-02-01,0.5
2024-02-02,0.4782608695652174
2024-02-05,0.5
2024-02-06,0.52
2024-02-07,0.5384615384615384
2024-02-08,0.5185185185185185
2024-02-09,0.5357142857142857
2024-02-12,0.5172413793103449
2024-02-13,0.5333333333333333
2024-02-14,0.5666666666666667
2024-02-15,0.5666666666666667
2024-02-16,0.5666666666666667
2024-02-20,0.5666666666666667
2024-02-21,0.5666666666666667
2024-02-22,0.5333333333333333
2024-02-23,0.5666666666666667
2024-02-26,0.5666666666666667
2024-02-27,0.5666666666666667
2024-02-28,0.5666666666666667
2024-02-29,0.5666666666666667
2024-03-01,0.6
2024-03-04,0.6
2024-03-05,0.6
2024-03-06,0.6
2024-03-07,0.6333333333333333
2024-03-08,0.6666666666666666
2024-03-11,0.7
2024-03-12,0.7
2024-03-13,0.7333333333333333
2024-03-14,0.7666666666666667
2024-03-15,0.7333333333333333
2024-03-18,0.7666666666666667
2024-03-19,0.7666666666666667
2024-03-20,0.7666666666666667
2024-03-21,0.7333333333333333
2024-03-22,0.7666666666666667
2024-03-25,0.7333333333333333
2024-03-26,0.7333333333333333
2024-03-27,0.7
2024-03-28,0.6666666666666666
2024-04-01,0.6333333333333333
2024-04-02,0.6333333333333333
2024-04-03,0.6
2024-04-04,0.6333333333333333
2024-04-05,0.6666666666666666
2024-04-08,0.6666666666666666
2024-04-09,0.6333333333333333
2024-04-10,0.6666666666666666
2024-04-11,0.6333333333333333
2024-04-12,0.6333333333333333
2024-04-15,0.6
2024-04-16,0.6
2024-04-17,0.6
2024-04-18,0.5666666666666667
2024-04-19,0.5333333333333333
2024-04-22,0.5333333333333333
2024-04-23,0.5333333333333333
2024-04-24,0.5666666666666667
2024-04-25,0.5666666666666667
2024-04-26,0.5333333333333333
2024-04-29,0.5666666666666667
2024-04-30,0.5333333333333333
2024-05-01,0.5
2024-05-02,0.5
2024-05-03,0.5333333333333333
2024-05-06,0.5
2024-05-07,0.5333333333333333
2024-05-08,0.5666666666666667
2024-05-09,0.6
2024-05-10,0.6
2024-05-13,0.6333333333333333
2024-05-14,0.6333333333333333
2024-05-15,0.6666666666666666
2024-05-16,0.6666666666666666
2024-05-17,0.6666666666666666
2024-05-20,0.6666666666666666
2024-05-21,0.7
2024-05-22,0.6666666666666666
2024-05-23,0.6666666666666666
2024-05-24,0.6666666666666666
2024-05-28,0.7
2024-05-29,0.7
2024-05-30,0.7
2024-05-31,0.7333333333333333
2024-06-03,0.7666666666666667
2024-06-04,0.7666666666666667
2024-06-05,0.7666666666666667
2024-06-06,0.7333333333333333
2024-06-07,0.7333333333333333
2024-06-10,0.7333333333333333
2024-06-11,0.7333333333333333
2024-06-12,0.7666666666666667
2024-06-13,0.8
2024-06-14,0.7666666666666667
2024-06-17,0.7666666666666667
2024-06-18,0.7666666666666667
2024-06-20,0.7333333333333333
2024-06-21,0.7
2024-06-24,0.7
2024-06-25,0.7333333333333333
2024-06-26,0.7333333333333333
2024-06-27,0.7333333333333333
2024-06-28,0.7
2024-07-01,0.7
2024-07-02,0.7
2024-07-03,0.7
2024-07-05,0.7
2024-07-08,0.7333333333333333
2024-07-09,0.7666666666666667
2024-07-10,0.7666666666666667
2024-07-11,0.7333333333333333
2024-07-12,0.7333333333333333
2024-07-15,0.7333333333333333
2024-07-16,0.7333333333333333
2024-07-17,0.7
2024-07-18,0.6666666666666666
2024-07-19,0.6666666666666666
2024-07-22,0.6666666666666666
2024-07-23,0.6666666666666666
2024-07-24,0.6666666666666666
2024-07-25,0.6333333333333333
2024-07-26,0.6333333333333333
2024-07-29,0.6333333333333333
2024-07-30,0.6666666666666666
2024-07-31,0.6666666666666666
2024-08-01,0.6666666666666666
2024-08-02,0.7
2024-08-05,0.7
