horizon,n_dates,rank_ic,nw_t,hit_pct,mono,boot_lo,boot_hi,null_sigma,net,n_rebal,p
1,215,-0.00914141965641308,-1.5067528653482545,45.116279069767444,-0.6484848484848484,-0.021211320841628203,0.0029925813850501582,-2.6685609799955943,-0.001116491536914602,215,0.13187401536180432
3,213,-0.0143537626415724,-1.7436409761470044,43.1924882629108,-0.6,-0.03136957854312241,0.00038798055960625414,-3.8349268146619626,-0.0016676284757732856,71,0.08122171345883289
5,211,-0.018062016121140712,-1.8708165102517371,40.758293838862556,-0.793939393939394,-0.036444595249473105,0.0010086866430319898,-5.315403610429582,-0.004354757217158914,43,0.06137051836919505
10,206,-0.01968842899683912,-2.132440164181098,33.980582524271846,-0.8424242424242424,-0.037252391449030496,0.00020443697620793703,-6.708737135395444,-0.011345625103169015,21,0.03297067854047997
20,196,-0.012527244313743682,-1.1506290382087794,38.775510204081634,-0.793939393939394,-0.03405026375707968,0.005058213383933651,-3.8246308739973043,-0.020246853318680775,10,0.24988488141532827
