date,open,high,low,close,volume,ret_1d,ret_2d,ret_3d,gap,vol20,rvol,red,vol_max20,below_1,up_streak,FLAG_ramp,FLAG_ignition,FLAG_top
2026-01-12,177.685,182.5,176.34,179.41,34954543.0,,,,,,,False,False,False,0,False,False,False
2026-01-13,178.875,181.1,176.14,178.96,27769354.0,-0.0025082213923415253,,,-0.0029819965442282603,,,False,False,False,0,False,False,False
2026-01-14,178.125,181.5975,173.95,178.4,33651401.0,-0.003129190880643784,-0.005629563569477636,,-0.004665847116674171,,,False,False,False,0,False,False,False
2026-01-15,178.71,180.6,176.5301,177.07,31109181.0,-0.00745515695067267,-0.010561019222172674,-0.013042751240176176,0.0017376681614349465,,,True,False,False,0,False,False,False
2026-01-16,179.36,182.43,170.01,170.96,59483601.0,-0.03450612752018967,-0.04170403587443949,-0.044702726866338804,0.012932738465013971,,,True,False,False,0,False,False,False
2026-01-20,167.625,171.97,166.24,168.53,36708497.0,-0.014213851193261573,-0.048229513751623654,-0.055325112107623364,-0.01950748713149275,,,False,False,False,0,False,False,False
2026-01-21,168.402,169.49,161.11,165.33,47851224.0,-0.01898771732035831,-0.03293167992512869,-0.06630146269836779,-0.0007595086928143813,,,True,False,False,0,False,False,False
2026-01-22,168.925,169.0,164.95,165.9,28499472.0,0.00344765015423687,-0.015605530172669524,-0.029597566682264875,0.0217443900078631,,,True,False,False,2,False,False,False
2026-01-23,167.27,172.0,166.3,169.6,30285671.0,0.022302591922845005,0.025827133611564745,0.0063490179789948975,0.008257986738999357,,,False,False,False,3,True,False,False
2026-01-26,168.21,170.5897,167.325,167.47,22777164.0,-0.012558962264150875,0.009463532248342288,0.012943809350994817,-0.008195754716981085,35309010.8,0.6450807735457715,True,False,False,0,False,False,False
2026-01-27,167.48,169.44,164.69,165.7,26542310.0,-0.010569057144563243,-0.022995283018867996,-0.0012055455093430423,5.9712187257421334e-05,34512038.0,0.7690739677558306,True,False,False,0,False,False,False
2026-01-28,164.4,165.045,157.24,157.35,44822848.0,-0.05039227519613754,-0.06042873350450828,-0.07222877358490565,-0.00784550392275185,35371272.166666664,1.2672105144762182,True,False,False,0,False,False,False
2026-01-29,157.63,157.63,147.12,151.86,59846810.0,-0.034890371782649976,-0.08352444176222074,-0.09321072430883137,0.001779472513504965,37254005.84615385,1.6064530146676472,True,True,False,0,False,False,True
2026-01-30,150.05,151.0,145.139,146.59,47271042.0,-0.03470301593573033,-0.06838258659040353,-0.1153289076644538,-0.011918872645858003,37969508.428571425,1.244973768594521,True,False,False,0,False,False,False
2026-02-02,150.94,151.4,146.654,147.76,72811145.0,0.007981444846169472,-0.026998551297247597,-0.06094693358754366,0.029674602633194658,40292284.2,1.807074144483474,True,True,False,2,False,False,True
2026-02-03,165.05,165.078,153.12,157.88,113169200.0,0.06848944233892795,0.0770175318916706,0.03964177531937296,0.1170140768814294,44847091.4375,2.5234456989861953,True,True,False,3,True,False,True
2026-02-04,155.41,155.85,135.68,139.54,113199525.0,-0.11616417532303014,-0.055630752571737996,-0.04809332150897072,-0.01564479351406134,48867822.823529415,2.3164429773919752,True,True,False,0,False,False,True
2026-02-05,136.82,137.98,128.32,130.01,93690793.0,-0.06829582915293109,-0.1765264758044085,-0.12012723335138065,-0.019492618603984546,51357987.833333336,1.8242691536912399,True,False,False,0,False,False,False
2026-02-06,135.33,137.6871,132.35,135.9,62661425.0,0.04530420736866403,-0.02608571019062622,-0.1392196605016468,0.04091992923621279,51952905.578947365,1.206119740594297,False,False,False,2,False,False,False
2026-02-09,136.58,145.87,134.776,142.91,58042462.0,0.05158204562178059,0.09922313668179372,0.024150781138025046,0.00500367917586475,52257383.4,1.11070356423548,False,False,False,3,False,False,False
2026-02-10,144.965,145.5599,137.77,139.51,56061308.0,-0.02379119725701495,0.026563649742457507,0.07307130220752245,0.014379679518578214,53312721.65,1.0515559188301167,True,False,False,0,False,False,False
2026-02-11,139.025,139.25,132.95,135.68,52796053.0,-0.0274532291591999,-0.05059128122594636,-0.0016188373804267853,-0.0034764533008385667,54564056.6,0.9675976510881341,True,False,False,0,False,False,False
2026-02-12,135.36,135.89,126.56,129.13,74090639.0,-0.04827535377358494,-0.07440326858289725,-0.09642432300048986,-0.002358490566037652,56586018.5,1.3093453288288872,True,False,False,0,False,False,False
2026-02-13,127.9,133.56,126.2325,131.41,49438053.0,0.017656625106481805,-0.03147110849056611,-0.05806035409648047,-0.009525284596917705,57502462.1,0.8597554121078235,False,False,False,2,False,False,False
2026-02-17,128.895,134.32,127.29,133.02,48407140.0,0.01225173122289025,0.030124680554480143,-0.019604952830188704,-0.019138573928924596,56948639.05,0.8500139916864264,False,False,False,3,False,False,False
2026-02-18,135.89,140.9625,134.87,135.38,59677079.0,0.017741692978499257,0.03021079065520138,0.048400836366452316,0.021575702901819094,58097068.15,1.0271960513725167,True,False,False,4,True,False,False
2026-02-19,132.31,136.16,131.01,134.89,42197237.0,-0.003619441571871884,0.014058036385505845,0.026482002891712986,-0.022676909440094484,57814368.8,0.7298745601802713,False,False,False,0,False,False,False
2026-02-20,132.365,136.21,131.17,135.24,53726811.0,0.002594706798132007,-0.0010341261633918242,0.016689219666215616,-0.018718956186522195,59075735.75,0.9094564852711123,False,False,False,2,False,False,False
2026-02-23,132.04,132.04,127.39,130.6,52512157.702703,-0.03430937592428285,-0.031803691897101305,-0.035308021864381756,-0.023661638568471033,60187060.08513515,0.8724825174784093,True,False,False,0,False,False,False
2026-02-24,129.005,130.24,126.37,128.84,47121438.547551,-0.013476263399693655,-0.04732327713694173,-0.04485136036770687,-0.01221286370597241,61404273.812512696,0.7673967237431737,True,False,False,0,False,False,False
2026-02-25,130.61,136.09,129.18,134.19,53078287.647025,0.0415243713132567,0.027488514548238863,-0.007763975155279601,0.013737969574666442,62731072.69486395,0.8461243426397,False,False,False,2,False,False,False
2026-02-26,133.845,137.51,132.63,135.94,45100010.479428,0.013041210224308708,0.05510710959329401,0.04088820826952522,-0.0025709814442208545,62744930.818835355,0.7187833326272385,False,False,False,3,False,False,False
