,close,volume,return_1d,return_3d,return_5d,ma_5,ma_10,ma_20,volatility_5d,volatility_10d,rsi_14,macd,macd_signal,bollinger_upper,bollinger_lower,bollinger_width,volume_zscore,volume_spike,sentiment_score,is_pandemic,insider_net_shares,insider_7d,insider_21d
PFE_target_5d,0.049551185,0.03376537,0.033309,0.023444014,0.032755952,0.05853833,0.05253732,0.06243255,0.03947439,0.0379164,0.032233223,0.046647508,0.05029161,0.04866706,0.060557354,0.03538681,0.025606262,0.0,0.0,0.049522683,0.035214085,0.02486938,0.16727965
PLTR_target_1d,0.04160406,0.041022733,0.04078766,0.042289123,0.04716028,0.056029584,0.056103017,0.03419886,0.03160912,0.037421953,0.044782195,0.04524473,0.037474465,0.05038291,0.045891326,0.038467076,0.04217753,0.0,0.0,0.09962279,0.040652167,0.033759143,0.093319245
PLTR_target_3d,0.066200085,0.033171333,0.0321595,0.045061287,0.041978765,0.04982691,0.04910548,0.06270414,0.039172262,0.046561036,0.037862424,0.062418018,0.06559338,0.051549423,0.05313659,0.052014567,0.037800264,0.0,0.0,0.05272691,0.03320054,0.07136444,0.016392663
PLTR_target_5d,0.059667267,0.038378306,0.024485866,0.040153544,0.034384646,0.031335548,0.06795452,0.049517553,0.039111078,0.054495957,0.036056813,0.05758074,0.062157054,0.063394785,0.046471573,0.058140364,0.037903804,0.0,0.0,0.045249436,0.058983054,0.07913481,0.0154433055
PYPL_target_1d,0.038719557,0.050491445,0.05146313,0.040370792,0.04762381,0.031781524,0.04489276,0.055313975,0.044225894,0.050902992,0.048355192,0.044270698,0.04197879,0.046286196,0.042474236,0.046607636,0.042579744,0.0,0.0,0.04316662,0.07545184,0.06388954,0.04915369
PYPL_target_3d,0.048922636,0.053515024,0.03993266,0.0431365,0.05092802,0.054879054,0.07806707,0.05062076,0.050693937,0.044258144,0.058908507,0.049071677,0.052839097,0.057751685,0.055705067,0.054612495,0.048071053,0.0,0.0,0.030240785,0.037158515,0.023860347,0.01682697
PYPL_target_5d,0.05078244,0.049622834,0.032011036,0.039404143,0.0451383,0.04669022,0.058899928,0.062972926,0.041740887,0.047675192,0.04822528,0.047534324,0.046931632,0.049488448,0.0642792,0.052038986,0.036067367,0.0,0.0,0.04380622,0.02749037,0.026214229,0.08298602
SHOP_target_1d,0.05562524,0.060283598,0.053359054,0.0528929,0.04697953,0.048055485,0.060488313,0.055989634,0.04987144,0.05378575,0.050551165,0.056023147,0.05733966,0.060721155,0.054561865,0.061129913,0.0527865,0.0,0.0,0.069555655,0.0,0.0,0.0
SHOP_target_3d,0.07513427,0.03878688,0.04707691,0.03987254,0.040367227,0.05250197,0.05446695,0.05341655,0.043308485,0.053070754,0.054146178,0.059108194,0.05364931,0.07121121,0.073084965,0.05185867,0.04026366,0.0,0.0,0.098675326,0.0,0.0,0.0
SHOP_target_5d,0.074104995,0.05032898,0.032174848,0.039381042,0.05348073,0.055987753,0.07039123,0.058160145,0.053462856,0.06655396,0.04598228,0.059862725,0.055975217,0.070679314,0.08541056,0.051705234,0.036893636,0.0,0.0,0.039464526,0.0,0.0,0.0
