fold,n_train,n_test,train_auc,test_auc,test_acc,test_brier,auc_gap,train_min,train_max,test_min,test_max
1,2640,2672,0.7685,0.4718,0.4963,0.2708,0.2967,2020-01-02,2021-03-29,2021-04-05,2022-07-18
2,5320,2672,0.7382,0.4637,0.4716,0.2571,0.2745,2020-01-02,2022-07-11,2022-07-18,2023-10-30
3,8000,2672,0.7088,0.5181,0.5183,0.2484,0.1907,2020-01-02,2023-10-23,2023-10-30,2025-02-10
4,10680,2672,0.7065,0.5472,0.5513,0.2474,0.1593,2020-01-02,2025-02-03,2025-02-10,2026-05-18
