fold,n_train,n_test,train_auc,test_auc,test_acc,test_brier,auc_gap,train_min,train_max,test_min,test_max
1,4677,1337,0.9766,0.5888,0.6051,0.2506,0.3877,2026-04-08,2026-04-29,2026-03-24,2026-04-02
2,3051,1337,0.993,0.4666,0.4712,0.2958,0.5264,2026-03-24,2026-04-29,2026-04-02,2026-04-10
3,2904,1337,0.9954,0.5489,0.5999,0.248,0.4465,2026-03-24,2026-04-29,2026-04-10,2026-04-16
4,3169,1337,0.9928,0.5417,0.5512,0.2836,0.451,2026-03-24,2026-04-29,2026-04-16,2026-04-22
5,4131,1339,0.9903,0.4423,0.4593,0.2971,0.548,2026-03-24,2026-04-16,2026-04-22,2026-04-29
