ticker,horizon,n_obs,win_rate,avg_return_per_bar,annualized_return,annualized_vol,sharpe,turnover,fitness,gross_annualized_return
MU,5,40,0.9629629629629629,0.10030250872635167,5.0552464398081245,0.7634168707038363,6.621868907805787,0.05128205128205128,42.1111147767116,5.057766439808124
MU,3,42,0.8214285714285714,0.05245714780061067,4.406400415251296,0.6622098490002091,6.654084686151965,0.024390243902439025,39.50711322558557,4.410400415251297
INTC,5,40,0.8529411764705882,0.11798038024195083,5.946211164194322,1.0205066152861382,5.82672476113942,0.15384615384615385,36.22441210928861,5.953771164194322
INTC,3,42,0.7878787878787878,0.06367799586437596,5.348951652607581,0.9120172906440843,5.864967372307215,0.14634146341463414,35.45816362821311,5.360951652607581
HUM,5,40,0.9629629629629629,0.06025296940504745,3.0367496580143913,0.46377873877298353,6.547841468646666,0.07692307692307693,32.273617325424034,3.0417896580143915
HUM,3,42,0.8125,0.0387975875281541,3.2589973523649443,0.4645647019675381,7.015163525257823,0.17073170731707318,30.649451806614728,3.2749973523649443
AMD,5,40,1.0,0.08539786878840515,4.30405258693562,0.6396124811036362,6.729156659840469,0.23076923076923078,29.060994507035588,4.3153925869356184
AMD,3,42,0.875,0.05714676635487077,4.800328373809145,0.6485054158827435,7.402140762810675,0.3170731707317073,28.801364620002484,4.8283283738091445
CNC,3,42,0.8,0.04000763163598332,3.3606410574225993,0.6148496164158089,5.465793533405856,0.12195121951219512,28.340615659808194,3.3726410574225993
ARM,1,53,0.8461538461538461,0.013787793273205347,3.4745239048477474,0.6281982924496008,5.5309349716618375,0.23076923076923078,21.46136067121824,3.531580508621332
AMD,1,60,0.75,0.013046244354245331,3.2876535772698237,0.6034974868009233,5.4476673874771695,0.22033898305084745,21.04301369247216,3.3464535772698234
QQQ,5,40,0.9,0.0225371215637348,1.1358709268122338,0.15260643988460926,7.443138885037245,0.15384615384615385,20.224476686298853,1.1446909268122338
SMCI,5,40,0.6944444444444444,0.06520701490249875,3.286433551085937,0.8030738420725707,4.092318014747335,0.15384615384615385,18.91422197649369,3.2952535510859375
TEAM,3,42,0.5806451612903226,0.04037651224696063,3.391627028744693,0.9552125137343739,3.5506517973526455,0.12195121951219512,18.49511864479586,3.4016270287446924
QQQ,3,42,0.875,0.013258201607752698,1.1136889350512267,0.1686832614622713,6.60224924154861,0.14634146341463414,18.213364156228394,1.127688935051227
SMCI,3,42,0.6388888888888888,0.03909064441870026,3.2836141311708222,0.8046259759544726,4.080919867489607,0.17073170731707318,17.896867939116735,3.2976141311708225
CNC,5,40,0.8461538461538461,0.057480611370299695,2.8970228130631046,0.7032878212037703,4.119256335342856,0.15384615384615385,17.875222411919747,2.904582813063105
GOOG,3,42,0.84,0.017169668995520804,1.4422521956237475,0.28901160200933607,4.990291689318264,0.12195121951219512,16.950851896177348,1.4542521956237473
AAPL,3,42,0.8529411764705882,0.012966026943354504,1.0891462632417783,0.14504611613064874,7.508965371128872,0.21951219512195122,16.726068768908835,1.1071462632417781
ARM,5,40,1.0,0.049351788419704785,2.4873301363531213,0.6634922954467057,3.7488455456419287,0.1282051282051282,16.512451874423704,2.494890136353121
QURE,5,40,0.6666666666666666,0.06443955926493955,3.2477537869529534,1.0335893770928364,3.1422089457690334,0.10256410256410256,16.016646967038064,3.2540537869529533
UNH,3,42,0.6571428571428571,0.01845631440583122,1.5503304100898225,0.3185252755918924,4.867213150381727,0.14634146341463414,15.841955969113279,1.5623304100898223
S,3,42,1.0,0.02156333509253851,1.811320147773235,0.3143153102042287,5.762748707965629,0.24390243902439024,15.704323009823824,1.8313201477732346
HUM,1,53,0.6976744186046512,0.008321911166966635,2.0971216140755917,0.36442697272208263,5.754572990059349,0.28846153846153844,15.516042246719701,2.173197085773705
USAR,5,38,0.8,0.055735614734822074,2.8090749826350323,0.8378332488463548,3.3527852785777563,0.13513513513513514,15.286331264317573,2.8170328773718745
MP,5,40,0.782608695652174,0.03955298121795544,1.993470253384954,0.5217692800748496,3.8205972055292023,0.10256410256410256,15.257420894505298,1.9997702533849544
UNH,5,40,0.7058823529411765,0.03315960243273862,1.6712439626100264,0.3388422242473706,4.932218723100875,0.1794871794871795,15.050313161770182,1.6813239626100267
MU,1,53,0.55,0.008975249258253335,2.2617628130798404,0.6440491068788655,3.5117862736284158,0.09615384615384616,14.938142573589321,2.2902911149666325
