date,open,high,low,close,volume,ret_1d,ret_2d,ret_3d,gap,vol20,rvol,red,vol_max20,below_1,up_streak,FLAG_ramp,FLAG_ignition,FLAG_top
2026-01-12,183.22,187.12,183.02,184.94,137968453.0,,,,,,,False,False,False,0,False,False,False
2026-01-13,184.995,188.1099,183.4,185.81,160128939.0,0.004704228398399568,,,0.00029739374932424845,,,False,False,False,2,False,False,False
2026-01-14,184.32,184.46,180.8,183.14,159586135.0,-0.014369517248802643,-0.009732886341516256,,-0.008018944082665125,,,True,False,False,0,False,False,False
2026-01-15,186.5,189.7,186.33,187.05,206188642.0,0.02134978704816004,0.006673483666110647,0.011409105655888485,0.018346620072076103,,,False,False,False,2,False,False,False
2026-01-16,189.075,190.44,186.08,186.23,187967169.0,-0.004383854584335878,0.016872338101998396,0.0022603734998116742,0.010825982357658193,,,True,False,False,0,False,False,False
2026-01-20,181.9,182.3786,177.61,178.07,223345257.0,-0.04381678569510816,-0.04800855386260372,-0.027683739215900394,-0.023250818879879676,,,True,False,False,0,False,False,False
2026-01-21,179.05,185.379,178.4,183.32,200380959.0,0.029482787667771015,-0.015625839016270238,-0.019941192194600443,0.0055034536979841064,,,False,False,False,2,False,False,False
2026-01-22,184.75,186.17,183.93,184.84,139636626.0,0.008291512109971588,0.038018756668725784,-0.007463888739730362,0.007800567313986484,,,False,False,False,3,False,False,False
2026-01-23,187.5,189.6,186.8233,187.67,142748076.0,0.015310538844405919,0.023728998472616114,0.05391138316392419,0.014390824496862242,,,False,False,False,4,True,False,False
2026-01-26,187.16,189.12,185.99,186.47,124799649.0,-0.006394202589651954,0.008818437567626125,0.01718306785948065,-0.0027175361006021026,168274990.5,0.7416410996618062,True,False,False,0,False,False,False
2026-01-27,187.24,190.0,185.7,188.52,143711557.0,0.010993725532257193,0.004529226834337097,0.01990911058212519,0.004129350565774681,166041951.0909091,0.8655135407395746,False,False,False,2,False,False,False
2026-01-28,191.27,192.35,189.84,191.52,148552677.0,0.01591343093570985,0.02708210435995073,0.020514733308467203,0.014587311691067306,164584511.58333334,0.9025920821521773,False,False,False,3,True,False,False
2026-01-29,191.34,193.48,186.06,192.51,171764375.0,0.005169172932330657,0.02116486314449384,0.03239126937308945,-0.0009398496240602405,165136808.76923078,1.0401337913707105,False,False,False,4,True,False,False
2026-01-30,191.21,194.49,189.47,191.13,179489463.0,-0.007168458781361964,-0.002036340852130447,0.013844684914067429,-0.00675289595345685,166161998.35714287,1.0802076574344728,True,False,False,0,False,False,False
2026-02-02,187.2,190.3,184.88,185.61,165794054.0,-0.028880866425992635,-0.03584229390680993,-0.030858395989974863,-0.020561921205462297,166137468.73333332,0.9979329483231472,True,False,False,0,False,False,False
2026-02-03,186.24,186.27,176.23,180.34,204019589.0,-0.028392866763644276,-0.056453722597185174,-0.06321749519505471,0.0033942136738323025,168505101.25,1.2107620925808618,True,False,False,0,False,False,False
