,close,volume,return_1d,return_3d,return_5d,ma_5,ma_10,ma_20,volatility_5d,volatility_10d,rsi_14,macd,macd_signal,bollinger_upper,bollinger_lower,bollinger_width,volume_zscore,volume_spike,sentiment_score,is_pandemic,insider_net_shares,insider_7d,insider_21d
SMCI_target_5d,0.05740002,0.031877805,0.031159025,0.03228085,0.048359834,0.0667349,0.04520828,0.06468815,0.04047166,0.04889193,0.04745298,0.050537273,0.051509637,0.054785043,0.06529764,0.05325258,0.031141134,0.0,0.0,0.060970627,0.037394647,0.039045762,0.041540172
SNOW_target_1d,0.0470623,0.05342026,0.046640318,0.05392295,0.053563863,0.052921806,0.032674182,0.042818572,0.04346699,0.04933493,0.040691417,0.040118728,0.05018271,0.0437018,0.041079175,0.05117988,0.04699333,0.0,0.0,0.03899107,0.050170526,0.03462681,0.08643828
SNOW_target_3d,0.04623429,0.048440967,0.033239953,0.038991608,0.0497353,0.05446922,0.05714311,0.056944996,0.03689329,0.04030709,0.04768951,0.06452942,0.050763972,0.05530397,0.04026322,0.05185404,0.04318504,0.0,0.0,0.05464736,0.03888007,0.04787883,0.04260468
SNOW_target_5d,0.072578326,0.044150624,0.027119642,0.03893087,0.04509704,0.060133476,0.054414894,0.087608576,0.044277705,0.04801113,0.03469366,0.033891812,0.06273918,0.052388415,0.039548837,0.041198656,0.030808678,0.0,0.0,0.06424242,0.036440633,0.055269457,0.026455997
TSLA_target_1d,0.04176871,0.044588074,0.042247474,0.050551184,0.0428418,0.049743474,0.043242384,0.04644089,0.044371985,0.04450544,0.04991001,0.046302967,0.04341374,0.049733646,0.046898503,0.053850364,0.043092225,0.0,0.0,0.033947986,0.05763406,0.0839028,0.041012317
TSLA_target_3d,0.04792648,0.057448074,0.037816744,0.038096,0.03963549,0.07380852,0.052137222,0.054920707,0.047097873,0.051169526,0.0464401,0.043401062,0.053065084,0.0527048,0.05908565,0.046915743,0.034343157,0.0,0.0,0.044354245,0.053627886,0.030083565,0.03592211
TSLA_target_5d,0.044417433,0.04967813,0.030158155,0.037641488,0.040871907,0.05152878,0.053715445,0.090110116,0.03531658,0.05006548,0.03307682,0.04465445,0.052225024,0.061729148,0.04840873,0.052636735,0.029499374,0.0,0.0,0.08382291,0.04924213,0.011713423,0.049487837
TSM_target_1d,0.037957698,0.038845558,0.042537212,0.04084534,0.036472317,0.043837655,0.04657033,0.05806553,0.039255716,0.043235593,0.037407845,0.036298536,0.03902517,0.05188892,0.05219659,0.048009526,0.04204148,0.0,0.0,0.26550895,0.0,0.0,0.0
TSM_target_3d,0.07626333,0.05595467,0.04233145,0.04492845,0.052706998,0.06797951,0.058214474,0.059634447,0.053770073,0.053032435,0.042235345,0.06135803,0.07080717,0.06620476,0.060123295,0.06071986,0.043262616,0.0,0.0,0.03047312,0.0,0.0,0.0
TSM_target_5d,0.06270718,0.040620998,0.04811252,0.045998193,0.05159199,0.067655295,0.05900343,0.08952708,0.041574925,0.06351921,0.04738575,0.061215118,0.06792235,0.08367887,0.07140479,0.04790246,0.034804158,0.0,0.0,0.015375739,0.0,0.0,0.0
UNH_target_1d,0.05715579,0.049397342,0.04580677,0.045003608,0.043659806,0.053794745,0.05782805,0.06014461,0.047126967,0.049275454,0.054875214,0.050375707,0.054916684,0.04645819,0.051972203,0.04852566,0.049375203,0.0,0.0,0.020948747,0.042014476,0.022763403,0.04858132
UNH_target_3d,0.053196374,0.03932802,0.040849946,0.030306183,0.04110988,0.053005867,0.052918956,0.056365374,0.05144469,0.05263454,0.054722752,0.048395813,0.056806546,0.047365475,0.055105,0.048394576,0.043213263,0.0,0.0,0.071804464,0.067696646,0.017666047,0.017669514
UNH_target_5d,0.053736255,0.03789309,0.035539377,0.033694703,0.039984595,0.06488462,0.049239468,0.05934474,0.040095,0.051281977,0.050385613,0.059041124,0.054537814,0.043634307,0.060852908,0.041747205,0.032913983,0.0,0.0,0.071657375,0.04418665,0.036569744,0.038779426
ZM_target_1d,0.046781324,0.05036808,0.04332216,0.044977214,0.050118253,0.052056313,0.053475387,0.04544645,0.04061016,0.04565464,0.04123451,0.05143564,0.043216024,0.055069156,0.048198313,0.047164407,0.05105225,0.0,0.0,0.027322844,0.038381815,0.058353495,0.065761544
ZM_target_3d,0.04755836,0.042114444,0.039401878,0.03595375,0.05414621,0.06180045,0.06511936,0.06282841,0.043928325,0.043928374,0.044457313,0.055462923,0.05506831,0.04900426,0.06281616,0.045003764,0.042709768,0.0,0.0,0.03225984,0.04285651,0.039386928,0.034194652
ZM_target_5d,0.05123238,0.054079223,0.034223802,0.032115716,0.0429173,0.05622615,0.068391256,0.058816563,0.04067835,0.04259123,0.036278583,0.05038086,0.052728977,0.043285284,0.06741621,0.051070936,0.0324249,0.0,0.0,0.026232228,0.04734511,0.07594024,0.03562474
