,close,volume,return_1d,return_3d,return_5d,ma_5,ma_10,ma_20,volatility_5d,volatility_10d,rsi_14,macd,macd_signal,bollinger_upper,bollinger_lower,bollinger_width,volume_zscore,volume_spike,sentiment_score,is_pandemic,insider_net_shares,insider_7d,insider_21d
AAPL_target_1d,0.047792666,0.039320655,0.048054714,0.050169453,0.05143498,0.055821914,0.04604946,0.053929232,0.038818453,0.046589177,0.046169683,0.040847097,0.04990875,0.05271771,0.04070074,0.04799278,0.046845935,0.0,0.0,0.064384356,0.030664304,0.05704543,0.04474259
AAPL_target_3d,0.049370676,0.03562532,0.03638152,0.036660936,0.04875594,0.048330236,0.05252465,0.050455287,0.043684058,0.044557806,0.052933536,0.038470473,0.03976693,0.048815593,0.06003768,0.04302532,0.036810428,0.0,0.0,0.027555421,0.097071454,0.0,0.109166734
AAPL_target_5d,0.050025955,0.038818676,0.030164244,0.03188367,0.04086966,0.07760239,0.071451515,0.057542954,0.041711207,0.048882846,0.03535349,0.05227413,0.067055196,0.080311544,0.057136044,0.042374164,0.040270563,0.0,0.0,0.027753897,0.04652935,0.0,0.06198853
AMD_target_1d,0.04603194,0.05516806,0.043675836,0.05754578,0.050956286,0.04649529,0.04285313,0.060115337,0.045691606,0.054212138,0.045665205,0.042822056,0.04470461,0.04553544,0.048779316,0.049183585,0.043860093,0.0,0.0,0.03638265,0.05962048,0.019911671,0.060789436
AMD_target_3d,0.050055243,0.048367765,0.03984322,0.03935879,0.041601863,0.054283664,0.061701953,0.06090589,0.051983308,0.045101933,0.052955408,0.043008786,0.056382563,0.06693962,0.060678348,0.05270988,0.035978515,0.0,0.0,0.013684239,0.025702752,0.033493005,0.06526329
AMD_target_5d,0.04789052,0.04313062,0.030356307,0.039995383,0.04273431,0.05144021,0.04176245,0.073075764,0.02884994,0.052677657,0.041001964,0.051217627,0.061206993,0.07158726,0.053377032,0.044372138,0.03432174,0.0,0.0,0.09982528,0.020850414,0.033674803,0.03665161
AXP_target_1d,0.049984567,0.045971002,0.05249729,0.044389553,0.046612028,0.06480088,0.04023275,0.04744339,0.04828827,0.044870242,0.050664946,0.04993056,0.047672044,0.047744397,0.041703064,0.047510825,0.044888843,0.0,0.0,0.058505025,0.027065367,0.04119914,0.058025844
AXP_target_3d,0.053015936,0.041601744,0.044281464,0.04095534,0.055426776,0.062195983,0.050019115,0.054020293,0.04304204,0.052183207,0.043897424,0.05193643,0.048266817,0.050497953,0.07838761,0.051579442,0.040023785,0.0,0.0,0.028287284,0.0514853,0.036079407,0.022816658
AXP_target_5d,0.061935127,0.03872721,0.027396336,0.035508182,0.04292178,0.06030833,0.048935983,0.06328227,0.042373165,0.04558977,0.039843973,0.04772607,0.061181422,0.07182068,0.06060359,0.04457517,0.02879173,0.0,0.0,0.06252174,0.08073315,0.03522428,0.0
BSX_target_1d,0.044165675,0.053468842,0.054381143,0.052058984,0.061188094,0.04826717,0.044762164,0.05735132,0.04603411,0.044831507,0.049182117,0.05287743,0.04107574,0.045927122,0.059163284,0.045790493,0.049264766,0.0,0.0,0.038047988,0.05159734,0.025141612,0.03542302
