month,close,vintage_date
1960-01,55.61000061035156,1960-01-30
1960-02,56.119998931884766,1960-03-01
1960-03,55.34000015258789,1960-04-01
1960-04,54.369998931884766,1960-04-30
1960-05,55.83000183105469,1960-06-01
1960-06,56.91999816894531,1960-07-01
1960-07,55.5099983215332,1960-07-30
1960-08,56.959999084472656,1960-09-01
1960-09,53.52000045776367,1960-10-01
1960-10,53.38999938964844,1960-11-01
1960-11,55.540000915527344,1960-12-01
1960-12,58.11000061035156,1960-12-31
1961-01,61.779998779296875,1961-02-01
1961-02,63.439998626708984,1961-03-01
1961-03,65.05999755859375,1961-03-31
1961-04,65.30999755859375,1961-04-29
1961-05,66.55999755859375,1961-06-01
1961-06,64.63999938964844,1961-07-01
1961-07,66.76000213623047,1961-08-01
1961-08,68.06999969482422,1961-09-01
1961-09,66.7300033569336,1961-09-30
1961-10,68.62000274658203,1961-11-01
1961-11,71.31999969482422,1961-12-01
1961-12,71.55000305175781,1961-12-30
1962-01,68.83999633789062,1962-02-01
1962-02,69.95999908447266,1962-03-01
1962-03,69.55000305175781,1962-03-31
1962-04,65.23999786376953,1962-05-01
1962-05,59.630001068115234,1962-06-01
1962-06,54.75,1962-06-30
1962-07,58.22999954223633,1962-08-01
1962-08,59.119998931884766,1962-09-01
1962-09,56.27000045776367,1962-09-29
1962-10,56.52000045776367,1962-11-01
1962-11,62.2599983215332,1962-12-01
1962-12,63.099998474121094,1963-01-01
1963-01,66.19999694824219,1963-02-01
1963-02,64.29000091552734,1963-03-01
1963-03,66.56999969482422,1963-03-30
1963-04,69.80000305175781,1963-05-01
1963-05,70.80000305175781,1963-06-01
1963-06,69.37000274658203,1963-06-29
1963-07,69.12999725341797,1963-08-01
1963-08,72.5,1963-08-31
1963-09,71.69999694824219,1963-10-01
1963-10,74.01000213623047,1963-11-01
1963-11,73.2300033569336,1963-11-30
1963-12,75.0199966430664,1964-01-01
1964-01,77.04000091552734,1964-02-01
1964-02,77.80000305175781,1964-02-29
1964-03,78.9800033569336,1964-04-01
1964-04,79.45999908447266,1964-05-01
1964-05,80.37000274658203,1964-05-29
1964-06,81.69000244140625,1964-07-01
1964-07,83.18000030517578,1964-08-01
1964-08,81.83000183105469,1964-09-01
1964-09,84.18000030517578,1964-10-01
1964-10,84.86000061035156,1964-10-31
1964-11,84.41999816894531,1964-12-01
1964-12,84.75,1965-01-01
1965-01,87.55999755859375,1965-01-30
1965-02,87.43000030517578,1965-02-27
1965-03,86.16000366210938,1965-04-01
1965-04,89.11000061035156,1965-05-01
1965-05,88.41999816894531,1965-05-29
1965-06,84.12000274658203,1965-07-01
1965-07,85.25,1965-07-31
1965-08,87.16999816894531,1965-09-01
1965-09,89.95999908447266,1965-10-01
1965-10,92.41999816894531,1965-10-30
1965-11,91.61000061035156,1965-12-01
1965-12,92.43000030517578,1966-01-01
1966-01,92.87999725341797,1966-02-01
1966-02,91.22000122070312,1966-03-01
1966-03,89.2300033569336,1966-04-01
1966-04,91.05999755859375,1966-04-30
1966-05,86.12999725341797,1966-06-01
1966-06,84.73999786376953,1966-07-01
1966-07,83.5999984741211,1966-07-30
1966-08,77.0999984741211,1966-09-01
1966-09,76.55999755859375,1966-10-01
1966-10,80.19999694824219,1966-11-01
1966-11,80.44999694824219,1966-12-01
1966-12,80.33000183105469,1966-12-31
1967-01,86.61000061035156,1967-02-01
1967-02,86.77999877929688,1967-03-01
1967-03,90.19999694824219,1967-04-01
1967-04,94.01000213623047,1967-04-29
1967-05,89.08000183105469,1967-06-01
1967-06,90.63999938964844,1967-07-01
1967-07,94.75,1967-08-01
1967-08,93.63999938964844,1967-09-01
