feature,n_dates,mean_IC,std_IC,IC_IR,t_stat,base,DSR,pass_HLZ,pass_EVT,pass_MAG,is_base_rep,SURVIVOR,ts_mean_IC,ts_std_IC,ts_IC_IR,ts_n_tickers,ts_pass,cs_ts_divergence
days_to_earnings__group_neutralize,579.0,-0.0019213420428657135,0.10182765486530612,-0.018868568125301462,-0.45402338897286276,days_to_earnings,0.025792528149631514,False,False,False,False,False,,,,,False,False
eightk_other_events_30d__ts_argmax__w10,577.0,-0.0016340983637577557,0.08664558651311702,-0.018859568381020476,-0.4530223784341227,eightk_other_events_30d,0.02573292981215343,False,False,False,False,False,,,,,False,False
obv__ts_rank__w20,571.0,-0.0025821936980128827,0.1365129796177157,-0.018915371309335804,-0.451994265650235,obv,0.025672613302257133,False,False,False,False,False,,,,,False,False
return_1d__ts_min__w20,579.0,-0.004358037932394192,0.23342707273878902,-0.018669805011310533,-0.4492406676758529,return_1d,0.025506985180244662,False,False,False,False,False,,,,,False,False
eightk_days_since_last__ts_argmax__w10,579.0,-0.0018659701878729175,0.10000294561141514,-0.018659152252610455,-0.4489843365343057,eightk_days_since_last,0.02549175650731244,False,False,False,False,False,,,,,False,False
insider_90d__ts_min__w20,579.0,-0.003363032896603949,0.18208690822509296,-0.018469383270798473,-0.44441803581280725,insider_90d,0.025221745917935887,False,False,False,False,False,,,,,False,False
ma20_above_ma50__group_neutralize,550.0,-0.0020652507004091957,0.1098116290326362,-0.01880721303019191,-0.44106824197584354,ma20_above_ma50,0.025030933227837938,False,False,False,False,False,,,,,False,False
insider_7d__ts_max__w10,579.0,-0.002217219418687648,0.121265627850362,-0.018283989107149366,-0.4399570037982536,insider_7d,0.024960279473143637,False,False,False,False,False,,,,,False,False
insider_90d__signed_power_p05,579.0,-0.003256483455898214,0.17985165812992912,-0.018106496708224132,-0.43568610735599,insider_90d,0.024712091317083486,False,False,False,False,False,,,,,False,False
insider_90d__cs_demean,579.0,-0.003256483455898214,0.17985165812992912,-0.018106496708224132,-0.43568610735599,insider_90d,0.024712091317083486,False,False,False,False,False,,,,,False,False
insider_90d__scale,579.0,-0.003256483455898214,0.17985165812992912,-0.018106496708224132,-0.43568610735599,insider_90d,0.024712091317083486,False,False,False,False,False,,,,,False,False
insider_90d__cs_rank,579.0,-0.003256483455898214,0.17985165812992912,-0.018106496708224132,-0.43568610735599,insider_90d,0.024712091317083486,False,False,False,False,False,,,,,False,False
