feature,n_dates,mean_IC,std_IC,IC_IR,t_stat,base,DSR,pass_HLZ,pass_EVT,pass_MAG,is_base_rep,SURVIVOR
ma20_above_ma50__ts_min__w5,545.0,0.020383164062214205,0.16624614670852136,0.12260833989705588,2.8623205151956745,ma20_above_ma50,0.6691220420629408,False,False,True,False,False
rev_x_low52w__ts_argmax__w10,482.0,-0.012066629946457628,0.09269514122052078,-0.13017543085404273,-2.8579362884174286,rev_x_low52w,0.6674449833250233,False,False,False,False,False
high_52w_ratio__ts_decay_linear__w5,343.0,0.03456614311063264,0.22409618932232175,0.15424690270353286,2.8566926153886714,high_52w_ratio,0.6666638103666898,False,False,True,False,False
eightk_material_agreement_30d__ts_max__w20,579.0,-0.012077943272424526,0.10187949951664452,-0.11855126232192864,-2.852630126937782,eightk_material_agreement_30d,0.6656641906876755,False,False,False,False,False
return_20d__ts_delta__w10,568.0,-0.0206673183064231,0.1729114925547887,-0.11952541731646009,-2.8486194583507984,return_20d,0.6641978164828657,False,False,True,False,False
bb_pct__ts_argmax__w20,578.0,0.015388833745483627,0.13005373824646485,0.11832673134178003,2.844767560331989,bb_pct,0.6628114938228051,False,False,False,False,False
eightk_exec_change_30d__ts_rank__w10,575.0,-0.009419826160452395,0.07963545254288132,-0.11828684159709019,-2.836418818622117,eightk_exec_change_30d,0.6597698462452,False,False,False,False,False
high_52w_ratio__cs_zscore,347.0,0.03373612793393157,0.2222140031544623,0.15181819082068101,2.8280595437915474,high_52w_ratio,0.6562968444830961,False,False,True,False,False
high_52w_ratio__cs_demean,347.0,0.03373612793393157,0.2222140031544623,0.15181819082068101,2.8280595437915474,high_52w_ratio,0.6562968444830961,False,False,True,False,False
high_52w_ratio__signed_power_p05,347.0,0.03373612793393157,0.2222140031544623,0.15181819082068101,2.8280595437915474,high_52w_ratio,0.6562968444830961,False,False,True,False,False
high_52w_ratio__scale,347.0,0.03373612793393157,0.2222140031544623,0.15181819082068101,2.8280595437915474,high_52w_ratio,0.6562968444830961,False,False,True,False,False
high_52w_ratio__cs_rank,347.0,0.03373612793393157,0.2222140031544623,0.15181819082068101,2.8280595437915474,high_52w_ratio,0.6562968444830961,False,False,True,False,False
vol_x_short__cs_demean,579.0,-0.026732506996742747,0.22804988662604034,-0.1172221893737624,-2.8206494170020115,vol_x_short,0.654006968230231,False,False,True,False,False
vol_x_short__cs_zscore,579.0,-0.026732506996742747,0.22804988662604034,-0.1172221893737624,-2.8206494170020115,vol_x_short,0.654006968230231,False,False,True,False,False
vol_x_short__scale,579.0,-0.026732506996742747,0.22804988662604034,-0.1172221893737624,-2.8206494170020115,vol_x_short,0.654006968230231,False,False,True,False,False
vol_x_short__signed_power_p05,579.0,-0.026732506996742747,0.22804988662604034,-0.1172221893737624,-2.8206494170020115,vol_x_short,0.654006968230231,False,False,True,False,False
vol_x_short__cs_rank,579.0,-0.026732506996742747,0.22804988662604034,-0.1172221893737624,-2.8206494170020115,vol_x_short,0.654006968230231,False,False,True,False,False
bb_pct__ts_delta__w20,559.0,-0.018168298994437115,0.15291667331087608,-0.11881175937892255,-2.809087912329139,bb_pct,0.6497336576280404,False,False,False,False,False
post_earnings_3d__ts_max__w20,579.0,0.01067302621302189,0.09151670551510707,0.11662380275762928,2.806250787621732,post_earnings_3d,0.6487090530807692,False,False,False,False,False
vol_x_short__ts_argmax__w10,578.0,-0.012342802920976545,0.10574378348698864,-0.11672367409187018,-2.8062274501625777,vol_x_short,0.64869940261846,False,False,False,False,False
high_52w_ratio__ts_mean__w10,343.0,0.03429287533526066,0.22668933129919333,0.15127697072783544,2.8016887054593527,high_52w_ratio,0.6466173496388603,False,False,True,False,False
pre_earnings_drift__ts_max__w5,579.0,0.011183138321950375,0.09611619970096245,0.11635019233743583,2.799667059094503,pre_earnings_drift,0.6462767301016374,False,False,False,False,False
pre_earnings_drift__ts_min__w10,579.0,0.011183138321950375,0.09611619970096245,0.11635019233743583,2.799667059094503,pre_earnings_drift,0.6462767301016374,False,False,False,False,False
pre_earnings_drift__ts_min__w5,579.0,0.011183138321950375,0.09611619970096245,0.11635019233743583,2.799667059094503,pre_earnings_drift,0.6462767301016374,False,False,False,False,False
pre_earnings_drift__ts_max__w20,579.0,0.011183138321950375,0.09611619970096245,0.11635019233743583,2.799667059094503,pre_earnings_drift,0.6462767301016374,False,False,False,False,False
pre_earnings_drift__ts_max__w10,579.0,0.011183138321950375,0.09611619970096245,0.11635019233743583,2.799667059094503,pre_earnings_drift,0.6462767301016374,False,False,False,False,False
pre_earnings_drift__cs_rank,579.0,0.011183138321950375,0.09611619970096245,0.11635019233743583,2.799667059094503,pre_earnings_drift,0.6462767301016374,False,False,False,False,False
pre_earnings_drift__cs_demean,579.0,0.011183138321950375,0.09611619970096245,0.11635019233743583,2.799667059094503,pre_earnings_drift,0.6462767301016374,False,False,False,False,False
pre_earnings_drift__cs_zscore,579.0,0.011183138321950375,0.09611619970096245,0.11635019233743583,2.799667059094503,pre_earnings_drift,0.6462767301016374,False,False,False,False,False
pre_earnings_drift__scale,579.0,0.011183138321950375,0.09611619970096245,0.11635019233743583,2.799667059094503,pre_earnings_drift,0.6462767301016374,False,False,False,False,False
pre_earnings_drift__signed_power_p05,579.0,0.011183138321950375,0.09611619970096245,0.11635019233743583,2.799667059094503,pre_earnings_drift,0.6462767301016374,False,False,False,False,False
pre_earnings_drift__ts_min__w20,579.0,0.011183138321950375,0.09611619970096245,0.11635019233743583,2.799667059094503,pre_earnings_drift,0.6462767301016374,False,False,False,False,False
bb_upper__ts_rank__w20,570.0,0.01713331928234091,0.1468326634119985,0.1166860212449218,2.785840574362269,bb_upper,0.6411400168172545,False,False,False,False,False
ma5_above_ma20__ts_std__w5,578.0,-0.011597454309580814,0.10008986696670072,-0.11587041386956,-2.7857136831259606,ma5_above_ma20,0.6411008016543399,False,False,False,False,False
eightk_filings_30d__ts_std__w5,578.0,-0.010122707126459128,0.08737182541542422,-0.1158577960152371,-2.7854103293338652,eightk_filings_30d,0.6409880000739818,False,False,False,False,False
insider_21d__ts_std__w10,575.0,0.01670148957232883,0.14384188019014796,0.11611006161940277,2.7842214684405704,insider_21d,0.6405428571243699,False,False,False,False,False
high_52w_ratio__ts_argmax__w10,338.0,0.02180965774483408,0.14404369326382252,0.15141001491046685,2.783639255351432,high_52w_ratio,0.639930011474449,False,False,True,False,False
ma_50__ts_std__w20,540.0,0.018374080569663713,0.1535051704544938,0.11969681877986423,2.7815027143705278,ma_50,0.6394944328657575,False,False,False,False,False
return_20d__ts_argmax__w20,559.0,0.016815699018128072,0.14312946454928643,0.11748593534588127,2.777741214960457,return_20d,0.6381133085680966,False,False,False,False,False
macd__ts_std__w10,575.0,0.016740316998404274,0.14458615583708817,0.11578091208999536,2.7763287399954923,macd,0.6376024146654918,False,False,False,False,False
insider_net_shares__ts_std__w5,578.0,0.013673135576474937,0.11852215211716778,0.11536354455459133,2.7735277183131095,insider_net_shares,0.6365597512134098,False,False,False,False,False
macd_signal__ts_mean__w10,575.0,0.02280317378403941,0.1972433683130193,0.11560933064097474,2.7722143613853487,macd_signal,0.636066314585283,False,False,True,False,False
eightk_reg_fd_30d__ts_rank__w10,575.0,-0.01017424418684341,0.0883133993739711,-0.11520612114317612,-2.7625457372851403,eightk_reg_fd_30d,0.632447835700372,False,False,False,False,False
return_20d__ts_decay_linear__w10,569.0,0.022674172506289673,0.19593227700126262,0.11572453938328679,2.760460861849819,return_20d,0.6316604279707103,False,False,True,False,False
return_20d__ts_min__w5,578.0,0.022279814105176803,0.19431021036219245,0.11466105699565367,2.7566387719478938,return_20d,0.630233949865161,False,False,True,False,False
macd_signal__ts_min__w10,579.0,0.022180713160238077,0.19383151882186178,0.11443295339713537,2.7535336527138297,macd_signal,0.6290678424745736,False,False,True,False,False
high_52w_ratio__ts_decay_linear__w10,338.0,0.033958523353708435,0.22702335390973113,0.14958163012255998,2.750024810015603,high_52w_ratio,0.6273875051087494,False,False,True,False,False
high_52w_ratio__ts_mean__w20,338.0,0.03400357833771324,0.2276668600494725,0.14935673259746363,2.7458901193238425,high_52w_ratio,0.6258347979834209,False,False,True,False,False
pre_earnings_drift__ts_mean__w5,578.0,0.010980204539083284,0.09615104739035339,0.11419745116770201,2.745492931906658,pre_earnings_drift,0.626039436427599,False,False,False,False,False
ma20_above_ma50__ts_mean__w10,549.0,0.020377194346440104,0.1740168526719291,0.11709897078104768,2.7437165957750413,ma20_above_ma50,0.6253432865892208,False,False,True,False,False
eightk_material_agreement_30d__ts_mean__w20,570.0,-0.011767537620017358,0.10262953910909792,-0.11466033777573681,-2.737478044394558,eightk_material_agreement_30d,0.6230069367409032,False,False,False,False,False
macd__ts_decay_linear__w20,560.0,0.022873878666814226,0.19775891653684866,0.115665473230645,2.7371446711298746,macd,0.6228721284368227,False,False,True,False,False
ma_10__ts_delta__w20,559.0,0.02092402577989371,0.1807651399857896,0.11575254931088262,2.7367584554779927,ma_10,0.6227252433521282,False,False,True,False,False
rsi_below_30__ts_delta__w20,551.0,0.01240217732296828,0.10667326443905385,0.11626322104405153,2.7290918358885308,rsi_below_30,0.6198165339479571,False,False,False,True,False
eightk_days_since_last__ts_rank__w10,575.0,0.010945477982832505,0.09649685139250505,0.11342834325558776,2.7199161211114173,eightk_days_since_last,0.6163549817916772,False,False,False,False,False
insider_21d__ts_min__w10,579.0,-0.017522232909588386,0.1550543924185126,-0.11300700764602353,-2.719221948820246,insider_21d,0.6160943132648611,False,False,False,False,False
macd_signal__ts_mean__w20,570.0,0.022499829127751014,0.19816789413786073,0.113539225037626,2.710711844630939,macd_signal,0.6128483846917485,False,False,True,False,False
ma20_above_ma50__ts_decay_linear__w10,549.0,0.020216897823280743,0.17481119948925014,0.11564990047748035,2.709763793168633,ma20_above_ma50,0.6124700050017611,False,False,True,False,False
eightk_material_agreement_30d__signed_power_p05,579.0,-0.010960818355284773,0.0973775331740759,-0.11256003307960968,-2.708466659596377,eightk_material_agreement_30d,0.6119994827401471,False,False,False,False,False
eightk_material_agreement_30d__cs_rank,579.0,-0.010960818355284773,0.0973775331740759,-0.11256003307960968,-2.708466659596377,eightk_material_agreement_30d,0.6119994827401471,False,False,False,False,False
eightk_material_agreement_30d__scale,579.0,-0.010960818355284773,0.0973775331740759,-0.11256003307960968,-2.708466659596377,eightk_material_agreement_30d,0.6119994827401471,False,False,False,False,False
eightk_material_agreement_30d__cs_demean,579.0,-0.010960818355284773,0.0973775331740759,-0.11256003307960968,-2.708466659596377,eightk_material_agreement_30d,0.6119994827401471,False,False,False,False,False
eightk_material_agreement_30d__cs_zscore,579.0,-0.010960818355284773,0.0973775331740759,-0.11256003307960968,-2.708466659596377,eightk_material_agreement_30d,0.6119994827401471,False,False,False,False,False
ma_10__ts_argmax__w20,578.0,-0.01773439299680721,0.15830063140788528,-0.11202983108204978,-2.693379810612229,ma_10,0.6062334792195637,False,False,False,False,False
macd_signal__ts_delta__w20,559.0,0.017393998193894415,0.15277243366892115,0.11385560716791092,2.69190870935804,macd_signal,0.605656065254571,False,False,False,False,False
rsi_above_70__group_neutralize,560.0,0.012761023650549007,0.11227778209434275,0.11365582230531063,2.6895876502880425,rsi_above_70,0.604767485545886,False,False,False,False,False
pre_earnings_drift__ts_mean__w20,570.0,0.010853155603500737,0.09648360869721063,0.112487040545515,2.6855912841853566,pre_earnings_drift,0.6032421821913209,False,False,False,False,False
pre_earnings_drift__ts_decay_linear__w10,570.0,0.010853155603500737,0.09648360869721063,0.112487040545515,2.6855912841853566,pre_earnings_drift,0.6032421821913209,False,False,False,False,False
insider_7d__ts_std__w20,570.0,0.01648042316971981,0.14728531161689262,0.11189454663739609,2.671445686009243,insider_7d,0.5978042053759247,False,False,False,True,False
return_60d__ts_std__w20,529.0,0.027761038527190585,0.23902656995288502,0.11614206124726056,2.671267408686993,return_60d,0.5977059498531396,False,False,True,True,False
bb_pct__ts_std__w5,578.0,-0.01367444635789709,0.12308664575485298,-0.1110961004261337,-2.670931403139828,bb_pct,0.5976114083699904,False,False,False,False,False
ma_20__ts_rank__w20,570.0,0.01867654548174684,0.16698179688255826,0.1118477931752192,2.670329462398782,ma_20,0.5973742588271889,False,False,False,False,False
eightk_exec_change_30d__ts_std__w10,575.0,-0.009466873866050534,0.08517265770182099,-0.1111492129222138,-2.6652644956187523,eightk_exec_change_30d,0.5954250698114313,False,False,False,False,False
obv_trend__ts_rank__w20,570.0,-0.014891687359590502,0.1334750213319108,-0.11156909518343147,-2.663675639042462,obv_trend,0.5948088664059308,False,False,False,False,False
ma5_above_ma20__ts_delta__w20,559.0,-0.015003437028813429,0.13350786352704172,-0.11237867667453548,-2.65698937462233,ma5_above_ma20,0.5922197231051574,False,False,False,False,False
risk_prev_1d__ts_decay_linear__w10,312.0,0.010016211907262196,0.06690994575832239,0.14969690669666041,2.644174564747793,risk_prev_1d,0.5869887477908882,False,False,False,False,False
high_52w_ratio__ts_std__w20,338.0,0.03205058585560731,0.22359992197142148,0.14333898497381284,2.635255175367872,high_52w_ratio,0.5835849982626965,False,False,True,False,False
is_squeeze_setup__ts_max__w5,579.0,-0.01936450330934972,0.17684312171300617,-0.10950102623033221,-2.634859555582067,is_squeeze_setup,0.5836570918798242,False,False,False,False,False
rsi_14__cs_demean,579.0,0.018942273120514472,0.17340659556772345,0.10923617442865155,2.628486580601874,rsi_14,0.5811798180330221,False,False,False,False,False
rsi_14__scale,579.0,0.018942273120514472,0.17340659556772345,0.10923617442865155,2.628486580601874,rsi_14,0.5811798180330221,False,False,False,False,False
rsi_14__cs_rank,579.0,0.018942273120514472,0.17340659556772345,0.10923617442865155,2.628486580601874,rsi_14,0.5811798180330221,False,False,False,False,False
rsi_14__cs_zscore,579.0,0.018942273120514472,0.17340659556772345,0.10923617442865155,2.628486580601874,rsi_14,0.5811798180330221,False,False,False,False,False
rsi_14__signed_power_p05,579.0,0.018942273120514472,0.17340659556772345,0.10923617442865155,2.628486580601874,rsi_14,0.5811798180330221,False,False,False,False,False
vol_10d_self_rank__ts_argmax__w10,578.0,-0.011059519760083188,0.10122762886246088,-0.10925396440046899,-2.626643449368899,vol_10d_self_rank,0.5804622201211499,False,False,False,False,False
eightk_material_agreement_30d__ts_rank__w10,574.0,-0.00895719633450807,0.08184793947274362,-0.10943704132577373,-2.621925149983471,eightk_material_agreement_30d,0.5786232652373404,False,False,False,False,False
macd_signal__ts_decay_linear__w20,560.0,0.02198941373398185,0.19861189690565675,0.11071549124988776,2.620006717837614,macd_signal,0.5778685270418891,False,False,True,False,False
insider_7d__ts_min__w20,579.0,-0.016260599402770543,0.1493653009093367,-0.10886463792979985,-2.619546513755489,insider_7d,0.5776991403504282,False,False,False,False,False
pre_earnings_drift__ts_mean__w10,575.0,0.010472993962747978,0.0962064712513846,0.10885955826591293,2.6103605057278148,pre_earnings_drift,0.5741142970797264,False,False,False,False,False
pre_earnings_drift__ts_decay_linear__w5,575.0,0.010472993962747978,0.0962064712513846,0.10885955826591293,2.6103605057278148,pre_earnings_drift,0.5741142970797264,False,False,False,False,False
obv_trend__ts_rank__w10,575.0,-0.014618959907473965,0.1343120052190426,-0.10884328533129,-2.6099702944636074,obv_trend,0.5739619621887523,False,False,False,False,False
beta_60d__ts_delta__w20,538.0,-0.018158066182889312,0.16154144599445655,-0.11240499966499262,-2.607214522230881,beta_60d,0.5728669382641732,False,False,False,True,False
macd__ts_argmax__w10,578.0,0.01568915654645305,0.1448478136993079,0.1083147625481075,2.6040635054128347,macd,0.5716560355182554,False,False,False,False,False
high_52w_ratio__ts_decay_linear__w20,328.0,0.03298328693789944,0.23000126531496584,0.14340480645935502,2.5971715062990324,high_52w_ratio,0.56876518533802,False,False,True,False,False
low_52w_ratio__ts_std__w20,338.0,0.03819894168277469,0.2714882638167794,0.14070199995294896,2.586774795624227,low_52w_ratio,0.5647178456040731,False,False,True,False,False
high_52w_ratio__ts_min__w5,347.0,0.03145115300208157,0.2267167283927662,0.13872444801512526,2.5841501406756753,high_52w_ratio,0.5637020194125301,False,False,True,False,False
return_20d__ts_rank__w10,574.0,-0.016439128858244275,0.15243280592546432,-0.10784508464852757,-2.583784578937415,return_20d,0.5637141499369784,False,False,False,False,False
obv_trend__ts_delta__w10,569.0,-0.014614761808514991,0.13507733230780866,-0.10819551703324637,-2.580865664184416,obv_trend,0.5625669721615747,False,False,False,False,False
insider_21d__group_neutralize,579.0,-0.011461539905492294,0.1068930187460087,-0.10722440099410381,-2.5800784456266426,insider_21d,0.562262094112777,False,False,False,False,False
bb_pct__ts_rank__w20,570.0,-0.01636174051951642,0.1514574117710455,-0.10802865523841162,-2.5791487938839768,bb_pct,0.561893599839395,False,False,False,False,False
insider_net_shares__group_neutralize,579.0,-0.011318700264912331,0.10575847699673954,-0.10702404749324518,-2.5752574557747185,insider_net_shares,0.5603692761004777,False,False,False,False,False
return_20d__ts_max__w20,578.0,0.021479822226443786,0.20167219337475228,0.10650859628689338,2.56064032343017,return_20d,0.554621430198261,False,False,True,False,False
insider_60d__ts_argmax__w10,568.0,0.013277684262834035,0.12361943738193855,0.10740773897725225,2.5598218529367927,insider_60d,0.5542957443442186,False,False,False,False,False
vol_zscore_60d__ts_max__w5,579.0,0.012918656943546276,0.12172374990558146,0.10613094776957664,2.5537673161659273,vol_zscore_60d,0.551915107842056,False,False,False,False,False
eightk_days_since_last__cs_demean,579.0,0.009829741629220748,0.09280761645235416,0.10591524709900473,2.548577036288491,eightk_days_since_last,0.5498694514390225,False,False,False,False,False
eightk_days_since_last__cs_zscore,579.0,0.009829741629220748,0.09280761645235416,0.10591524709900473,2.548577036288491,eightk_days_since_last,0.5498694514390225,False,False,False,False,False
