feature,win_signed_shap,loss_signed_shap,sign_disagreement,win_abs_shap,loss_abs_shap,mag_diff_loss_minus_win
return_1d,0.0,0.0011,0.0011,0.0,0.0011,0.0011
return_3d,-0.0036,-0.0016,0.002,0.0036,0.0016,-0.002
return_5d,-0.0099,0.0017,0.0116,0.0099,0.0017,-0.0082
ma_5,-0.0065,0.0,0.0065,0.0065,0.0,-0.0065
ma_10,-0.0001,0.003,0.0031,0.0001,0.003,0.003
ma_20,-0.0012,-0.0013,0.0001,0.0012,0.0013,0.0001
volatility_5d,0.0,0.0,0.0,0.0,0.0,0.0
volatility_10d,0.0033,0.0007,0.0025,0.0033,0.0007,-0.0025
rsi_14,0.0,-0.0008,0.0008,0.0,0.0011,0.0011
macd,0.0003,0.0009,0.0006,0.0036,0.0009,-0.0027
bb_upper,0.0027,0.0101,0.0074,0.0027,0.0116,0.0089
bb_lower,-0.0325,0.0009,0.0333,0.0325,0.0009,-0.0316
bb_width,0.0009,0.0,0.0009,0.0023,0.0,-0.0023
volume_zscore,0.0,0.0,0.0,0.0,0.0,0.0
volume_spike,-0.0069,0.0011,0.008,0.0069,0.0011,-0.0058
vwap,0.0052,0.0087,0.0035,0.0084,0.0087,0.0004
obv,0.0026,0.0022,0.0004,0.0026,0.004,0.0014
atr,0.0,0.0003,0.0003,0.0,0.0003,0.0003
spy_ret,0.0,0.0005,0.0005,0.0,0.0005,0.0005
xlk_ret,0.0,0.0,0.0,0.0,0.0,0.0
sentiment_score,0.0,0.0,0.0,0.0,0.0,0.0
insider_net_shares,0.0,0.0,0.0,0.0,0.0,0.0
insider_7d,0.0,0.0,0.0,0.0,0.0,0.0
insider_21d,0.0,0.0,0.0,0.0,0.0,0.0
congress_net_shares,0.0,0.0,0.0,0.0,0.0,0.0
risk_today,0.0,0.0,0.0,0.0,0.0,0.0
risk_next_1d,0.0,0.0,0.0,0.0,0.0,0.0
risk_next_3d,0.0,0.0,0.0,0.0,0.0,0.0
risk_prev_1d,0.0,0.0,0.0,0.0,0.0,0.0
is_pandemic,0.0,0.0,0.0,0.0,0.0,0.0
eps_surprise,0.0,0.0,0.0,0.0,0.0,0.0
rev_surprise,0.0,0.0,0.0,0.0,0.0,0.0
days_to_earnings,0.0,0.0,0.0,0.0,0.0,0.0
post_earnings_1d,0.0,0.0,0.0,0.0,0.0,0.0
post_earnings_3d,0.0,0.0,0.0,0.0,0.0,0.0
post_earnings_5d,0.0,0.0,0.0,0.0,0.0,0.0
vwap_dev_eod,-0.0014,0.0,0.0014,0.0014,0.0,-0.0014
vol_surge_eod,-0.0004,0.0,0.0004,0.0004,0.0,-0.0004
intraday_momentum,-0.0015,0.0,0.0015,0.0015,0.0,-0.0015
premarket_gap,0.0,0.0,0.0,0.0,0.0,0.0
iv_skew_snap,0.0,-0.0012,0.0012,0.0,0.0012,0.0012
pc_ratio_snap,0.0005,-0.0022,0.0027,0.0005,0.0041,0.0037
analyst_upside,0.0034,0.0026,0.0008,0.0034,0.0026,-0.0008
analyst_buy_pct,-0.0006,0.0,0.0006,0.0006,0.0,-0.0006
analyst_mult,0.0,0.0,0.0,0.0,0.0,0.0
finbert_sentiment,0.0,0.0,0.0,0.0,0.0,0.0
oil_ret,-0.002,0.0,0.002,0.0023,0.0,-0.0023
oil_spy_corr,0.008,0.0,0.008,0.008,0.0,-0.008
return_20d,-0.0009,0.0018,0.0028,0.0009,0.0018,0.0009
return_60d,0.0057,0.0024,0.0033,0.0057,0.0084,0.0027
ma_50,-0.0068,-0.0053,0.0015,0.0079,0.0113,0.0034
ma5_above_ma20,0.0,0.0004,0.0004,0.0,0.0004,0.0004
ma20_above_ma50,-0.0089,0.0,0.0089,0.0089,0.0,-0.0089
high_52w_ratio,-0.0082,-0.0045,0.0037,0.0089,0.0045,-0.0044
low_52w_ratio,-0.004,0.0,0.004,0.004,0.0,-0.004
bb_pct,0.0159,0.0,0.0159,0.0159,0.0,-0.0159
rsi_above_70,-0.0004,0.0,0.0004,0.0006,0.0,-0.0006
rsi_below_30,0.0,0.0,0.0,0.0,0.0,0.0
obv_trend,0.0,0.0022,0.0022,0.0,0.0022,0.0022
vix_close,0.0,-0.0009,0.0009,0.0,0.0009,0.0009
vix_ret,-0.0001,0.0,0.0001,0.0032,0.0,-0.0032
dxy_ret,0.0,0.0,0.0,0.0,0.0,0.0
yield_10y,0.0,0.0,0.0,0.0,0.0,0.0
fear_greed,0.0,0.0,0.0,0.0,0.0,0.0
vix_term_structure,-0.001,0.0034,0.0044,0.001,0.0047,0.0037
beta_60d,0.0,0.0,0.0,0.0,0.0,0.0
short_ratio,0.0,-0.0027,0.0027,0.0,0.0027,0.0027
short_pct_float,-0.0187,0.0,0.0187,0.0187,0.0,-0.0187
monday_sentiment,-0.0,0.0029,0.003,0.0,0.0029,0.0029
sector_rel_ret,0.0,0.0003,0.0003,0.0,0.0003,0.0003
day_of_week,0.002,-0.0005,0.0025,0.002,0.0005,-0.0015
is_month_end,0.0004,0.0,0.0004,0.0004,0.0,-0.0004
vix_5d_above_25,0.0,0.0,0.0,0.0,0.0,0.0
semi_etf_momentum_60d,0.0,-0.0001,0.0001,0.0,0.0008,0.0008
igv_vs_sp500_ret_30d,0.0,0.0,0.0,0.0,0.0,0.0
lqd_hyg_spread,0.0,0.0005,0.0005,0.0,0.0005,0.0005
