ticker,prediction_date,actual_up,prob_up,shap_return_1d,shap_return_3d,shap_return_5d,shap_ma_5,shap_ma_10,shap_ma_20,shap_volatility_5d,shap_volatility_10d,shap_rsi_14,shap_macd,shap_bb_upper,shap_bb_lower,shap_bb_width,shap_volume_zscore,shap_volume_spike,shap_vwap,shap_obv,shap_atr,shap_spy_ret,shap_xlk_ret,shap_sentiment_score,shap_insider_net_shares,shap_insider_7d,shap_insider_21d,shap_congress_net_shares,shap_risk_today,shap_risk_next_1d,shap_risk_next_3d,shap_risk_prev_1d,shap_is_pandemic,shap_eps_surprise,shap_rev_surprise,shap_days_to_earnings,shap_post_earnings_1d,shap_post_earnings_3d,shap_post_earnings_5d,shap_vwap_dev_eod,shap_vol_surge_eod,shap_intraday_momentum,shap_premarket_gap,shap_iv_skew_snap,shap_pc_ratio_snap,shap_analyst_upside,shap_analyst_buy_pct,shap_analyst_mult,shap_finbert_sentiment,shap_oil_ret,shap_oil_spy_corr,shap_return_20d,shap_return_60d,shap_ma_50,shap_ma5_above_ma20,shap_ma20_above_ma50,shap_high_52w_ratio,shap_low_52w_ratio,shap_bb_pct,shap_rsi_above_70,shap_rsi_below_30,shap_obv_trend,shap_vix_close,shap_vix_ret,shap_dxy_ret,shap_yield_10y,shap_fear_greed,shap_vix_term_structure,shap_beta_60d,shap_short_ratio,shap_short_pct_float,shap_monday_sentiment,shap_sector_rel_ret,shap_day_of_week,shap_is_month_end,shap_vix_5d_above_25,shap_semi_etf_momentum_60d,shap_igv_vs_sp500_ret_30d,shap_lqd_hyg_spread
XLI,2026-04-30,1,0.7095,0.0,0.0,0.0,0.0,-0.0004057304187385001,0.0,0.0,0.0,0.0,0.0,0.013505944164908433,0.0,0.0,0.0,-0.011358589381963465,0.01923585092684942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.010668996123061623,0.0,0.0,0.0,0.002786987572586613,0.0,0.0,0.0,0.0,0.0,0.0005105374898508663,0.0,0.0,0.0,0.007817439241036717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0002150184856116543,0.0,0.005672753763252635,0.0,0.0,0.0,0.0,0.0
VZ,2026-04-30,1,0.7198,0.0,-0.018110523492378062,0.0,0.0,0.0,0.0,0.0,0.016285620648101257,0.0,0.0,0.0,-0.008634194964488268,0.0,0.0,0.0,0.014760678241281997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00296680283506872,0.0,0.0,0.0,0.008458363645387289,0.0,0.0,0.0,0.0,0.0,0.0017302563966164247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005044799430343968,0.0,0.0,0.0,0.0,0.0,0.004485644673462091,0.0018035821798156738,0.0,0.0,0.0,0.0
LLY,2026-04-30,1,0.8056,0.0,0.0,0.0,-0.032722868095195035,0.0,0.0,0.0,0.0,0.0,-0.008392365365412158,0.0,-0.14107861148727097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028518370004750843,-0.03684645260240042,0.0,-0.027546603642081405,-0.04266179618799191,0.0,0.07948245778292448,0.0,0.0,0.0,0.0,-0.008387151893749669,0.0,0.0,0.0,0.0,0.0,0.0,-0.09325085511218528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
INSM,2026-04-30,1,0.7608,0.0,0.0,0.0,0.0,0.0,-0.005965576468808905,0.0,0.0,0.0,0.0,0.0,-0.012537883774485193,-0.003459130278399488,0.0,0.0,-0.007860871967749213,0.013071918565947542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002189579249907292,-0.007310153917450082,0.0,0.0,0.0,0.017151961421244734,0.0,0.0,0.0,0.0005907444353638933,0.0,-0.0046640738749371465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ETN,2026-04-30,1,0.762,0.0,0.0,-0.04947127712421517,0.0,0.0,0.0,0.0,0.0,0.0,0.009835410679709056,0.0,0.0,0.007905629709135331,0.0,-0.023121453374454013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.007128800892268505,0.0,0.0,0.0,0.0,0.0023337135934673047,0.0,0.0,0.0,0.0,0.0,0.03129339739442186,0.0,0.0,0.0,0.0,-0.017179522583291928,0.0,-0.019888021122479234,0.0,-0.0025661451009817756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LIN,2026-04-30,0,0.7193,0.0,0.0,0.0,0.0,0.0,-0.0064134564414095275,0.0,0.0,-0.0019312395754116905,0.0,-0.003748100832440307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005936265819643313,-0.01585448697075847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04160631462640264,0.0,0.0,-0.010427570841012306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.003237943072204,0.0,0.0,0.0,0.0,0.0,-0.002510522490226607,0.0,0.0,-0.0021566100687809685,0.0,0.0
XLI,2026-04-29,0,0.8656,0.0,-0.008202383597014085,0.0,0.0,0.0,0.0,0.0,0.0,0.0005483754138012589,0.0,0.016003053962331378,0.0,0.0,0.0,0.0,0.018468940856767934,0.0,0.0,0.002537601891007192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010612085252841692,0.0,0.0,0.0,0.0,0.0,0.0,-0.015022352618475312,0.0,0.0,0.0,-0.012141945562861576,0.0,0.0,0.0,0.0,0.0,-0.004735132799208173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026994648623301616
SLV,2026-04-29,0,0.7004,0.0,0.0,0.008664751358099874,0.0,0.0,0.0,0.0,0.0,-0.00280961450021166,0.004669364359488852,0.00414975651642149,0.0,0.0,0.0,0.0,0.0,-0.004528841381321088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025455781011503083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010766532904263002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01358655319219959,0.0,0.0,0.001661500304455667,0.0,0.0,0.0,0.0018459988282545042,0.0,0.0
ORIC,2026-04-29,0,0.7105,0.0,0.0,0.0,0.0,0.0061197465071160745,0.0,0.0,0.0,0.0,0.0,0.03422300316746879,0.004416017465421264,0.0,0.0,0.0,0.025145318203044113,0.0,0.0014799761439607125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010083506646055007,0.0023880721480135413,0.0,0.0,0.0,0.0,0.0,0.006679850235076603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02037963256540094,0.0,0.0,0.0,0.001873677573216576,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NVO,2026-04-29,0,0.7169,0.005622196591337187,0.0,0.0,0.0,0.009050957035477274,0.0,0.0,0.0035592855368122758,0.0,0.0,0.0,0.0,0.0,0.0,0.00562611584297297,0.0,0.01568440870113539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003883144963512441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027134140929885454,0.015142572118356876,0.0019156487117136126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0128221934043921,0.0,0.0,0.0,0.0,0.0,0.0,0.0
