ds,yhat,yhat_lower,yhat_upper,actual
2020-07-27,254.15885580562968,218.94703260227143,290.988468336837,276.68975830078125
2020-07-28,256.4585991721842,218.7628848463712,292.34716262122527,277.9221496582031
2020-07-29,259.424214134106,223.36021520810314,294.0258610375409,284.1767883300781
2020-07-30,261.28200405330085,225.66155155908567,296.8049751240258,282.8332214355469
2020-07-31,263.7649827067546,227.93191198780397,301.67918729962184,280.5630187988281
2020-08-03,268.3950527446899,233.071742570391,304.6203663314501,281.33209228515625
2020-08-04,269.7996025054272,233.10127565534896,305.37349080207395,282.1568298339844
2020-08-05,271.80184366861494,234.80266191303076,306.6078952837526,289.5419616699219
2020-08-06,272.64229117312385,235.61957638358803,306.3389356599446,291.01531982421875
2020-08-07,274.0690975059097,236.07432047237947,309.45165306729973,293.76739501953125
2020-08-10,275.4561806784256,239.25960509155482,310.54542244397055,295.6855163574219
2020-08-11,275.8077561565671,241.1799549070312,313.4911895246271,292.3959655761719
2020-08-12,276.79627497818814,241.77381844908174,312.4725024019917,298.6228332519531
2020-08-13,276.676006267766,242.01031644956998,314.2509473102787,297.9278259277344
2020-08-14,277.20751406023527,239.9887176508752,312.46331855548254,299.9479675292969
2020-08-17,276.40008873880504,242.90356801986002,315.4216064926541,296.9920654296875
2020-08-18,276.2072021040212,241.90580154856727,310.8085848991952,293.56353759765625
2020-08-19,276.75111684709424,238.40663581201346,312.8061817171549,292.2569580078125
2020-08-20,276.28662332197524,239.32475313609237,316.0951544868164,290.3388977050781
2020-08-21,276.57264600337857,241.26684755337766,311.2981542721766,291.08941650390625
2020-08-24,275.57463971699536,239.71510584417683,313.19852481103214,286.1783752441406
2020-08-25,275.4758043873275,240.43537889207238,313.60334799897237,289.3103332519531
2020-08-26,276.17673555546287,240.4090098863991,309.1010352130025,286.15985107421875
2020-08-27,275.92112158573696,241.1980215723166,308.2549151612396,288.8006896972656
2020-08-28,276.4561416354711,238.60286432427424,312.3478776216844,291.3025207519531
