ds,yhat,yhat_lower,yhat_upper
2020-07-06,233.17304430736195,193.05533732086576,270.5449568818783
2020-07-07,235.98693044970378,197.4158967826723,272.1168551358122
2020-07-08,239.7590061644234,202.14166019635982,278.32451184943125
2020-07-09,242.09134808647445,203.82837047342025,283.6265800585718
2020-07-10,244.97830977552755,207.0170593718895,283.6309531725119
2020-07-13,252.22331076930394,213.42469637277586,290.42348699245406
2020-07-14,254.45304021480226,215.5660448214718,293.93235824819965
2020-07-15,257.5528293840306,219.01929361597777,298.56573392376777
2020-07-16,259.13853588270456,220.85444790692506,298.0991773528827
2020-07-17,261.21892816420745,222.52165139613578,299.8436425674146
2020-07-20,265.83144337844874,228.00910718485898,303.66924423886354
2020-07-21,267.1603865253777,229.5881026682897,307.5713281696485
2020-07-22,269.3698911191968,232.50059511718362,307.5750911826999
2020-07-23,270.08756501101095,233.22071654442314,307.874268017727
2020-07-24,271.3326068072466,232.20961241509283,306.9599031100539
2020-07-27,273.7166389687319,233.07761494002847,311.3288208438276
2020-07-28,274.4142249987866,236.42188082949787,312.9940664724252
2020-07-29,276.0533811465078,242.87054325498806,311.2649283436654
2020-07-30,276.2624219959026,237.78745287951702,313.09167956181125
2020-07-31,277.0597310273876,240.19712781392496,317.32257267488706
2020-08-03,278.43791569821286,240.1703797610562,315.8551704198758
2020-08-04,278.89790426868063,241.87268859832733,316.4639546674957
2020-08-05,280.33891064766055,241.91408577043663,320.39862219708687
2020-08-06,280.38285173120306,241.27135234029407,320.271069181921
2020-08-07,281.041508318764,243.5726014419537,321.45981173293916
2020-08-10,282.09760542405786,244.2519662206402,320.78311912975397
2020-08-11,282.4616059410151,242.81940762101843,321.84814392735524
2020-08-12,283.80374235033094,245.88245603530686,325.68722803235926
2020-08-13,283.741878058568,245.1112844118774,323.2105703770515
2020-08-14,284.28458234233113,245.53195076315265,323.5369856479059
2020-08-17,284.9131546293236,246.98267212449727,323.31785922759553
2020-08-18,285.10623157260034,245.91256845176017,324.5128790498923
2020-08-19,286.26436225952415,248.88736787128533,325.20140155405875
2020-08-20,286.0071647856889,247.84616403467945,323.70503789551526
2020-08-21,286.3455445733771,247.98473014071348,322.862070524586
2020-08-24,286.33676464466015,247.71641410418695,327.3746951663628
2020-08-25,286.3202996615931,251.03176525094543,324.0276249249687
2020-08-26,287.27600501843233,247.65261277714376,326.080932585855
2020-08-27,286.82673173401486,249.47442947501779,325.7923082339307
2020-08-28,286.98636061612956,249.50614275132543,329.2663203085841
2020-08-31,286.54548139430693,246.9819896286746,326.23398981159164
2020-09-01,286.42552943621575,249.7178193952456,323.04932269101255
2020-09-02,287.29971258030866,245.65374035105,327.18783070018065
2020-09-03,286.7911577578967,250.26030672612768,327.3640347562974
2020-09-04,286.91356049399707,248.7461126160183,324.47805754828266
2020-09-08,286.40742025447696,248.27718613484143,325.71740024734385
2020-09-09,287.3395827418614,249.36890815610974,324.44681804258414
2020-09-10,286.9035931792991,246.58361341582608,327.55076554634144
2020-09-11,287.11155742373757,250.259882696391,326.00389403467983
2020-09-14,287.0044221654724,249.34360527683813,324.5027844058352
2020-09-15,287.0510332041358,248.16666701223528,327.56922193380024
2020-09-16,288.11584541603673,253.5988059700436,323.81211780998717
2020-09-17,287.82017017488306,247.8955849192125,325.2608968537652
2020-09-18,288.17622567372877,249.46622121635056,327.5363852441781
2020-09-21,288.56508781098955,251.49967983378653,328.8832459893939
2020-09-22,288.79694411119846,250.31171031535868,325.2762354975543
2020-09-23,290.05856636853207,250.99393489127766,326.518042544673
2020-09-24,289.97223870983134,252.33796260389866,331.2392883067208
2020-09-25,290.551044336725,251.22063566992264,331.3657780890368
2020-09-28,291.6939227602699,253.02315015099867,331.15753171910586
2020-09-29,292.2058802441602,253.65985873552324,331.6354778967617
2020-09-30,293.76105611561104,253.20156910181962,330.74680817167916
2020-10-01,293.98047765214494,253.87335279946282,331.4986881415745
2020-10-02,294.87547415946204,255.959087713396,330.59308011293126
2020-10-05,297.0047489540981,260.5131731594715,335.65786394551384
2020-10-06,297.84763868435385,260.28184672528937,337.3951209011313
2020-10-07,299.7286756479742,261.626429124582,338.6624258943875
2020-10-08,300.264828672437,263.53225830660796,340.3072236072415
2020-10-09,301.46325307085283,261.6870922654803,339.62762227302505
2020-10-12,304.3818535476552,264.51788363489936,338.18468323382876
2020-10-13,305.434832899618,268.36133328458425,341.48010015015706
2020-10-14,307.4940055428136,267.84143624680894,343.58624039919965
2020-10-15,308.17383837349905,268.3590213363132,347.0278662852398
2020-10-16,309.47962143590837,271.3480445625462,347.6571448995463
2020-10-19,312.4945982834075,274.3013883131955,354.9599601111618
2020-10-20,313.50575807374366,272.38151371424306,351.4731492241408
2020-10-21,315.48874283699536,278.602316578609,351.6963964642299
2020-10-22,316.06070393808267,276.9401487660213,354.6827474552291
2020-10-23,317.2302837473519,278.0281199431962,350.00160514691754
2020-10-26,319.70824382590763,282.6896061829443,358.6771444627372
2020-10-27,320.5133219648913,280.0889385727196,359.0216165226952
2020-10-28,322.2850971324276,284.29881608847427,359.87750611025507
2020-10-29,322.6455909367635,285.44648720045024,364.24019906830745
2020-10-30,323.6081703159897,285.59875207503217,360.0348728428778
2020-11-02,325.5326370569557,286.0000059992654,362.95287854452096
2020-11-03,326.1862090526597,284.6972515526092,365.4477978131073
2020-11-04,327.82621906986753,290.6951458373113,366.8051892617925
2020-11-05,328.07546976759846,290.3284212174694,368.9880487042606
2020-11-06,328.9470886934565,290.90106800103655,367.31076616173766
2020-11-09,330.704096984982,291.8215037933609,368.4841065367484
2020-11-10,331.32724662005404,294.99794992726356,370.225065268749
2020-11-11,332.94278707953515,295.0766738027922,371.50050201422243
2020-11-12,333.1685935394953,294.8542735978864,375.56167185436124
2020-11-13,334.01248366215947,295.6666649869143,375.93502603379477
2020-11-16,335.60538263225885,296.60904012016533,376.0805395532341
2020-11-17,336.1290269102546,299.38849722435594,374.4842563227665
2020-11-18,337.6146823916264,299.18664993862404,376.0358751413236
2020-11-19,337.67636957221004,300.481606178559,378.24734386037153
2020-11-20,338.3188958081897,297.86910192561106,373.87363537175247
2020-11-23,339.06939657869907,298.615495381155,379.72612364011167
2020-11-24,339.2335526944333,300.58468823945003,378.06093008929673
2020-11-25,340.3237482462357,301.02793546129374,379.3487125216261
2020-11-27,340.1455212981209,304.8916861446758,379.7675171388956
2020-11-30,339.4323033725187,301.86856349972714,377.9798808277857
2020-12-01,339.10063695454653,302.0312686205966,378.2442361637291
2020-12-02,339.7048979551914,298.4294921115426,376.5412428882516
2020-12-03,338.8715468571809,300.7913970118057,381.27659325992823
2020-12-04,338.61884668987506,301.0564367977871,378.94152125419134
2020-12-07,336.82517189794015,298.9408407582885,374.8803360902134
2020-12-08,336.2360697514253,298.6950100253047,372.08712032113607
2020-12-09,336.642918985499,296.5968123724688,374.53729221499776
2020-12-10,335.6754841704817,295.7907477050957,373.64393530357415
2020-12-11,335.3538905142692,297.31860185904225,373.28939287064094
2020-12-14,333.7403052908065,293.05682349558293,371.8030394799097
2020-12-15,333.330968249864,294.23344503456815,367.76364006298104
2020-12-16,333.9691569962155,296.3595542526153,371.95217167900176
2020-12-17,333.27765808718306,293.5733733285718,371.09081523772375
2020-12-18,333.26850228250845,296.01301081724444,373.8237693497529
2020-12-21,332.7179898017964,294.22427319377437,371.473066945827
2020-12-22,332.6714547931182,292.84592600256025,370.41566975972455
2020-12-23,333.65966703139327,294.6374966357432,371.07423779717396
2020-12-24,333.2956497569005,294.80989828034416,373.7372428890915
2020-12-28,333.65312188692894,293.92670768873717,372.84135039084435
2020-12-29,333.7061874746221,293.86229480171636,372.6785796830053
2020-12-30,334.7346891871827,298.90087667503764,373.119641256394
2020-12-31,334.3508487394601,295.8408810381522,376.62369357326173
2021-01-04,334.0737086483797,297.7213882299735,370.7442266194425
2021-01-05,333.8551781512729,293.6018252383994,372.0620897214095
2021-01-06,334.5823080148006,295.27267133630164,371.9342916495611
2021-01-07,333.87699309620535,297.3032754723546,375.6648216653523
2021-01-08,333.7535318006311,296.79160377116256,372.0451819276078
2021-01-11,332.32560283794146,294.9680776654765,368.21826229825757
2021-01-12,331.8451485334541,290.9820370135027,369.7640255287131
2021-01-13,332.3529830930182,292.09912656591706,372.10639990129283
2021-01-14,331.479388645259,293.48059331782366,370.0338793668076
2021-01-15,331.24570320931576,292.6935391144022,370.67365010591186
2021-01-19,329.55917980083103,288.6977520642254,368.3032345474469
2021-01-20,330.29216340870533,290.02865021978545,368.8538617503914
2021-01-21,329.7062333880101,292.28835381383897,368.50859736711834
2021-01-22,329.8166320859316,291.33518519087505,368.27309654801206
2021-01-25,329.73628286551326,291.5834485399006,367.22985033406354
2021-01-26,329.89039682658614,292.7608032968528,368.46316229984063
2021-01-27,331.10297601421365,294.9315544705506,373.17026996322284
2021-01-28,330.9869029168661,294.1153925861519,371.2633042703156
2021-01-29,331.5440839744706,291.9433401987248,368.50416194923946
2021-02-01,332.5380703662796,296.11026236934856,373.1048377546094
2021-02-02,332.9234849570579,292.0644400926007,371.9760807810073
2021-02-03,334.28821854313253,297.30457191906453,369.4499470883527
2021-02-04,334.2383078880767,297.28732210739196,371.81767121709794
2021-02-05,334.77087228317515,294.89181636491367,376.1238943922516
2021-02-08,335.1324856462491,295.2592807262022,372.21293355572243
2021-02-09,335.1281757916658,296.64688160510224,374.0283617891684
2021-02-10,336.0232453236906,297.8193953935414,373.388489510102
2021-02-11,335.4328089913753,295.81946865891285,374.07004816154546
2021-02-12,335.36507489154724,293.5920754998357,377.28950647945925
2021-02-16,333.00113566560407,293.3903725330389,370.24364059391706
2021-02-17,333.21480885208535,291.93596071547154,373.64624320924594
2021-02-18,331.97588386285213,292.24871006683026,370.05733372704856
2021-02-19,331.3090424183811,293.5597466957185,371.1077412491826
2021-02-22,328.2973332473032,287.2312578801366,366.98881281829205
2021-02-23,327.33853032846616,288.6498543097305,365.3983646935724
2021-02-24,327.40886899262256,286.1083896401936,364.2552098632556
2021-02-25,326.1473814206961,289.41659085240593,364.9836871388507
2021-02-26,325.5834106038782,288.6741688248298,363.93274991794175
2021-03-01,323.64108790831784,284.98503786263086,364.4533155527841
2021-03-02,323.2821729360336,285.1194177905454,361.4917887223807
2021-03-03,324.0628253137209,283.6607031123618,362.2352699183086
2021-03-04,323.6118873494358,284.87674220222215,363.1014861005523
2021-03-05,323.9465342669491,285.018637610675,359.2609760280783
2021-03-08,325.08313055692594,286.41704819571413,361.8792640046796
2021-03-09,325.8241647238783,286.9654500425768,364.6755547878194
2021-03-10,327.7130041019179,288.5465974148315,369.13495802770063
2021-03-11,328.3611709148498,290.69906581383333,365.86283491850526
2021-03-12,329.7689115805452,292.9762622803509,366.53650905378174
2021-03-15,333.81227222049296,295.10361855970655,370.79424066336736
2021-03-16,335.3722319462588,296.14556532575335,374.91847950214
2021-03-17,337.9860976559974,300.8463075306686,378.2812776311244
2021-03-18,339.25684121246013,300.69557466139594,378.10010843591743
2021-03-19,341.17818387215874,304.1849713280461,380.9103339600749
