ds,yhat,yhat_lower,yhat_upper
2020-07-06,95.25061136850012,85.8874943195469,104.14215816172708
2020-07-07,95.90385932717281,86.36942589419044,105.33669779335347
2020-07-08,96.54913502047344,87.1826617723862,105.93248115042586
2020-07-09,97.15870874425774,87.67493087488043,106.5561274566537
2020-07-10,97.9271266598162,88.85521916319671,107.05009648447461
2020-07-13,99.81527469511587,90.64615086501642,108.49826015401118
2020-07-14,100.18937926332634,90.82008416449416,108.71347931461548
2020-07-15,100.52480652878873,90.0356626377332,109.93861873931209
2020-07-16,100.79937785616998,91.3331339318221,110.75192647429513
2020-07-17,101.21385024932762,92.22506341844411,110.15580677047178
2020-07-20,101.99556063376292,93.10332803164518,111.50468562031341
2020-07-21,102.01021792878507,92.36159427865131,111.70056349403193
2020-07-22,102.00301444158225,92.58971295391702,111.44049775413839
2020-07-23,101.95870193905044,92.60636787459129,111.44899120269336
2020-07-24,102.08449960968791,92.81553003305012,111.52198640239466
2020-07-27,102.23584778282428,91.96419351825587,111.18829868486708
2020-07-28,102.13275086913536,92.81600386653176,111.9030083062207
2020-07-29,102.05835446770672,93.26183623208678,111.40208481549872
2020-07-30,101.99836549033816,92.12521896843015,111.75025450324709
2020-07-31,102.15978890685393,92.54288211321767,110.7616408394621
2020-08-03,102.70628090684619,93.7560473601446,112.13597100519817
2020-08-04,102.81897125886157,93.41558736526362,113.13866343559683
2020-08-05,102.99391200231045,93.22962385628468,112.44031900056471
2020-08-06,103.21046059891401,93.55382630250058,113.51294960043366
2020-08-07,103.6686250926217,94.7990007440598,113.07086914043788
2020-08-10,105.15027305853343,95.51028911989131,114.81582111760294
2020-08-11,105.56333951547595,95.83021529971816,115.28440688633457
2020-08-12,106.02000467311177,96.41298738581249,114.93746176980989
2020-08-13,106.49231546244057,97.34475385902368,116.49113017518185
2020-08-14,107.17352105854356,97.68489666706863,117.0472846737945
2020-08-17,109.07168505583722,99.24139831378555,118.2481930619459
2020-08-18,109.52523490793924,100.18451837676307,118.90769969927221
2020-08-19,109.96874980832885,100.10170610057136,119.27714610811029
2020-08-20,110.37329698846222,100.55113966222484,119.60806667931128
2020-08-21,110.93230788926039,101.6015988778744,120.08502754508703
2020-08-24,112.15612414806799,103.06731436679746,121.84037999901489
2020-08-25,112.2938670018984,103.4493686771149,121.36256838526312
2020-08-26,112.38419279792203,103.00494103606552,122.17585479755428
2020-08-27,112.40422192148846,102.35627038697957,122.00616731273756
2020-08-28,112.55403580467234,102.92654129797208,122.06773099043757
2020-08-31,112.47445257866497,102.26943222899996,121.4259253177005
2020-09-01,112.17735761209339,102.19396585742771,121.44981886584162
2020-09-02,111.84495555250766,102.58788839181176,121.58901813018318
2020-09-03,111.46132918931916,101.46052581126204,120.53291037686823
2020-09-04,111.23304677320503,101.58090196197358,120.53224872096621
2020-09-08,109.70613473956624,100.79015571794245,119.11139619673459
2020-09-09,109.19630042717898,100.53208674858563,118.9846664706244
2020-09-10,108.6839729841267,99.7131538267649,118.6556459107948
2020-09-11,108.37640602021308,98.9855641595665,118.15841106265286
2020-09-14,107.42276250109845,98.29268172209363,116.76709695534771
2020-09-15,107.00824360237836,97.05410867925885,116.63917120909504
2020-09-16,106.64524628755423,97.35401132218149,116.15886626533923
2020-09-17,106.31541795029419,96.45090949007759,115.99123910685813
2020-09-18,106.22144870306096,96.37436401137349,115.79570542781606
2020-09-21,106.04462510744506,96.15503950846144,115.05464880370712
2020-09-22,105.91671099376175,96.10814015157685,114.87237389790648
2020-09-23,105.84530396731701,96.53183964246189,115.43861923998833
2020-09-24,105.8069663909342,96.34522592520813,115.11650736656932
2020-09-25,105.99958928738133,96.73865606564517,115.78000414578004
2020-09-28,106.61112527538401,97.46144852821222,116.05435921014383
2020-09-29,106.71060951087698,97.61084892864447,116.41022534358976
2020-09-30,106.84448143692306,97.43673661053066,115.57736295706137
2020-10-01,106.9875192383009,97.68406302495133,116.03007612575591
2020-10-02,107.33641817809387,98.15929623695781,116.7387345042799
2020-10-05,108.26271155926926,99.0320216110427,117.73123301266865
2020-10-06,108.41720695044329,98.67413025551349,117.43768312609703
