ds,yhat,yhat_lower,yhat_upper,actual
2020-07-24,120.62923479200585,88.40466658235377,154.97552336051314,100.02999877929688
2020-07-27,115.36299961656877,80.96607076031582,147.7385444575321,103.5999984741211
2020-07-28,114.58650696715327,79.88873048287441,148.03401563769677,105.7300033569336
2020-07-29,112.91086134988825,76.82626867520753,143.90323780960895,112.91999816894531
2020-07-30,111.97085784974945,80.25579699515725,148.33374781478267,111.91000366210938
2020-07-31,110.38824902471505,77.38913813352458,144.92236503114208,113.19999694824219
2020-08-03,108.55152983305238,74.79862451716447,140.50766355284574,115.4800033569336
2020-08-04,109.02944274280952,77.0105904723502,144.12667590997196,114.95999908447266
2020-08-05,108.63128103298686,76.76794462548882,139.9351994954606,114.75
2020-08-06,108.97233081223405,77.83829705473856,141.58006917198736,110.30000305175781
2020-08-07,108.65536953369914,74.06094777770137,141.51417395951,101.75
2020-08-10,110.34852612018588,76.66966406363854,142.30550361705164,97.0
2020-08-11,111.86293596997557,76.66560212874177,147.0563022862521,98.16000366210938
2020-08-12,112.41005325187764,78.16381008700708,141.89157500180303,98.44999694824219
2020-08-13,113.5954931302993,79.47814240301257,144.28170238760595,100.88999938964844
2020-08-14,114.01454047655292,82.26552754184851,145.10982545344416,101.25
2020-08-17,117.22391378853551,86.7741679249363,150.01171026354297,105.33999633789062
2020-08-18,119.01021966511237,86.73693878351469,151.49351189994627,107.0999984741211
2020-08-19,119.71618549560925,87.12085947896907,154.54447562079432,108.1500015258789
2020-08-20,120.95245460834616,88.96392313745295,158.08967911679702,112.48999786376953
2020-08-21,121.3209536771625,89.01276182947308,154.22660367905937,112.0199966430664
2020-08-24,123.85639108179251,88.7226675927712,156.99945620008194,111.24500274658203
2020-08-25,125.27745577589835,94.29018783622054,159.5632539369669,113.56999969482422
2020-08-26,125.56619153144152,95.28209640131489,159.93892054409042,117.11000061035156
2020-08-27,126.34465072540888,93.32207169106405,158.30054664868675,117.12999725341797
2020-08-28,126.22612796479734,93.54147343333575,158.11236555135164,118.63999938964844
2020-08-31,127.23401899881887,94.45178564089893,160.44221664423856,125.7300033569336
2020-09-01,128.15715791988683,96.52600942132374,159.6766671936236,143.69000244140625
2020-09-02,127.9683896032032,97.30142404906717,159.92419544289888,142.07000732421875
2020-09-03,128.297273832062,95.30910801003428,162.98409765833657,129.25
2020-09-04,127.76360420424349,94.96776505557709,161.98210957458247,125.19000244140625
2020-09-08,128.47179397273112,96.73288701311128,161.382168425968,125.62999725341797
2020-09-09,128.10115209379487,95.36224331518162,161.70318312233752,128.17999267578125
2020-09-10,128.30008958799692,95.64336249959425,160.60642015875075,129.35000610351562
2020-09-11,127.68808099962483,94.19377007585138,161.83243466675313,126.27999877929688
2020-09-14,127.76716029823727,94.58983639470989,162.91915088410622,128.5
2020-09-15,128.5682095430208,95.14138489006913,161.20738340063917,131.4499969482422
2020-09-16,128.34922876524524,96.64228662538055,160.96200424024343,131.14999389648438
2020-09-17,128.7367021938414,93.95227638437431,160.19006809687335,128.5800018310547
2020-09-18,128.34624123662502,94.0021301755449,160.08297125994463,131.42999267578125
2020-09-21,129.24638876407738,97.29639281173179,162.13971012112202,138.1300048828125
2020-09-22,130.35872328379415,96.95547572957963,162.53846432808444,142.67999267578125
2020-09-23,130.46236205854794,96.8420772448678,162.7801728993062,138.60000610351562
2020-09-24,131.1792676980563,96.54701105379971,163.95341205078657,133.89999389648438
2020-09-25,131.12054208536782,99.19560249939657,165.2401856873607,136.38999938964844
2020-09-28,132.98537458549802,98.55985510504932,167.37840293678906,137.42999267578125
2020-09-29,134.39476916859056,98.56118828779024,165.9178525156066,136.35000610351562
2020-09-30,134.77639078335864,103.38799942358688,165.99039943059182,137.32000732421875
2020-10-01,135.74838554886836,103.60257642056473,167.1383527386014,142.8699951171875
2020-10-02,135.9182840304392,104.30443276982189,170.04896420560482,139.8699951171875
2020-10-05,138.27918615661514,106.55832688787473,171.8180256778429,144.8800048828125
2020-10-06,139.7822672221986,107.28784926457058,169.34591155253764,145.1300048828125
2020-10-07,140.2186965869011,108.34395370740623,172.67665996017692,144.57000732421875
2020-10-08,141.20560036793634,108.30148203296065,174.7650681249459,142.97000122070312
2020-10-09,141.35009476948085,107.06821616621765,175.65286324459368,143.57000732421875
2020-10-12,143.39863104548195,109.59840107313994,177.32253545498565,145.9600067138672
2020-10-13,144.72423544625252,111.90247963021956,176.8857770766428,152.8000030517578
2020-10-14,144.95094227512797,112.95131673866888,176.43894870547888,147.7899932861328
2020-10-15,145.69955776382707,114.78166233332459,178.69027489273904,145.36000061035156
2020-10-16,145.58150877981365,111.20042918176313,179.3044803321478,145.33999633789062
2020-10-19,146.7480828194718,115.29710832952675,181.92040647167147,144.66000366210938
2020-10-20,147.76740488242314,116.2737262670675,178.1072348092796,142.63999938964844
2020-10-21,147.69191845868798,114.1048006673561,179.36367129669716,135.13999938964844
2020-10-22,148.1487047855685,112.19569106969642,181.10631530913568,134.5399932861328
2020-10-23,147.7553603723041,116.3830017017378,181.435726326307,135.4199981689453
2020-10-26,148.2523005930402,116.46763364656893,180.99763429335334,133.0800018310547
2020-10-27,149.1169565892427,115.4279649805867,182.99476159955313,133.47999572753906
2020-10-28,148.92755828375945,116.39722413369972,182.97928967742533,131.57000732421875
2020-10-29,149.31377811112105,115.54345829802371,186.46863212713993,127.36000061035156
2020-10-30,148.89480536043666,119.25075410379414,183.66616799221748,123.83999633789062
2020-11-02,149.58423786796348,115.83002540560672,180.2493341544459,124.47000122070312
2020-11-03,150.5972234099269,118.24971619351425,183.5647999791711,126.86000061035156
2020-11-04,150.5927128240562,118.53263233343881,186.02235419053395,136.32000732421875
2020-11-05,151.19555710247766,116.60273274584539,185.4049663365289,138.9199981689453
2020-11-06,151.01925432424798,116.71314424798045,183.20498621279756,141.7899932861328
2020-11-09,152.52596300859258,118.69876544442936,185.83070919665766,126.55000305175781
2020-11-10,153.8166168466379,124.39618759220777,188.82574817002003,123.5
2020-11-11,154.0797224164385,119.49940246095969,186.365691313613,130.9600067138672
2020-11-12,154.9327072840504,120.57071980451487,186.8667059792114,137.3000030517578
2020-11-13,154.98205970766764,122.48837561508007,189.55313666910519,132.17999267578125
2020-11-16,156.95910627865368,123.95931537007596,187.42453937323629,131.5800018310547
2020-11-17,158.32246728975488,125.79053423743028,190.52625820370213,137.77999877929688
2020-11-18,158.6115186220001,125.827720583535,189.92793081568647,137.67999267578125
2020-11-19,159.44280611065727,123.58348775302068,193.1505396698076,143.75999450683594
2020-11-20,159.42332803296634,126.79541159646719,192.7431792838231,145.72000122070312
2020-11-23,160.9370574002314,129.08441990993688,195.92319750082353,147.5399932861328
2020-11-24,162.07560970845572,129.31074144056873,196.8451793514248,149.4499969482422
2020-11-25,162.1152052376357,126.6639820339101,195.6942377860651,149.9600067138672
2020-11-27,162.38582114334443,130.56104896555027,195.24070436181844,150.8300018310547
2020-11-30,163.11336830057743,132.08601563995904,196.5184364190459,153.27999877929688
2020-12-01,164.03224090032268,129.4245365386538,195.50170668879525,147.5
2020-12-02,163.88714803278117,131.69175043388023,196.8023034193902,141.83999633789062
2020-12-03,164.3095144078579,132.1127642583948,200.15051450702552,161.19000244140625
2020-12-04,163.92078414832173,128.79447208245242,195.0840926096411,167.25999450683594
2020-12-07,164.6935238387587,133.5615656430814,201.84813572765452,170.72000122070312
2020-12-08,165.74214713920475,133.0740191427594,196.2503383240408,177.47999572753906
2020-12-09,165.78243932825342,131.5913187068242,196.9027770042246,166.1699981689453
2020-12-10,166.44214915002857,135.94235855237486,199.06768516115125,179.99000549316406
2020-12-11,166.33733040139342,134.28111218701443,197.29514365623194,175.9199981689453
2020-12-14,168.1641699764724,136.84556947910497,200.43569057198332,173.8000030517578
2020-12-15,169.5995257122968,137.30503254497745,200.96602703534293,174.92999267578125
2020-12-16,170.02583520877621,137.51188026852373,201.70268360023152,179.7899932861328
2020-12-17,171.05900495490005,136.6859825247934,206.09732525634004,185.25
2020-12-18,171.3031646715824,139.49566821220796,203.8084819564906,203.75
2020-12-21,173.9168211823283,138.7864606837689,206.90207729470305,210.64999389648438
2020-12-22,175.49439366266753,144.93055705712237,207.32336021110225,224.89999389648438
2020-12-23,175.98953998847406,141.5477556906265,209.02223441677916,223.5
2020-12-24,177.01274868449065,143.3725291098966,210.29240150555242,221.1199951171875
2020-12-28,179.00955842188733,147.00898752586914,211.21393678890323,212.5500030517578
2020-12-29,180.17865278517218,146.9057504848697,214.9400586323731,205.92999267578125
2020-12-30,180.2011110885191,145.923350426508,214.00565008544,210.2899932861328
2020-12-31,180.69787457273614,149.16946981401895,215.04865184009162,211.82000732421875
2021-01-04,180.32303494189634,146.12466235522928,215.25260674960464,200.49000549316406
2021-01-05,180.91194397749354,150.74265624581372,213.98901103352406,211.24000549316406
2021-01-06,180.39337253071108,150.2653928458216,213.34583078409355,208.85000610351562
2021-01-07,180.40530102133522,144.982910637529,215.3169661136537,221.47000122070312
2021-01-08,179.57723833868434,146.4330365113304,213.92782625196025,223.72999572753906
2021-01-11,178.95977539440125,144.33711412718645,211.7943775603034,232.24000549316406
2021-01-12,179.56042599725157,145.19612549634076,210.64030061151053,233.58999633789062
2021-01-13,179.18239969158657,146.86362533246958,210.93357128004666,226.4199981689453
2021-01-14,179.4674189774687,149.3551830572944,213.12229077930272,225.6199951171875
2021-01-15,178.91491495361376,147.94471463214495,210.89735585794648,219.50999450683594
2021-01-19,181.23480477872542,146.88404627882852,215.07217103744827,221.9199981689453
2021-01-20,181.69804427960543,148.89279170065248,214.2674107125146,226.3300018310547
2021-01-21,182.8966530448645,150.44870221555072,214.12463247422193,221.0
2021-01-22,183.4413850037494,150.0460570920676,216.35276521222107,223.52000427246094
2021-01-25,187.7997968223884,157.52664404574185,221.16729105948332,217.49000549316406
