ds,yhat,yhat_lower,yhat_upper,actual
2020-07-08,210.54197503063097,192.80835356686887,227.7236661652097,203.90939331054688
2020-07-09,209.87159848732352,192.73560076020732,227.74176484144493,205.3369140625
2020-07-10,209.46059986905678,190.93153279861292,226.5750831841406,204.71414184570312
2020-07-13,207.6094150713448,189.69251951050967,224.91000555947753,198.39080810546875
2020-07-14,206.61355426534288,187.73865435359784,224.588043102692,199.61717224121094
2020-07-15,206.5020798045962,187.39535510447857,223.81768157279183,199.32017517089844
2020-07-16,205.72520228272532,188.68404399027983,222.74038784060073,195.37283325195312
2020-07-17,205.25758481833861,189.03460789846937,223.2411369156055,194.37643432617188
2020-07-20,203.51800688597643,185.45229564174116,221.6810752375154,202.73092651367188
2020-07-21,202.6442906884896,185.60341854376512,220.70325158626676,200.0004119873047
2020-07-22,202.69179062442848,185.23585696238558,220.49502495333553,202.87464904785156
2020-07-23,202.1067865420356,183.10602233484173,219.7634087190689,194.0506591796875
2020-07-24,201.8597689157299,184.20309709839484,219.50264926000452,192.8626251220703
2020-07-27,200.9108041338045,184.21836094226006,219.99728300979748,195.30572509765625
2020-07-28,200.32901132283973,181.40593823097976,217.8123624521511,193.55245971679688
2020-07-29,200.675589592985,182.99292048208324,218.32352323220073,195.50697326660156
2020-07-30,200.39287151290964,182.50920567995325,217.19161979122003,195.35366821289062
2020-07-31,200.44765531779464,182.12804606416293,218.01530012802698,196.41709899902344
2020-08-03,200.36881067475656,182.3314362107873,217.40641275608354,207.46385192871094
2020-08-04,200.05616385633093,181.93894040890333,218.8625195890833,204.35006713867188
2020-08-05,200.65773073629873,182.03392613168697,218.4936027243211,204.01473999023438
2020-08-06,200.61412171015232,183.1096726787277,219.37682307905962,207.2818145751953
2020-08-07,200.8907279159824,183.83285002391736,219.74074778975512,203.5740203857422
2020-08-10,201.36376439125146,183.90122202621097,219.6454147680653,199.5213623046875
2020-08-11,201.19512003183354,183.06702184727868,220.83546257434855,194.85548400878906
2020-08-12,201.92014570596118,183.983554202235,219.3623087025924,200.4219512939453
2020-08-13,201.97933484521428,185.04548099701978,221.01557775084012,199.9524383544922
2020-08-14,202.33806720140538,184.23451069193172,220.2643261628234,200.14410400390625
2020-08-17,202.9344035583159,184.63640127117182,220.31834038491968,201.46624755859375
2020-08-18,202.76637845306323,185.42111529922317,222.58594352391387,202.6255340576172
2020-08-19,203.47213055177943,184.268870384077,222.05426893194664,201.39625549316406
2020-08-20,203.49239903748327,185.33060604130628,220.339400384099,206.08299255371094
2020-08-21,203.7928394723849,186.59398203696327,221.55557997429565,204.584716796875
2020-08-24,204.1015300615387,186.70868615243944,223.44047069432594,205.2282257080078
2020-08-25,203.80153633754546,186.67593711197316,222.08337185082559,207.89816284179688
2020-08-26,204.35827390407064,185.43694878887945,222.58924346825154,212.392822265625
2020-08-27,204.21327312206384,185.94702301030313,223.46532533820002,217.60780334472656
2020-08-28,204.33313857606942,187.81642370896589,222.16572638131484,219.84555053710938
2020-08-31,204.0204892846836,184.89866849598639,222.1890099694116,216.599365234375
2020-09-01,203.49191048748455,186.64042770057063,220.82136588366825,218.27047729492188
2020-09-02,203.8123751904338,185.46134655288606,222.12236223304572,222.47702026367188
2020-09-03,203.42554570030228,185.54898166802317,222.0279923709521,208.6952667236328
2020-09-04,203.30034452907594,186.1511233168922,220.75173394801448,205.7660675048828
2020-09-08,201.49801538362934,183.94442057915543,220.64102918330303,194.635009765625
2020-09-09,201.5967192847342,183.5293443235529,219.2945502875381,202.9232940673828
2020-09-10,201.00113153687738,182.3689824428155,218.6016342366509,197.23764038085938
2020-09-11,200.68289704437467,183.11312277206665,219.84795303738974,195.95074462890625
2020-09-14,199.181446374483,180.46210644525055,216.88982263733695,197.27613830566406
2020-09-15,198.31479080841575,179.51466722439685,217.10427171008538,200.51263427734375
2020-09-16,198.33390990659885,179.44806923015335,217.60615331583972,196.9303436279297
2020-09-17,197.68654678247165,179.88587543973267,216.25674626370414,194.87510681152344
2020-09-18,197.3452597320394,179.21441467894084,213.59075673240338,192.4548797607422
2020-09-21,195.95014721318051,178.0821207733499,214.131204582185,194.51974487304688
2020-09-22,195.17644918343964,176.96117001459106,212.58243301621562,199.20651245117188
2020-09-23,195.3157857990015,177.82431958776357,212.86983176078783,192.64698791503906
2020-09-24,194.81443731680716,175.64166999167145,212.49230909986014,195.14402770996094
2020-09-25,194.64316221350026,177.3668605109641,212.8730407333835,199.59066772460938
2020-09-28,193.87987843999812,175.43330879431815,211.6056917906702,201.1465301513672
2020-09-29,193.34893521096853,174.988215717213,211.64662297146725,199.05284118652344
2020-09-30,193.74253609056444,176.76684210318925,211.45193926212357,202.00128173828125
2020-10-01,193.504142374945,176.0846933106032,212.24430454875304,204.0469512939453
2020-10-02,193.6017209787482,175.1866307697571,211.51960743304107,198.02520751953125
2020-10-05,193.65403723703267,174.99047333265898,210.5812294307008,202.04928588867188
2020-10-06,193.3900517150266,174.59053342593668,210.82177028033487,197.7562713623047
2020-10-07,194.04476966047142,176.18785638443973,212.04543809743973,201.52110290527344
2020-10-08,194.06003094069118,177.36873070543828,211.9093007059603,202.24139404296875
2020-10-09,194.4024824965998,175.76574924727595,212.01091495477235,207.2642822265625
