ticker,horizon,n_folds,accuracy_mean,accuracy_std,auc_mean,brier_mean,buy_hit_55_mean,buy_n_55_total,pos_rate_mean
AAPL,3,25,0.5422,0.0706,0.5096,0.2588,0.6186,768,0.5581
ABNB,3,14,0.5011,0.0701,0.5207,0.2759,0.6735,177,0.5227
ABT,3,25,0.4895,0.0925,0.5126,0.2647,0.4822,498,0.5149
ADSK,3,25,0.5111,0.1038,0.5198,0.2609,0.5411,802,0.5244
AI,3,25,0.4927,0.078,0.5021,0.277,0.5373,391,0.4635
ALK,3,25,0.4768,0.1042,0.5593,0.2848,0.5355,449,0.501
AMD,3,25,0.5175,0.0849,0.5036,0.2727,0.5833,683,0.5416
AMPX,3,7,0.5057,0.1051,0.5283,0.2948,0.598,111,0.5034
AMZN,3,25,0.513,0.0948,0.5123,0.2768,0.5455,479,0.52
APLD,3,9,0.5432,0.0454,0.5725,0.2531,0.6655,235,0.5432
ARM,3,3,0.4868,0.0874,0.5307,0.3509,0.4116,56,0.4815
ASAN,3,14,0.5125,0.0636,0.5284,0.2708,0.5312,283,0.4773
ASTS,3,12,0.4894,0.0976,0.5183,0.2956,0.6154,86,0.4841
AXP,3,25,0.5352,0.0958,0.5483,0.2678,0.6352,719,0.5498
AZN,3,25,0.5022,0.09,0.5369,0.2697,0.5901,606,0.5359
BA,3,25,0.4883,0.1028,0.5299,0.2635,0.4972,518,0.5009
BETR,3,3,0.5185,0.0331,0.4646,0.3275,0.4646,52,0.5397
BRKR,3,25,0.5022,0.0869,0.5203,0.2736,0.5898,346,0.5137
BSX,3,25,0.5333,0.1047,0.5674,0.268,0.6093,716,0.5416
CAVA,3,4,0.5278,0.144,0.5373,0.2665,0.4952,138,0.4365
CI,3,25,0.5136,0.0789,0.5431,0.2693,0.6171,415,0.52
CNC,3,25,0.494,0.0849,0.533,0.272,0.5405,528,0.5213
COST,3,25,0.5346,0.1187,0.5114,0.2667,0.5959,1050,0.5733
CRM,3,25,0.5067,0.0976,0.5363,0.2674,0.508,589,0.5156
CRWD,3,20,0.5357,0.0827,0.5681,0.2555,0.6484,584,0.5421
DDOG,3,19,0.4904,0.1053,0.5315,0.2821,0.5062,773,0.533
DNA,3,11,0.5007,0.1216,0.4961,0.2585,0.4021,59,0.4517
DUOL,3,11,0.4618,0.1296,0.499,0.2895,0.5754,203,0.4892
ETSY,3,25,0.5079,0.0947,0.53,0.2695,0.5015,490,0.5016
FIVN,3,25,0.5397,0.0845,0.5425,0.2582,0.5622,601,0.5048
FSLY,3,20,0.4778,0.0948,0.521,0.2777,0.4909,412,0.4889
FTNT,3,25,0.5308,0.1014,0.5301,0.2698,0.5388,747,0.5511
GM,3,25,0.4775,0.0714,0.5178,0.2883,0.535,268,0.5257
GME,3,25,0.5352,0.0604,0.528,0.2602,0.4207,179,0.4838
GOOG,3,25,0.5517,0.0904,0.5185,0.2608,0.6311,752,0.5632
HUM,3,25,0.5003,0.0819,0.5023,0.2679,0.5186,586,0.5168
HY,3,25,0.4819,0.0946,0.4956,0.2723,0.4835,428,0.4832
INSM,3,25,0.4921,0.0798,0.5158,0.2639,0.6024,189,0.4959
INTC,3,25,0.5111,0.0739,0.5559,0.2681,0.553,528,0.4959
IREN,3,10,0.5635,0.0999,0.5377,0.2616,0.6907,236,0.5254
JNJ,3,25,0.5105,0.0717,0.5344,0.2649,0.5787,481,0.5137
KVUE,3,4,0.4365,0.0865,0.5042,0.3398,0.4127,63,0.4841
LLY,3,25,0.5308,0.0809,0.4962,0.2635,0.5202,791,0.5403
LULU,3,25,0.4965,0.0939,0.5176,0.2674,0.5631,643,0.5067
LYFT,3,21,0.5019,0.0794,0.5092,0.272,0.443,286,0.4596
META,3,10,0.4762,0.0953,0.4949,0.2792,0.4898,358,0.5318
MP,3,14,0.5261,0.0842,0.5445,0.2584,0.5667,203,0.4796
MRNA,3,22,0.5339,0.1012,0.5358,0.2669,0.4486,273,0.4704
MSFT,3,25,0.5213,0.0915,0.5111,0.263,0.5399,1011,0.5568
MU,3,25,0.5219,0.0913,0.5096,0.2639,0.6602,316,0.5321
NET,3,19,0.5288,0.0827,0.5148,0.2677,0.525,520,0.5347
NFLX,3,25,0.4578,0.0908,0.5141,0.2769,0.4604,573,0.5257
NIO,3,23,0.5286,0.0964,0.522,0.2557,0.5418,162,0.4527
NOK,3,25,0.5397,0.0932,0.5745,0.2797,0.5969,755,0.5308
NVDA,3,25,0.5619,0.1011,0.5099,0.2572,0.5396,1042,0.5784
NVMI,3,25,0.5137,0.1175,0.5546,0.2639,0.5826,709,0.5492
NVO,3,25,0.5117,0.084,0.495,0.2645,0.5609,790,0.5321
ONTO,3,18,0.5018,0.0784,0.5305,0.2721,0.5283,522,0.5309
OPEN,3,14,0.5669,0.0985,0.5348,0.2591,0.7917,50,0.4331
ORIC,3,16,0.5288,0.079,0.5173,0.2685,0.4003,106,0.4821
PFE,3,25,0.5067,0.0804,0.5119,0.2714,0.5295,401,0.4705
PL,3,10,0.546,0.109,0.5046,0.2818,0.555,385,0.5444
PLTR,3,14,0.5329,0.0889,0.5146,0.2649,0.6049,464,0.5612
PUBM,3,14,0.4682,0.0535,0.4899,0.2908,0.5635,187,0.5023
PYPL,3,25,0.5213,0.1029,0.5382,0.2717,0.5559,645,0.5054
QS,3,14,0.5261,0.0913,0.5365,0.2612,0.5324,70,0.4637
QUBT,3,11,0.5455,0.0624,0.5195,0.2553,0.6195,45,0.469
QURE,3,25,0.5168,0.0849,0.5147,0.2676,0.4485,253,0.4717
ROKU,3,25,0.5232,0.1057,0.5004,0.2661,0.5463,251,0.4984
ROST,3,25,0.5054,0.0933,0.5291,0.2644,0.6046,446,0.5308
S,3,20,0.4762,0.0672,0.5156,0.2738,0.5532,300,0.5119
SHOP,3,25,0.5251,0.0784,0.5329,0.2598,0.5221,502,0.5029
SLV,3,25,0.5333,0.0929,0.5209,0.2546,0.5584,464,0.5467
SMCI,3,20,0.5151,0.1007,0.5008,0.2654,0.5573,406,0.5206
SMMT,3,25,0.5448,0.0699,0.5624,0.256,0.5784,323,0.4724
SNOW,3,15,0.4529,0.0848,0.4839,0.272,0.5567,251,0.5111
TEAM,3,25,0.5098,0.1166,0.5482,0.2597,0.581,737,0.5149
TGT,3,25,0.4965,0.098,0.4948,0.2748,0.6066,513,0.5263
TJX,3,25,0.5054,0.067,0.5208,0.2674,0.6058,589,0.5371
TPR,3,25,0.4832,0.1165,0.5209,0.2695,0.5589,614,0.539
TSLA,3,25,0.5232,0.0947,0.5024,0.2608,0.4688,565,0.5168
TSM,3,25,0.5276,0.0899,0.5018,0.2655,0.5605,573,0.5257
UAL,3,25,0.4673,0.1036,0.5367,0.282,0.5737,359,0.5041
UNH,3,25,0.5251,0.0661,0.5193,0.2571,0.5559,519,0.5333
V,3,25,0.553,0.0914,0.5421,0.263,0.6018,979,0.5594
VKTX,3,25,0.5035,0.102,0.5351,0.2755,0.6413,227,0.4838
VZ,3,25,0.5219,0.0731,0.5626,0.272,0.5457,655,0.5041
WMT,3,25,0.5289,0.0755,0.561,0.2545,0.6613,582,0.5606
ZM,3,20,0.4921,0.0902,0.5077,0.2673,0.4682,226,0.4928
SPY,3,25,0.5613,0.0972,0.4934,0.2579,0.5932,1041,0.5854
QQQ,3,25,0.5708,0.0969,0.4946,0.2562,0.577,981,0.5784
GLD,3,25,0.5371,0.095,0.5149,0.2556,0.5947,888,0.553
XLF,3,25,0.5359,0.0803,0.5404,0.2729,0.5629,787,0.5594
XLE,3,25,0.539,0.0766,0.5114,0.2547,0.576,559,0.5511
XLV,3,25,0.5276,0.0829,0.5292,0.26,0.5882,745,0.539
XLI,3,25,0.5225,0.1036,0.502,0.2662,0.5927,734,0.5644
XLU,3,25,0.5225,0.0887,0.5397,0.2587,0.5881,775,0.5346
COIN,3,12,0.5093,0.0622,0.5203,0.259,0.5424,157,0.4987
AVGO,3,25,0.5149,0.103,0.548,0.2677,0.6231,675,0.5409
ANET,3,25,0.5302,0.0768,0.5024,0.2794,0.6331,625,0.5505
AMAT,3,25,0.5264,0.0883,0.527,0.2806,0.5361,620,0.5479
LRCX,3,25,0.5118,0.0917,0.5311,0.2847,0.5569,682,0.5524
VRT,3,17,0.5378,0.0793,0.5143,0.2543,0.5983,652,0.5649
ETN,3,25,0.5416,0.0885,0.5482,0.2583,0.6261,1000,0.5759
NOW,3,25,0.5105,0.0908,0.5322,0.2709,0.5959,715,0.5251
EQIX,3,25,0.5117,0.0823,0.5544,0.2697,0.5492,690,0.5276
DLR,3,25,0.5238,0.0904,0.5357,0.2687,0.5278,480,0.5149
WDC,3,25,0.52,0.1006,0.5169,0.2794,0.4987,418,0.5397
STX,3,25,0.5187,0.1212,0.5106,0.2707,0.5492,664,0.5537
ASML,3,25,0.5295,0.0841,0.5363,0.2581,0.5737,732,0.5467
CEG,3,9,0.5362,0.0603,0.4868,0.2649,0.5423,395,0.5397
VST,3,25,0.5181,0.0984,0.5402,0.2741,0.6106,698,0.5498
LIN,3,22,0.5353,0.0931,0.5189,0.2603,0.578,815,0.5664
MRVL,3,25,0.5295,0.0911,0.5386,0.2612,0.5482,677,0.534
ALAB,3,1,0.5238,,0.5561,0.2923,0.5556,45,0.5556
CLS,3,25,0.5327,0.096,0.5283,0.261,0.587,749,0.541
SYM,3,8,0.4643,0.1128,0.516,0.2671,0.5936,62,0.4861
MNDY,3,12,0.5132,0.1018,0.5317,0.2669,0.6382,218,0.4854
FVRR,3,20,0.5341,0.0743,0.5446,0.2602,0.5656,163,0.4548
APD,3,25,0.5206,0.074,0.4942,0.2594,0.5554,547,0.5333
EME,3,25,0.5251,0.0946,0.5641,0.2717,0.6226,911,0.5708
KLAC,3,25,0.5479,0.1062,0.5472,0.2539,0.5801,770,0.56
TXN,3,25,0.5378,0.0925,0.5645,0.2592,0.6345,419,0.5213
MCHP,3,25,0.5041,0.0634,0.5365,0.2746,0.5188,574,0.5098
NXPI,3,25,0.5098,0.0888,0.5308,0.2717,0.5711,484,0.527
DELL,3,22,0.5274,0.0904,0.5322,0.2704,0.5561,720,0.5563
GLW,3,25,0.5314,0.1154,0.5168,0.2637,0.5813,609,0.5371
FLEX,3,25,0.5067,0.0659,0.5157,0.277,0.5964,624,0.5429
JBL,3,25,0.5448,0.1135,0.496,0.2575,0.5994,943,0.5746
GFS,3,10,0.4984,0.0686,0.5182,0.2675,0.4045,151,0.4857
NEE,3,25,0.5365,0.0693,0.5075,0.2677,0.555,881,0.5486
D,3,25,0.5086,0.0784,0.5397,0.2725,0.5351,586,0.5067
CHTR,3,25,0.4971,0.0924,0.5065,0.2674,0.5938,503,0.5194
BIO,3,25,0.5257,0.082,0.5165,0.262,0.5419,749,0.5213
HOOD,3,11,0.5382,0.111,0.4733,0.2562,0.5446,408,0.5599
RDDT,3,1,0.5079,,0.5227,0.2542,,0,0.5079
PINS,3,20,0.5008,0.0735,0.5216,0.2665,0.5538,485,0.5087
MDB,3,25,0.5302,0.091,0.5091,0.2641,0.5314,651,0.5365
RKLB,3,11,0.4877,0.1151,0.5176,0.2666,0.6189,205,0.5368
STLA,3,13,0.4847,0.0585,0.4904,0.2763,0.3018,183,0.4896
FIG,3,7,0.5351,0.1003,0.5189,0.2846,0.4647,142,0.458
AMC,3,25,0.5429,0.0906,0.5111,0.2611,0.5302,205,0.4292
AFL,3,25,0.5517,0.0963,0.5279,0.2648,0.5873,983,0.5676
ALL,3,25,0.5029,0.0907,0.5176,0.2695,0.5044,702,0.5397
AIG,3,25,0.5257,0.0704,0.5057,0.2698,0.6029,755,0.5441
AMP,3,25,0.5321,0.096,0.5364,0.262,0.61,927,0.5632
AON,3,25,0.5232,0.0828,0.5284,0.2555,0.564,859,0.5454
APO,3,25,0.52,0.1067,0.5535,0.2618,0.599,729,0.546
ACGL,3,25,0.5568,0.1096,0.5222,0.2612,0.5489,772,0.5562
ARES,3,25,0.5422,0.0901,0.5298,0.2684,0.5381,839,0.5524
AJG,3,25,0.5505,0.0962,0.5066,0.2629,0.5762,1044,0.5721
AIZ,3,25,0.5467,0.0827,0.5301,0.2631,0.5772,779,0.5568
BAC,3,25,0.5181,0.0861,0.5347,0.2682,0.5588,589,0.52
BLK,3,25,0.5225,0.0818,0.4964,0.2595,0.5658,661,0.5422
BX,3,25,0.5365,0.0977,0.5299,0.2617,0.5966,682,0.5321
BNY,3,24,0.4616,0.1342,0.4948,0.268,0.4134,359,0.4808
BRO,3,25,0.5441,0.0988,0.5219,0.2667,0.6026,1122,0.5695
COF,3,25,0.4851,0.0992,0.5287,0.2764,0.5984,481,0.5302
CBOE,3,25,0.5079,0.0719,0.5172,0.2775,0.6112,747,0.539
SCHW,3,25,0.52,0.0843,0.5091,0.2657,0.5384,677,0.5346
CB,3,25,0.506,0.0798,0.5455,0.26,0.592,628,0.5403
CINF,3,25,0.5048,0.0883,0.5348,0.2676,0.6241,421,0.5263
C,3,25,0.5371,0.0801,0.5379,0.2668,0.5754,675,0.5333
CFG,3,25,0.4914,0.0871,0.4966,0.2837,0.5247,630,0.5314
CME,3,25,0.527,0.0673,0.5531,0.263,0.6186,562,0.5168
ERIE,3,25,0.494,0.0819,0.5085,0.2685,0.5339,476,0.5257
FDS,3,25,0.5327,0.0792,0.5348,0.2688,0.5612,864,0.5295
FIS,3,25,0.4584,0.0795,0.5307,0.2715,0.4975,574,0.5029
