ticker,horizon,n_folds,accuracy_mean,accuracy_std,auc_mean,brier_mean,buy_hit_55_mean,buy_n_55_total,pos_rate_mean
AAPL,3,25,0.5429,0.0704,0.5112,0.259,0.6173,762,0.5581
ABNB,3,14,0.5091,0.0743,0.5176,0.2766,0.6539,183,0.5227
ABT,3,25,0.494,0.097,0.5137,0.2657,0.4623,495,0.5149
ADSK,3,25,0.5098,0.1036,0.5212,0.261,0.5299,805,0.5244
AI,3,25,0.4965,0.0771,0.5026,0.2765,0.5411,390,0.4635
ALK,3,25,0.4775,0.1045,0.5593,0.2849,0.5355,449,0.501
AMD,3,25,0.5238,0.0881,0.5039,0.2722,0.5781,638,0.5416
AMPX,3,7,0.5034,0.1048,0.5214,0.2932,0.572,139,0.5034
AMZN,3,25,0.5098,0.0979,0.5155,0.2772,0.5489,499,0.52
APLD,3,9,0.5256,0.0694,0.5727,0.2535,0.6483,241,0.5432
ARM,3,3,0.4921,0.0794,0.5307,0.3509,0.4116,56,0.4815
ASAN,3,14,0.5057,0.0723,0.5283,0.2728,0.5254,290,0.4773
ASTS,3,12,0.4934,0.0994,0.527,0.2922,0.6826,75,0.4841
AXP,3,25,0.5321,0.0981,0.5498,0.2691,0.6356,718,0.5498
AZN,3,25,0.5054,0.0896,0.536,0.2698,0.5988,649,0.5359
BA,3,25,0.4914,0.1025,0.5302,0.2634,0.4958,531,0.5009
BETR,3,3,0.5185,0.0331,0.4646,0.3275,0.4646,52,0.5397
BRKR,3,25,0.5016,0.0871,0.52,0.2729,0.6291,345,0.5137
BSX,3,25,0.5321,0.1036,0.5656,0.2692,0.6065,734,0.5416
CAVA,3,4,0.5,0.1672,0.5386,0.2724,0.5047,129,0.4365
CI,3,25,0.5117,0.0807,0.5427,0.2691,0.5891,413,0.52
CNC,3,25,0.494,0.0845,0.5356,0.2719,0.5624,530,0.5213
COST,3,25,0.5346,0.1187,0.5081,0.2661,0.5953,1048,0.5733
CRM,3,25,0.506,0.0967,0.5367,0.2674,0.508,589,0.5156
CRWD,3,20,0.5373,0.0802,0.5681,0.257,0.6541,578,0.5421
DDOG,3,19,0.4695,0.1155,0.5414,0.2852,0.5488,772,0.533
DNA,3,11,0.4993,0.122,0.4922,0.2594,0.364,61,0.4517
DUOL,3,11,0.456,0.1334,0.4974,0.29,0.5731,213,0.4892
ETSY,3,25,0.5092,0.0927,0.5262,0.2697,0.5007,489,0.5016
FIVN,3,25,0.5435,0.0872,0.5409,0.2581,0.5987,585,0.5048
FSLY,3,20,0.4738,0.0937,0.519,0.2779,0.4909,412,0.4889
FTNT,3,25,0.5276,0.0999,0.5316,0.2699,0.5646,691,0.5511
GM,3,25,0.4755,0.0725,0.5151,0.2884,0.53,258,0.5257
GME,3,25,0.5384,0.0611,0.525,0.2594,0.4752,184,0.4838
GOOG,3,25,0.539,0.0902,0.5198,0.2638,0.6416,729,0.5632
HUM,3,25,0.5003,0.0803,0.5071,0.268,0.547,588,0.5168
HY,3,25,0.4806,0.095,0.4928,0.2723,0.4775,427,0.4832
INSM,3,25,0.4984,0.0873,0.514,0.2635,0.6024,189,0.4959
INTC,3,25,0.5162,0.0795,0.5543,0.2682,0.5508,527,0.4959
IREN,3,10,0.5206,0.0781,0.5388,0.2615,0.6674,249,0.5254
JNJ,3,25,0.5124,0.0714,0.534,0.2647,0.578,486,0.5137
KVUE,3,4,0.4722,0.1497,0.5322,0.3358,0.5222,82,0.4841
LLY,3,25,0.534,0.0796,0.499,0.2635,0.5259,766,0.5403
LULU,3,25,0.499,0.0956,0.5181,0.2662,0.5644,660,0.5067
LYFT,3,20,0.5111,0.0784,0.5029,0.2703,0.4072,279,0.454
META,3,10,0.4857,0.08,0.5024,0.2767,0.4468,331,0.5318
MP,3,14,0.5261,0.0842,0.5452,0.2585,0.5667,203,0.4796
MRNA,3,22,0.5325,0.0985,0.5334,0.2666,0.4941,246,0.4704
MSFT,3,25,0.5238,0.0915,0.5123,0.2621,0.5404,1022,0.5568
MU,3,25,0.5219,0.0913,0.5112,0.2651,0.6602,315,0.5321
NET,3,19,0.5163,0.0666,0.524,0.2619,0.5687,544,0.5347
NFLX,3,25,0.459,0.0947,0.5221,0.2755,0.5172,586,0.5257
NIO,3,23,0.5293,0.094,0.5253,0.2559,0.501,159,0.4527
NOK,3,25,0.5505,0.0875,0.5775,0.2794,0.5941,752,0.5308
NVDA,3,25,0.5632,0.1007,0.5105,0.2572,0.5393,1041,0.5784
NVMI,3,25,0.513,0.1161,0.5524,0.264,0.5795,706,0.5492
NVO,3,25,0.513,0.087,0.4965,0.2652,0.561,810,0.5321
