ticker,horizon,n_folds,accuracy_mean,accuracy_std,auc_mean,brier_mean,buy_hit_55_mean,buy_n_55_total,pos_rate_mean
AAPL,3,25,0.5619,0.0736,0.5295,0.2558,0.5956,756,0.5581
ABNB,3,13,0.4933,0.0768,0.5225,0.2761,0.652,238,0.5275
ABT,3,25,0.5073,0.0907,0.5281,0.269,0.5082,549,0.5149
ADSK,3,25,0.5029,0.1011,0.5263,0.261,0.595,798,0.5244
AI,3,24,0.5126,0.0729,0.493,0.2786,0.5374,359,0.4603
ALK,3,25,0.4825,0.1084,0.5456,0.2847,0.5279,489,0.501
AMD,3,25,0.5092,0.0739,0.5027,0.265,0.5188,634,0.5416
AMPX,3,6,0.5238,0.0978,0.5544,0.2658,0.7026,99,0.5264
AMZN,3,25,0.4838,0.0961,0.513,0.2776,0.5909,514,0.52
APLD,3,9,0.5432,0.0598,0.559,0.25,0.6494,143,0.5432
ARM,3,2,0.5317,0.0561,0.5038,0.3278,0.4381,56,0.4524
ASAN,3,14,0.4921,0.0792,0.4999,0.2696,0.4579,221,0.4773
ASTS,3,12,0.5,0.0922,0.5343,0.2764,0.631,96,0.4841
AXP,3,25,0.5219,0.0903,0.5521,0.2689,0.6163,656,0.5498
AZN,3,25,0.5175,0.0763,0.5157,0.2699,0.5253,660,0.5365
BA,3,25,0.4895,0.0905,0.5314,0.2728,0.5854,472,0.5009
BETR,3,3,0.5079,0.0572,0.482,0.3037,0.4486,65,0.5397
BRKR,3,25,0.5238,0.0753,0.516,0.2737,0.5005,424,0.5137
BSX,3,25,0.5333,0.0893,0.5663,0.2702,0.6189,667,0.5416
CAVA,3,3,0.5503,0.1474,0.5658,0.2476,0.8111,51,0.4868
CI,3,25,0.5048,0.0701,0.5452,0.2645,0.5235,534,0.52
CNC,3,25,0.5003,0.0982,0.5549,0.2801,0.576,611,0.5213
COST,3,25,0.5568,0.0903,0.5173,0.2728,0.5831,1075,0.5733
CRM,3,25,0.4952,0.0915,0.5255,0.2665,0.5411,588,0.5156
CRWD,3,19,0.5238,0.086,0.5545,0.2617,0.6131,511,0.5355
DDOG,3,18,0.4956,0.1099,0.5227,0.2877,0.5184,650,0.5265
DNA,3,10,0.473,0.0836,0.4469,0.2649,0.75,4,0.4492
DUOL,3,11,0.4964,0.1244,0.5104,0.2828,0.5536,178,0.4892
ETSY,3,25,0.513,0.1099,0.5253,0.2772,0.5859,345,0.5016
FIVN,3,25,0.5371,0.0917,0.5477,0.2594,0.617,656,0.5048
FSLY,3,19,0.4937,0.0851,0.5339,0.2735,0.4877,380,0.4929
FTNT,3,25,0.5346,0.0922,0.5268,0.2635,0.619,724,0.5511
GM,3,25,0.4965,0.0928,0.534,0.2896,0.4913,356,0.5257
GME,3,25,0.5124,0.0688,0.5383,0.259,0.5935,189,0.4838
GOOG,3,25,0.5346,0.0806,0.5148,0.2635,0.5929,864,0.5632
HUM,3,25,0.5175,0.0818,0.5171,0.26,0.5289,633,0.5168
HY,3,25,0.4724,0.0937,0.5178,0.2823,0.5111,437,0.4832
INSM,3,25,0.4736,0.0859,0.4982,0.2621,0.5709,186,0.4959
INTC,3,25,0.4971,0.0803,0.5466,0.2686,0.5846,519,0.4959
IREN,3,9,0.5732,0.0957,0.5413,0.2635,0.6384,202,0.5273
JNJ,3,25,0.5022,0.069,0.5236,0.2672,0.5166,392,0.5137
KVUE,3,3,0.4286,0.0727,0.5212,0.368,0.4564,65,0.4868
LLY,3,25,0.5448,0.0801,0.4871,0.2671,0.483,801,0.5403
LULU,3,25,0.5022,0.1043,0.526,0.264,0.5526,550,0.5067
LYFT,3,20,0.519,0.0827,0.5174,0.2684,0.3899,251,0.454
META,3,9,0.4709,0.0887,0.5152,0.2767,0.615,265,0.5362
MP,3,13,0.5067,0.0687,0.5333,0.2639,0.5939,162,0.4737
MRNA,3,21,0.5185,0.0975,0.5133,0.2695,0.4837,260,0.4686
MSFT,3,25,0.5257,0.0988,0.5109,0.2714,0.5942,959,0.5568
MU,3,25,0.5244,0.1018,0.5175,0.2637,0.6035,378,0.5321
NET,3,18,0.4903,0.085,0.5081,0.2625,0.5126,533,0.5326
NFLX,3,25,0.4832,0.0983,0.5162,0.2727,0.4958,658,0.5257
