ticker,horizon,n_folds,accuracy_mean,accuracy_std,auc_mean,brier_mean,buy_hit_55_mean,buy_n_55_total,pos_rate_mean
AAPL,5,25,0.5625,0.1041,0.5291,0.2663,0.6194,654,0.56
ABNB,5,13,0.5323,0.0969,0.521,0.2889,0.5669,366,0.5507
ABT,5,25,0.5048,0.1303,0.5633,0.2669,0.6224,601,0.5156
ADSK,5,25,0.5181,0.1013,0.5367,0.2614,0.5857,727,0.5225
AI,5,24,0.5278,0.1036,0.5196,0.2889,0.5496,292,0.4418
ALK,5,25,0.4603,0.142,0.5514,0.2944,0.5494,759,0.513
AMD,5,25,0.4832,0.086,0.5053,0.2852,0.4938,599,0.5403
AMPX,5,6,0.4709,0.1061,0.4729,0.2905,0.5196,127,0.5582
AMZN,5,25,0.4921,0.1082,0.5223,0.2846,0.5603,692,0.546
APLD,5,9,0.5097,0.0811,0.5385,0.2657,0.6375,183,0.5397
ARM,5,2,0.4286,0.0449,0.55,0.2804,0.496,56,0.5
ASAN,5,14,0.4943,0.1011,0.5445,0.2918,0.5094,161,0.4671
ASTS,5,12,0.4656,0.0916,0.515,0.3086,0.4952,267,0.5093
AXP,5,25,0.5124,0.1025,0.5688,0.2961,0.6117,757,0.5619
AZN,5,25,0.546,0.0911,0.5399,0.26,0.5698,858,0.5346
BA,5,25,0.5194,0.105,0.55,0.2807,0.7413,425,0.4997
BETR,5,3,0.5502,0.093,0.5253,0.2687,0.719,19,0.5026
BRKR,5,25,0.4876,0.0814,0.5007,0.2832,0.5351,508,0.5308
BSX,5,25,0.5098,0.1162,0.559,0.2979,0.6117,839,0.5429
CAVA,5,3,0.4815,0.1598,0.54,0.3037,0.569,81,0.5185
CI,5,25,0.494,0.0873,0.5444,0.2689,0.6386,680,0.5282
CNC,5,25,0.4959,0.0988,0.5584,0.2708,0.5751,665,0.5162
COST,5,25,0.5384,0.1297,0.512,0.2902,0.5506,1135,0.581
CRM,5,25,0.5225,0.1254,0.5396,0.2775,0.567,689,0.5308
CRWD,5,19,0.5155,0.1041,0.5405,0.2617,0.5805,470,0.5447
DDOG,5,18,0.4885,0.0981,0.5101,0.2822,0.5191,372,0.5062
DNA,5,10,0.5556,0.1007,0.4952,0.2623,0.2742,38,0.4381
DUOL,5,10,0.4698,0.183,0.4625,0.2858,0.5053,248,0.4635
ETSY,5,25,0.5048,0.1095,0.5237,0.2813,0.5485,377,0.5098
FIVN,5,25,0.5219,0.1081,0.5478,0.2682,0.5861,618,0.4984
FSLY,5,19,0.5213,0.0969,0.5429,0.267,0.6185,298,0.477
FTNT,5,25,0.5594,0.1224,0.5231,0.2609,0.6001,758,0.5682
GM,5,25,0.501,0.1198,0.5498,0.2857,0.6456,225,0.5117
GME,5,25,0.5251,0.0788,0.5532,0.2707,0.6266,194,0.4654
GOOG,5,25,0.5486,0.1039,0.5108,0.2648,0.6161,875,0.5772
HUM,5,25,0.4825,0.0776,0.4938,0.2633,0.4917,562,0.5219
HY,5,25,0.4711,0.1225,0.4861,0.2912,0.4725,651,0.4927
INSM,5,25,0.4756,0.1151,0.5196,0.282,0.5521,368,0.5041
INTC,5,25,0.4914,0.1043,0.5779,0.2861,0.5915,724,0.5054
IREN,5,9,0.5855,0.1243,0.5107,0.2699,0.6115,221,0.5308
JNJ,5,25,0.5022,0.1212,0.5235,0.2704,0.5876,517,0.5124
KVUE,5,3,0.5079,0.0966,0.5402,0.2601,0.5376,65,0.4391
LLY,5,25,0.5454,0.1101,0.5049,0.2623,0.5533,997,0.5581
LULU,5,25,0.5086,0.1248,0.5188,0.2844,0.5418,686,0.513
LYFT,5,20,0.5087,0.0981,0.5611,0.2732,0.5649,258,0.4548
