n_train,n_calib,n_test,accuracy,roc_auc,log_loss,brier,pos_rate,buy_hit_50,buy_n_50,buy_hit_55,buy_n_55,buy_hit_60,buy_n_60,ticker,horizon,fold,train_end_idx,test_start_idx
703,176,63,0.4127,0.5,0.7078,0.2573,0.4127,0.4127,63,,0,,0,ALK,3,6,879,882
753,189,63,0.4444,0.5743,0.6933,0.2501,0.5873,0.6,10,,0,,0,ALK,3,7,942,945
804,201,63,0.4127,0.5068,0.7414,0.2733,0.4127,0.3962,53,0.4545,22,0.4545,22,ALK,3,8,1005,1008
400,101,63,0.4603,0.499,0.7298,0.267,0.4603,0.4603,63,0.4603,63,0.4286,7,AMD,3,0,501,504
451,113,63,0.4127,0.4429,2.1321,0.3217,0.4762,0.4286,49,0.4348,46,0.425,40,AMD,3,1,564,567
501,126,63,0.4444,0.5393,1.1777,0.274,0.5079,0.2857,7,0.0,2,0.0,2,AMD,3,2,627,630
552,138,63,0.4444,0.4964,0.6991,0.253,0.4444,0.4444,63,,0,,0,AMD,3,3,690,693
602,151,63,0.3333,0.3589,0.7173,0.262,0.6032,0.4375,32,,0,,0,AMD,3,4,753,756
652,164,63,0.746,0.6951,0.8631,0.2301,0.6349,0.7609,46,,0,,0,AMD,3,5,816,819
703,176,63,0.619,0.5894,3.9009,0.3462,0.5873,0.697,33,0.697,33,,0,AMD,3,6,879,882
753,189,63,0.5714,0.5849,0.6889,0.2506,0.5714,0.6957,23,0.6818,22,0.65,20,AMD,3,7,942,945
804,201,63,0.4762,0.3253,0.7343,0.2694,0.7143,0.625,48,0.625,48,0.5714,7,AMD,3,8,1005,1008
400,101,63,0.4921,0.559,0.732,0.2684,0.5079,,0,,0,,0,AMPX,3,0,501,504
451,113,63,0.6508,0.5676,0.6301,0.2232,0.3492,,0,,0,,0,AMPX,3,1,564,567
501,126,63,0.381,0.7047,2.3886,0.3461,0.6825,1.0,4,1.0,1,1.0,1,AMPX,3,2,627,630
552,138,63,0.4127,0.4476,1.2537,0.3083,0.5079,0.4528,53,0.4615,52,,0,AMPX,3,3,690,693
602,151,63,0.4921,0.4335,0.7148,0.2607,0.4921,0.4921,63,0.4839,62,,0,AMPX,3,4,753,756
652,164,63,0.619,0.524,0.6702,0.2386,0.619,0.619,63,0.6279,43,0.75,4,AMPX,3,5,816,819
400,101,63,0.5873,0.5572,0.675,0.2412,0.5873,0.5873,63,0.75,8,1.0,2,AMZN,3,0,501,504
451,113,63,0.5873,0.5653,0.7301,0.2637,0.4286,0.5185,27,0.2727,11,0.2,5,AMZN,3,1,564,567
501,126,63,0.6984,0.64,1.5381,0.2375,0.619,0.6724,58,0.6724,58,0.6957,46,AMZN,3,2,627,630
552,138,63,0.6508,0.5071,0.6963,0.2496,0.6349,0.6552,58,0.6364,11,0.6364,11,AMZN,3,3,690,693
602,151,63,0.3016,0.4988,1.1163,0.4279,0.3016,0.3016,63,0.2963,54,0.3019,53,AMZN,3,4,753,756
652,164,63,0.5714,0.6247,0.6655,0.2393,0.5873,0.7083,24,,0,,0,AMZN,3,5,816,819
703,176,63,0.5714,0.4877,0.6882,0.2475,0.5714,0.5738,61,,0,,0,AMZN,3,6,879,882
753,189,63,0.6349,0.6517,0.6642,0.2357,0.4286,0.5714,28,,0,,0,AMZN,3,7,942,945
804,201,63,0.5397,0.4766,2.5587,0.319,0.6349,0.6279,43,0.56,25,0.619,21,AMZN,3,8,1005,1008
400,101,63,0.4921,0.5479,0.8524,0.3166,0.4921,0.4921,63,0.4921,63,0.5088,57,APLD,3,0,501,504
451,113,63,0.619,0.5,0.6683,0.2376,0.619,0.619,63,0.619,63,,0,APLD,3,1,564,567
501,126,63,0.5556,0.5706,1.5688,0.2673,0.4921,0.5349,43,0.5349,43,1.0,1,APLD,3,2,627,630
552,138,63,0.5238,0.5994,0.9194,0.2542,0.5397,0.5323,62,0.6667,27,0.6667,27,APLD,3,3,690,693
602,151,63,0.5238,0.5988,0.9013,0.2495,0.4921,0.5085,59,,0,,0,APLD,3,4,753,756
652,164,63,0.6032,0.609,0.6593,0.2348,0.5397,0.5957,47,0.65,20,0.65,20,APLD,3,5,816,819
703,176,63,0.4921,0.4435,0.7836,0.2917,0.6508,0.68,25,0.68,25,,0,APLD,3,6,879,882
753,189,63,0.5079,0.5156,0.6944,0.2506,0.5079,0.5079,63,1.0,1,,0,APLD,3,7,942,945
804,201,63,0.5714,0.5612,0.6763,0.2417,0.5714,0.5714,63,0.6842,19,0.75,4,APLD,3,8,1005,1008
400,101,63,0.5714,0.6244,4.6706,0.4015,0.3175,0.4,35,0.4,30,0.4,30,ARM,3,0,501,504
451,113,63,0.381,0.3773,1.0366,0.3091,0.5873,0.4615,26,0.4615,26,0.44,25,ARM,3,1,564,567
400,101,63,0.6032,0.5985,0.6831,0.2448,0.4762,0.6667,15,0.8182,11,,0,ASAN,3,0,501,504
451,113,63,0.6032,0.5574,1.1566,0.2628,0.3968,0.5,20,0.5,14,0.5,14,ASAN,3,1,564,567
501,126,63,0.5714,0.5076,0.9655,0.2765,0.5397,0.6667,21,0.75,8,0.75,8,ASAN,3,2,627,630
552,138,63,0.5714,0.6866,2.777,0.3215,0.5873,1.0,10,1.0,5,1.0,2,ASAN,3,3,690,693
602,151,63,0.5556,0.5924,0.6666,0.2398,0.5238,0.5532,47,0.7273,11,0.7273,11,ASAN,3,4,753,756
652,164,63,0.4762,0.4682,0.7163,0.2614,0.4921,0.4839,62,0.4839,62,0.6,5,ASAN,3,5,816,819
703,176,63,0.4921,0.5843,1.1728,0.2731,0.4762,0.4839,62,0.4839,62,0.5526,38,ASAN,3,6,879,882
753,189,63,0.3968,0.4943,0.746,0.2752,0.4127,0.3929,56,0.4286,28,0.4286,28,ASAN,3,7,942,945
804,201,63,0.5238,0.4771,2.5861,0.3302,0.4127,0.3571,14,0.3571,14,0.3571,14,ASAN,3,8,1005,1008
