ticker,horizon,n_folds,accuracy_mean,accuracy_std,auc_mean,brier_mean,buy_hit_55_mean,buy_n_55_total,pos_rate_mean
TJX,5,26,0.5098,0.0526,0.5366,0.2825,0.6023,648,0.547
TPR,5,26,0.4799,0.1545,0.5319,0.2923,0.6419,591,0.5372
TSLA,5,26,0.5287,0.1233,0.536,0.2743,0.5192,634,0.5092
TSM,5,26,0.544,0.1155,0.5403,0.2701,0.6394,929,0.5488
UAL,5,26,0.4872,0.1071,0.5647,0.2864,0.5423,441,0.5165
UNH,5,26,0.5202,0.0811,0.5318,0.2591,0.5797,618,0.5299
V,5,26,0.5116,0.1349,0.5276,0.2767,0.5435,928,0.558
VKTX,5,26,0.5177,0.1276,0.5231,0.2884,0.5217,328,0.4799
VZ,5,26,0.5214,0.0781,0.5659,0.2737,0.5382,407,0.4835
WMT,5,26,0.569,0.0878,0.5743,0.2679,0.6815,660,0.5501
ZM,5,20,0.5071,0.108,0.5085,0.2651,0.431,149,0.4738
SPY,5,26,0.5763,0.1135,0.5064,0.2598,0.6262,1161,0.6013
QQQ,5,26,0.5543,0.1044,0.4986,0.262,0.5901,1006,0.5891
GLD,5,26,0.5446,0.1306,0.5004,0.2592,0.5612,959,0.5696
XLF,5,26,0.5073,0.1118,0.547,0.2899,0.5702,806,0.5666
XLE,5,26,0.5024,0.1019,0.4941,0.2636,0.5562,724,0.558
XLV,5,26,0.5293,0.1057,0.5498,0.2619,0.6174,782,0.5421
XLI,5,26,0.497,0.1164,0.5313,0.2722,0.5783,1000,0.5708
XLU,5,26,0.5415,0.0934,0.5497,0.2682,0.5986,957,0.5421
COIN,5,12,0.5291,0.0907,0.5233,0.2611,0.4572,198,0.5132
AVGO,5,26,0.5305,0.1,0.5608,0.2824,0.6143,1028,0.5641
ANET,5,26,0.5568,0.1042,0.5214,0.2664,0.5706,866,0.5702
AMAT,5,26,0.5263,0.1086,0.5279,0.2786,0.5316,805,0.5629
LRCX,5,26,0.5324,0.11,0.5132,0.2694,0.5742,980,0.5726
VRT,5,17,0.5434,0.1257,0.4996,0.2668,0.6678,573,0.5901
ETN,5,26,0.5494,0.147,0.5181,0.2593,0.6201,1091,0.5836
NOW,5,26,0.5024,0.1354,0.5203,0.279,0.5659,960,0.5372
EQIX,5,26,0.5098,0.0896,0.5253,0.2698,0.5547,552,0.5366
DLR,5,26,0.511,0.0961,0.5528,0.2767,0.4779,515,0.5183
WDC,5,26,0.5275,0.134,0.5058,0.2927,0.5586,939,0.5641
STX,5,26,0.5262,0.1457,0.5046,0.2792,0.5706,825,0.5763
ASML,5,26,0.5641,0.1013,0.5231,0.2705,0.5881,868,0.5665
GEV,5,1,0.381,,0.5913,0.3935,0.381,63,0.381
CEG,5,9,0.515,0.0881,0.515,0.2654,0.5881,264,0.5291
VST,5,26,0.5116,0.1208,0.5344,0.2797,0.572,992,0.5543
LIN,5,22,0.5498,0.1435,0.5525,0.2689,0.6405,749,0.5685
MRVL,5,26,0.5122,0.1117,0.5449,0.2717,0.5426,778,0.5378
ALAB,5,1,0.6349,,0.5043,0.2357,0.6349,63,0.6349
CLS,5,26,0.5482,0.1386,0.5356,0.262,0.599,926,0.5586
SYM,5,8,0.4901,0.0904,0.5439,0.2822,0.4328,125,0.498
MNDY,5,12,0.5264,0.1017,0.5616,0.2512,0.5575,280,0.4788
FVRR,5,20,0.5151,0.11,0.5058,0.2731,0.4343,300,0.4452
APD,5,26,0.536,0.0997,0.5297,0.2544,0.6372,780,0.5299
EME,5,26,0.5494,0.1244,0.5433,0.2973,0.6537,1048,0.583
KLAC,5,26,0.5733,0.0915,0.5639,0.2554,0.6559,769,0.5671
TXN,5,26,0.5128,0.0905,0.5596,0.2676,0.6693,636,0.5287
MCHP,5,26,0.5116,0.1001,0.5489,0.2792,0.6027,573,0.5067
NXPI,5,26,0.5116,0.0926,0.5462,0.2825,0.56,527,0.5269
DELL,5,22,0.5678,0.0995,0.5524,0.262,0.5798,903,0.57
GLW,5,26,0.5726,0.1049,0.5429,0.2631,0.6171,762,0.5574
FLEX,5,26,0.5012,0.1024,0.5404,0.291,0.5766,805,0.5623
JBL,5,26,0.5342,0.1272,0.5496,0.2737,0.6368,832,0.5666
