n_train,n_calib,n_test,accuracy,roc_auc,log_loss,brier,pos_rate,buy_hit_50,buy_n_50,buy_hit_55,buy_n_55,buy_hit_60,buy_n_60,ticker,horizon,fold,train_end_idx,test_start_idx
400,101,63,0.3968,0.4949,0.7107,0.2588,0.4444,0.375,40,0.5172,29,,0,AAPL,3,0,501,504
451,113,63,0.3016,0.4354,0.8088,0.3047,0.6667,0.25,4,0.0,3,0.0,3,AAPL,3,1,564,567
501,126,63,0.3016,0.2724,4.7505,0.5047,0.619,0.4074,27,0.25,8,,0,AAPL,3,2,627,630
552,138,63,0.6032,0.4705,0.6813,0.2437,0.6032,0.6032,63,0.6032,63,0.5,8,AAPL,3,3,690,693
602,151,63,0.5556,0.572,0.6845,0.2471,0.5397,0.5484,62,0.5484,62,0.5484,62,AAPL,3,4,753,756
652,164,63,0.5397,0.5025,0.924,0.2578,0.5397,0.541,61,0.541,61,,0,AAPL,3,5,816,819
703,176,63,0.6032,0.516,0.6956,0.2509,0.619,0.6296,54,,0,,0,AAPL,3,6,879,882
753,189,63,0.6508,0.6525,0.6668,0.2369,0.4762,0.6667,24,0.6522,23,,0,AAPL,3,7,942,945
804,201,63,0.5873,0.6395,0.6787,0.2426,0.6032,0.875,16,0.875,16,0.9333,15,AAPL,3,8,1005,1008
400,101,63,0.619,0.5379,0.676,0.241,0.5873,0.6102,59,0.6102,59,0.5,2,ABNB,3,0,501,504
451,113,63,0.4444,0.4592,0.8256,0.3086,0.4444,0.4444,63,0.4681,47,0.4681,47,ABNB,3,1,564,567
501,126,63,0.5873,0.5284,0.6829,0.2442,0.6032,0.5968,62,0.5968,62,0.5968,62,ABNB,3,2,627,630
552,138,63,0.4444,0.4867,0.9498,0.2698,0.4444,0.4426,61,0.3333,3,0.3333,3,ABNB,3,3,690,693
602,151,63,0.6667,0.6768,0.6482,0.2296,0.4762,0.9091,11,0.875,8,0.875,8,ABNB,3,4,753,756
652,164,63,0.4762,0.4914,0.7074,0.257,0.5397,1.0,1,1.0,1,1.0,1,ABNB,3,5,816,819
703,176,63,0.4286,0.4658,0.7011,0.2538,0.4444,0.4333,60,0.0,1,0.0,1,ABNB,3,6,879,882
753,189,63,0.4603,0.5319,0.6848,0.248,0.5714,1.0,2,1.0,2,1.0,2,ABNB,3,7,942,945
804,201,63,0.5238,0.4765,0.7087,0.2573,0.5556,0.5424,59,,0,,0,ABNB,3,8,1005,1008
400,101,63,0.3968,0.5,0.7872,0.2957,0.3968,0.3968,63,0.3968,63,0.3968,63,ABT,3,0,501,504
451,113,63,0.5556,0.5761,4.8636,0.3969,0.4603,0.5094,53,0.5094,53,0.5094,53,ABT,3,1,564,567
501,126,63,0.619,0.6164,0.7264,0.2635,0.5873,0.7241,29,,0,,0,ABT,3,2,627,630
552,138,63,0.5397,0.5492,3.4437,0.3385,0.4603,,0,,0,,0,ABT,3,3,690,693
602,151,63,0.3968,0.4868,0.9548,0.2717,0.6032,,0,,0,,0,ABT,3,4,753,756
652,164,63,0.5238,0.4545,0.6938,0.2503,0.5238,0.5238,63,,0,,0,ABT,3,5,816,819
703,176,63,0.4762,0.4742,0.7024,0.2546,0.4762,0.4762,63,0.375,8,,0,ABT,3,6,879,882
753,189,63,0.4444,0.5,0.6996,0.2532,0.4444,0.4444,63,,0,,0,ABT,3,7,942,945
804,201,63,0.3175,0.5072,0.7182,0.2624,0.3016,0.3065,62,0.2727,11,0.2727,11,ABT,3,8,1005,1008
400,101,63,0.3968,0.5253,0.7694,0.2868,0.3968,0.3968,63,0.3968,63,0.4375,16,ADSK,3,0,501,504
451,113,63,0.5873,0.5751,0.8818,0.2414,0.5714,0.5806,62,0.75,8,0.75,8,ADSK,3,1,564,567
501,126,63,0.3016,0.4037,9.2935,0.6393,0.6984,,0,,0,,0,ADSK,3,2,627,630
552,138,63,0.5714,0.5,0.6837,0.2453,0.5714,0.5714,63,0.5714,63,,0,ADSK,3,3,690,693
602,151,63,0.5079,0.558,0.7232,0.2634,0.5079,0.5079,63,0.5161,62,0.5439,57,ADSK,3,4,753,756
652,164,63,0.5873,0.6202,0.67,0.2388,0.619,0.7241,29,0.7143,28,0.75,4,ADSK,3,5,816,819
703,176,63,0.5079,0.4814,0.7541,0.2778,0.4921,0.5,62,0.5,62,0.5,62,ADSK,3,6,879,882
753,189,63,0.3175,0.5093,0.7859,0.2957,0.3175,0.3115,61,0.3115,61,0.3137,51,ADSK,3,7,942,945
804,201,63,0.4762,0.6786,0.908,0.2544,0.4444,0.4576,59,0.4576,59,0.8571,7,ADSK,3,8,1005,1008
400,101,63,0.746,0.7188,0.6249,0.2178,0.4127,0.7778,18,0.7778,18,0.7778,18,AI,3,0,501,504
451,113,63,0.4921,0.4945,0.749,0.2766,0.4921,0.4706,17,0.4167,12,0.4167,12,AI,3,1,564,567
501,126,63,0.5238,0.5619,0.6982,0.2525,0.5397,1.0,4,,0,,0,AI,3,2,627,630
552,138,63,0.5714,0.6143,4.4573,0.3969,0.5556,0.7222,18,0.7222,18,,0,AI,3,3,690,693
602,151,63,0.5714,0.7848,0.85,0.2267,0.3651,0.4583,48,0.6538,26,,0,AI,3,4,753,756
652,164,63,0.5079,0.5398,0.6853,0.2509,0.5079,0.5294,17,0.3333,6,1.0,1,AI,3,5,816,819
703,176,63,0.4603,0.5654,4.109,0.479,0.4603,0.4603,63,0.4603,63,0.4603,63,AI,3,6,879,882
753,189,63,0.5556,0.5968,0.6564,0.2362,0.3968,0.4516,31,0.8,5,1.0,3,AI,3,7,942,945
804,201,63,0.619,0.6357,1.3649,0.2626,0.4127,0.5385,26,0.5385,26,0.5833,24,AI,3,8,1005,1008
400,101,63,0.4444,0.5,0.7123,0.2595,0.5556,,0,,0,,0,ALK,3,0,501,504
451,113,63,0.5556,0.4832,1.3587,0.2638,0.3651,0.381,21,0.3846,13,,0,ALK,3,1,564,567
501,126,63,0.6667,0.6743,1.0404,0.2235,0.7619,0.8857,35,0.8929,28,0.8929,28,ALK,3,2,627,630
552,138,63,0.3651,0.4278,8.1044,0.5868,0.7143,0.7273,11,,0,,0,ALK,3,3,690,693
602,151,63,0.4762,0.6167,0.7176,0.2623,0.4762,0.4762,63,0.4762,63,0.4762,63,ALK,3,4,753,756
652,164,63,0.4762,0.4582,0.7826,0.2858,0.5079,0.4918,61,0.5,46,0.5,46,ALK,3,5,816,819
703,176,63,0.5873,0.539,0.6925,0.2496,0.4127,0.5,12,0.5556,9,0.5556,9,ALK,3,6,879,882
753,189,63,0.5714,0.421,0.6936,0.2502,0.5873,0.5806,62,,0,,0,ALK,3,7,942,945
804,201,63,0.4921,0.5395,0.7334,0.2682,0.4127,0.4464,56,0.45,20,0.4211,19,ALK,3,8,1005,1008
400,101,63,0.4603,0.4975,0.7063,0.2586,0.4603,0.4603,63,0.4444,9,0.375,8,AMD,3,0,501,504
451,113,63,0.4603,0.4773,0.7553,0.2796,0.4762,0.463,54,0.463,54,0.463,54,AMD,3,1,564,567
501,126,63,0.5714,0.5993,0.6899,0.2483,0.5079,0.5714,35,0.5714,35,0.5714,35,AMD,3,2,627,630
552,138,63,0.4921,0.5046,0.6922,0.2495,0.4444,0.4412,34,,0,,0,AMD,3,3,690,693
602,151,63,0.4444,0.5011,0.7008,0.2538,0.6032,0.5882,17,0.5882,17,0.5882,17,AMD,3,4,753,756
652,164,63,0.6349,0.4875,0.6853,0.2461,0.6349,0.6349,63,,0,,0,AMD,3,5,816,819
703,176,63,0.5397,0.5582,0.6789,0.243,0.5873,0.6667,24,0.6667,24,0.6522,23,AMD,3,6,879,882
753,189,63,0.5714,0.4208,0.6871,0.2469,0.5714,0.5714,63,0.5714,63,0.25,4,AMD,3,7,942,945
804,201,63,0.3651,0.2426,0.7517,0.2789,0.7143,0.5641,39,0.5641,39,0.25,4,AMD,3,8,1005,1008
400,101,63,0.4921,0.4844,1.0336,0.3669,0.5079,,0,,0,,0,AMPX,3,0,501,504
451,113,63,0.6508,0.546,0.6439,0.226,0.3492,,0,,0,,0,AMPX,3,1,564,567
501,126,63,0.4127,0.539,0.8541,0.3227,0.6825,0.875,8,1.0,4,1.0,4,AMPX,3,2,627,630
552,138,63,0.5397,0.5469,1.1707,0.2705,0.5079,0.5366,41,0.5526,38,0.75,4,AMPX,3,3,690,693
602,151,63,0.4921,0.4889,0.7189,0.2623,0.4921,0.4921,63,0.4737,19,0.4737,19,AMPX,3,4,753,756
652,164,63,0.619,0.5641,1.1189,0.2507,0.619,0.619,63,0.7619,21,0.625,8,AMPX,3,5,816,819
400,101,63,0.5873,0.6117,0.6685,0.2379,0.5873,0.5873,63,0.5873,63,0.7097,31,AMZN,3,0,501,504
451,113,63,0.4286,0.5103,0.7312,0.2686,0.4286,0.4286,63,0.4444,36,0.4,20,AMZN,3,1,564,567
501,126,63,0.6667,0.7073,0.642,0.2261,0.619,0.68,50,0.84,25,,0,AMZN,3,2,627,630
552,138,63,0.4921,0.5163,1.6399,0.3659,0.6349,0.6429,28,0.5714,14,0.0,3,AMZN,3,3,690,693
602,151,63,0.3016,0.634,1.6966,0.3195,0.3016,0.3016,63,0.3016,63,0.4762,21,AMZN,3,4,753,756
652,164,63,0.5873,0.5,0.6921,0.2495,0.5873,0.5873,63,,0,,0,AMZN,3,5,816,819
703,176,63,0.5873,0.537,0.6889,0.2479,0.5714,0.5926,54,,0,,0,AMZN,3,6,879,882
753,189,63,0.6508,0.6939,0.5909,0.2086,0.4286,0.5532,47,0.5556,18,,0,AMZN,3,7,942,945
