ticker,horizon,n_folds,accuracy_mean,accuracy_std,auc_mean,brier_mean,buy_hit_55_mean,buy_n_55_total,pos_rate_mean
AAPL,3,26,0.544,0.0711,0.5086,0.2569,0.5939,831,0.5592
ABNB,3,14,0.5011,0.0731,0.525,0.2753,0.6759,188,0.5227
ABT,3,26,0.4853,0.0909,0.5125,0.2642,0.4815,499,0.5177
ADSK,3,26,0.5055,0.1051,0.5196,0.2662,0.5258,859,0.5226
AI,3,25,0.4965,0.0761,0.5028,0.2765,0.5411,390,0.4635
ALK,3,26,0.478,0.1052,0.5536,0.2843,0.5296,498,0.4994
AMD,3,26,0.5189,0.0848,0.5021,0.2716,0.5797,761,0.5403
AMPX,3,7,0.5102,0.1066,0.5309,0.2943,0.6042,108,0.5034
AMZN,3,26,0.5043,0.0923,0.5222,0.2749,0.5691,517,0.5171
APLD,3,10,0.5238,0.0608,0.564,0.2552,0.6041,267,0.5286
ARM,3,3,0.4921,0.1111,0.5498,0.3357,0.4386,74,0.4815
ASAN,3,15,0.5027,0.0706,0.5164,0.2721,0.508,265,0.4815
ASTS,3,13,0.4811,0.0949,0.5136,0.2915,0.6564,99,0.4847
AXP,3,26,0.5354,0.0926,0.5417,0.2677,0.6338,725,0.5507
AZN,3,26,0.5098,0.0932,0.5384,0.2696,0.5704,599,0.533
BA,3,26,0.4847,0.1017,0.5367,0.263,0.5269,509,0.4976
BETR,3,3,0.5185,0.0331,0.4643,0.3273,0.4646,52,0.5397
BRKR,3,26,0.5037,0.0897,0.5186,0.2728,0.5898,348,0.5183
BSX,3,26,0.5342,0.1004,0.564,0.2668,0.5924,742,0.5403
CAVA,3,4,0.5238,0.1461,0.5264,0.2666,0.5822,109,0.4365
CI,3,26,0.5165,0.0787,0.5444,0.2671,0.6278,364,0.5171
CNC,3,26,0.4951,0.0845,0.5424,0.2714,0.5614,533,0.5226
COST,3,26,0.5348,0.1158,0.5116,0.2659,0.599,1043,0.5702
CRM,3,26,0.5067,0.0943,0.5354,0.2675,0.5076,594,0.5183
CRWD,3,20,0.5373,0.0797,0.5673,0.2569,0.6563,556,0.5421
DDOG,3,19,0.4854,0.104,0.5205,0.2815,0.5097,767,0.533
DNA,3,11,0.4921,0.1276,0.4999,0.2571,0.4225,65,0.4517
DUOL,3,11,0.4675,0.1228,0.4999,0.2884,0.5542,207,0.4892
ETSY,3,26,0.5195,0.0931,0.5308,0.2662,0.5317,497,0.5061
FIVN,3,26,0.5433,0.0846,0.5372,0.2575,0.5622,601,0.5085
FSLY,3,20,0.477,0.0949,0.5169,0.2796,0.484,406,0.4889
FTNT,3,26,0.5299,0.0987,0.5311,0.2695,0.5503,746,0.5556
GM,3,26,0.4786,0.0697,0.517,0.2854,0.5321,288,0.5244
GME,3,26,0.5366,0.0602,0.5248,0.2603,0.4171,192,0.4786
GOOG,3,26,0.5385,0.0869,0.5186,0.2642,0.6287,783,0.5586
HUM,3,26,0.5055,0.0782,0.5045,0.2692,0.5508,560,0.5195
HY,3,26,0.4798,0.0931,0.4898,0.2727,0.4807,489,0.4829
INSM,3,26,0.4921,0.0909,0.5089,0.2618,0.5976,186,0.4945
INTC,3,26,0.5104,0.0714,0.549,0.2686,0.5388,530,0.4927
IREN,3,10,0.5635,0.0999,0.5428,0.2611,0.6907,236,0.5254
JNJ,3,26,0.5153,0.0721,0.5349,0.2634,0.5448,458,0.5171
KVUE,3,4,0.4643,0.1349,0.5172,0.3396,0.4127,63,0.4841
LLY,3,26,0.5342,0.0812,0.4985,0.2627,0.5378,800,0.5433
LULU,3,26,0.4945,0.0935,0.514,0.2682,0.5576,682,0.5067
LYFT,3,21,0.5034,0.0792,0.5063,0.2718,0.4484,287,0.4596
META,3,10,0.4714,0.0959,0.4912,0.2781,0.4874,358,0.5318
MP,3,14,0.5295,0.0816,0.548,0.2585,0.5297,211,0.4796
MRNA,3,22,0.5281,0.1048,0.531,0.2697,0.4789,280,0.4704
MSFT,3,26,0.522,0.0888,0.5127,0.262,0.5383,992,0.5556
MU,3,26,0.5226,0.0911,0.5111,0.2636,0.6529,377,0.5324
NET,3,19,0.5079,0.0896,0.5033,0.2706,0.5078,505,0.5347
NFLX,3,26,0.4591,0.09,0.5127,0.2753,0.5123,599,0.5226
NIO,3,23,0.5286,0.0936,0.5236,0.2562,0.493,162,0.4527
NOK,3,26,0.5415,0.0793,0.5709,0.282,0.6038,769,0.5262
NVDA,3,26,0.5568,0.1031,0.508,0.2591,0.5342,1092,0.572
NVMI,3,26,0.522,0.1092,0.5521,0.263,0.5786,687,0.5452
NVO,3,26,0.5128,0.0865,0.4994,0.2645,0.5653,783,0.5324
ONTO,3,18,0.5035,0.0762,0.5327,0.2715,0.5272,523,0.5309
OPEN,3,14,0.5748,0.1033,0.5244,0.2589,0.7917,50,0.4331
ORIC,3,16,0.5198,0.0777,0.5168,0.2697,0.4764,113,0.4821
PFE,3,26,0.5055,0.0787,0.5095,0.2718,0.4947,404,0.4731
PL,3,10,0.546,0.109,0.4888,0.2828,0.5444,376,0.5444
PLTR,3,15,0.5291,0.0863,0.5105,0.2638,0.6036,509,0.5587
PUBM,3,14,0.4694,0.0481,0.4908,0.2838,0.5541,214,0.5023
PYPL,3,26,0.522,0.1013,0.5298,0.2701,0.5564,702,0.5079
QS,3,14,0.5317,0.0966,0.532,0.2623,0.5639,85,0.4637
QUBT,3,12,0.5331,0.0679,0.5171,0.2566,0.4901,49,0.4669
QURE,3,26,0.5153,0.0822,0.5133,0.2654,0.4551,257,0.4737
ROKU,3,26,0.5275,0.1028,0.4969,0.2656,0.4736,303,0.5012
ROST,3,26,0.4988,0.0975,0.5223,0.2642,0.5939,450,0.533
S,3,21,0.4679,0.074,0.5107,0.2733,0.5647,294,0.5155
SHOP,3,26,0.5299,0.0783,0.534,0.2586,0.5319,511,0.5067
SLV,3,26,0.5281,0.0938,0.5123,0.2555,0.5608,526,0.5415
SMCI,3,20,0.5174,0.1034,0.5061,0.2652,0.5459,414,0.5206
SMMT,3,26,0.5397,0.0718,0.5621,0.2561,0.5721,335,0.4731
SNOW,3,15,0.4614,0.0879,0.4854,0.2734,0.5619,245,0.5111
TEAM,3,26,0.5116,0.1146,0.5496,0.2595,0.5858,745,0.5153
TGT,3,26,0.5037,0.1012,0.498,0.2733,0.6066,513,0.5311
TJX,3,26,0.5043,0.0654,0.5259,0.2664,0.6313,610,0.5342
TPR,3,26,0.478,0.1191,0.5181,0.2705,0.5487,692,0.5403
TSLA,3,26,0.5256,0.0939,0.4974,0.2603,0.477,570,0.5122
TSM,3,26,0.5238,0.0892,0.4974,0.2652,0.5666,623,0.5275
UAL,3,26,0.4683,0.1076,0.5346,0.2811,0.5135,430,0.5037
UNH,3,26,0.5232,0.0653,0.5152,0.2572,0.5475,479,0.5311
V,3,26,0.5513,0.0888,0.547,0.2621,0.582,1045,0.558
VKTX,3,26,0.5098,0.103,0.5388,0.2749,0.6224,245,0.4823
VZ,3,26,0.5238,0.0694,0.564,0.2709,0.5423,699,0.5043
WMT,3,26,0.522,0.0692,0.5645,0.2572,0.6706,631,0.5604
ZM,3,20,0.4928,0.0893,0.4995,0.2678,0.4348,221,0.4928
SPY,3,26,0.5635,0.0955,0.4962,0.2571,0.594,1104,0.5861
QQQ,3,26,0.5708,0.096,0.4986,0.2554,0.5702,1076,0.5781
GLD,3,26,0.5317,0.096,0.5112,0.2565,0.5885,951,0.5464
XLF,3,26,0.5452,0.0744,0.5309,0.269,0.5586,859,0.5611
XLE,3,26,0.5385,0.0751,0.5126,0.2553,0.5732,628,0.5513
XLV,3,26,0.5183,0.0911,0.5198,0.2592,0.5768,767,0.5433
XLI,3,26,0.5317,0.1093,0.5093,0.2658,0.5889,800,0.5623
XLU,3,26,0.5201,0.0802,0.5333,0.2595,0.5666,876,0.5299
COIN,3,13,0.5067,0.0603,0.506,0.2597,0.5424,157,0.4969
AVGO,3,26,0.5147,0.1001,0.5456,0.2673,0.5929,676,0.5391
ANET,3,26,0.5317,0.0757,0.5018,0.2784,0.6035,687,0.5513
AMAT,3,26,0.5281,0.088,0.5265,0.2799,0.5563,658,0.5488
LRCX,3,26,0.5153,0.0909,0.5344,0.2828,0.5464,770,0.5531
VRT,3,17,0.5378,0.0793,0.5161,0.2539,0.6262,637,0.5649
ETN,3,26,0.5385,0.0869,0.5424,0.2592,0.6226,1056,0.5739
NOW,3,26,0.5079,0.0883,0.531,0.2704,0.5777,775,0.525
EQIX,3,26,0.511,0.0833,0.5555,0.269,0.5871,737,0.5275
