ticker,horizon,n_folds,accuracy_mean,accuracy_std,auc_mean,brier_mean,buy_hit_55_mean,buy_n_55_total,pos_rate_mean
AAPL,1,25,0.499,0.0567,0.4802,0.2581,0.4601,548,0.5295
ABNB,1,13,0.5067,0.0563,0.5253,0.2627,0.5531,225,0.5226
ABT,1,25,0.5136,0.063,0.5352,0.2592,0.5955,435,0.5092
ADSK,1,25,0.5213,0.0641,0.4946,0.2601,0.4709,440,0.5213
AI,1,24,0.5053,0.066,0.4982,0.2652,0.4862,106,0.4682
ALK,1,25,0.4705,0.057,0.5069,0.2709,0.5461,258,0.4901
AMD,1,25,0.4673,0.0558,0.4872,0.2583,0.5151,290,0.5048
AMPX,1,6,0.4973,0.0749,0.493,0.2811,0.6354,33,0.4974
AMZN,1,25,0.5092,0.0595,0.5011,0.2676,0.6232,209,0.5244
APLD,1,9,0.4974,0.0817,0.5005,0.2612,0.5,11,0.4991
ARM,1,2,0.4366,0.0786,0.5307,0.2765,0.5384,52,0.4683
ASAN,1,14,0.5136,0.0678,0.4936,0.2618,0.5308,56,0.4705
ASTS,1,12,0.5079,0.052,0.5271,0.2671,0.4563,59,0.5013
AXP,1,25,0.5098,0.0587,0.5197,0.2646,0.5844,450,0.5206
AZN,1,25,0.5225,0.0581,0.5184,0.2567,0.572,639,0.5264
BA,1,25,0.4959,0.0707,0.51,0.2605,0.4873,288,0.494
BETR,1,3,0.5026,0.0511,0.5066,0.2889,0.4816,64,0.4868
BRKR,1,25,0.487,0.0557,0.5035,0.2622,0.471,447,0.4984
BSX,1,25,0.5232,0.0798,0.5372,0.2568,0.6082,556,0.5289
CAVA,1,3,0.4974,0.0511,0.4378,0.2938,0.2,8,0.4656
CI,1,25,0.5181,0.0532,0.5158,0.2595,0.5388,561,0.5257
CNC,1,25,0.4787,0.0404,0.4958,0.2668,0.433,329,0.5086
COST,1,25,0.5244,0.0527,0.4907,0.2642,0.5517,633,0.5327
CRM,1,25,0.4965,0.0582,0.4773,0.2645,0.4688,387,0.5168
CRWD,1,19,0.5012,0.0705,0.5134,0.2561,0.4916,360,0.5297
DDOG,1,18,0.4841,0.0719,0.4961,0.2758,0.488,422,0.4991
DNA,1,10,0.5143,0.0376,0.4767,0.2731,0.5259,73,0.4619
DUOL,1,11,0.4603,0.0536,0.472,0.2739,0.3962,249,0.5065
ETSY,1,25,0.5194,0.0637,0.5083,0.2544,0.5082,322,0.5029
FIVN,1,25,0.5098,0.0622,0.5157,0.2586,0.4138,313,0.487
FSLY,1,19,0.5013,0.0692,0.5247,0.2585,0.5848,128,0.4762
FTNT,1,25,0.5435,0.0719,0.5222,0.2549,0.5922,655,0.5441
GM,1,25,0.4876,0.0682,0.4875,0.2678,0.4907,280,0.5181
GME,1,25,0.513,0.0621,0.523,0.2569,0.4613,130,0.48
GOOG,1,25,0.5352,0.0657,0.5031,0.2573,0.5465,763,0.5467
HUM,1,25,0.5225,0.0579,0.5028,0.2577,0.4964,360,0.5219
HY,1,25,0.4902,0.0481,0.4938,0.2595,0.5307,187,0.4946
INSM,1,25,0.5194,0.0668,0.5113,0.257,0.441,190,0.506
INTC,1,25,0.4965,0.057,0.5227,0.2617,0.5794,227,0.4959
IREN,1,9,0.5097,0.058,0.5091,0.2561,0.6596,84,0.4938
JNJ,1,25,0.4895,0.0708,0.5084,0.2594,0.5594,309,0.5105
KVUE,1,3,0.4286,0.042,0.5047,0.3178,0.478,103,0.492
LLY,1,25,0.5187,0.0662,0.5074,0.257,0.5648,806,0.5264
LULU,1,25,0.5156,0.0683,0.519,0.2646,0.5161,462,0.5143
LYFT,1,20,0.5127,0.0541,0.501,0.265,0.535,161,0.4778
META,1,9,0.5221,0.0492,0.4952,0.2667,0.6134,124,0.5273
MP,1,13,0.5324,0.0533,0.5288,0.2593,0.5654,168,0.486
MRNA,1,21,0.5162,0.0684,0.5144,0.2638,0.4223,209,0.477
MSFT,1,25,0.5219,0.0682,0.5147,0.2589,0.5349,524,0.5238
MU,1,25,0.527,0.061,0.512,0.2551,0.5394,486,0.5251
NET,1,18,0.4974,0.0475,0.5062,0.2579,0.5361,322,0.5124
NFLX,1,25,0.4857,0.064,0.5224,0.2712,0.6714,189,0.5111
NIO,1,22,0.5123,0.0439,0.5066,0.2552,0.447,142,0.4733
NOK,1,25,0.5219,0.0575,0.5504,0.2598,0.5655,305,0.5035
NVDA,1,25,0.5257,0.0551,0.5155,0.2596,0.5946,694,0.5435
NVMI,1,25,0.5029,0.0656,0.4901,0.2579,0.4216,332,0.5244
NVO,1,25,0.499,0.0759,0.4991,0.259,0.5533,549,0.5162
ONTO,1,18,0.515,0.0572,0.5235,0.2633,0.5364,278,0.515
OPEN,1,13,0.5104,0.0667,0.5222,0.2645,0.4833,57,0.4737
ORIC,1,16,0.5218,0.0769,0.5055,0.2632,0.5198,85,0.4673
PFE,1,25,0.5105,0.0446,0.52,0.2571,0.5001,353,0.4749
PL,1,9,0.4991,0.0605,0.5204,0.278,0.6995,44,0.5079
PLTR,1,14,0.4943,0.0653,0.4816,0.2701,0.5256,367,0.5238
PUBM,1,13,0.5153,0.0749,0.52,0.2673,0.6368,119,0.4884
PYPL,1,25,0.5105,0.0644,0.5177,0.2565,0.5134,452,0.5105
QS,1,13,0.5275,0.0577,0.5134,0.2657,0.3267,36,0.4518
QUBT,1,11,0.5354,0.0497,0.4975,0.2678,0.3167,17,0.4574
QURE,1,25,0.5048,0.0615,0.5008,0.2576,0.588,138,0.466
ROKU,1,25,0.506,0.0657,0.5064,0.258,0.499,191,0.5073
ROST,1,25,0.4997,0.0598,0.4981,0.2654,0.458,215,0.5162
S,1,20,0.5016,0.0583,0.5112,0.2639,0.4406,213,0.5072
SHOP,1,25,0.513,0.0599,0.4847,0.2607,0.5289,299,0.5124
SLV,1,25,0.5263,0.072,0.514,0.256,0.5162,301,0.5168
SMCI,1,19,0.5163,0.0483,0.5117,0.2583,0.5308,303,0.5038
SMMT,1,25,0.5048,0.046,0.4985,0.2579,0.4565,118,0.48
SNOW,1,14,0.4989,0.0435,0.5039,0.2644,0.5737,319,0.5261
TEAM,1,25,0.4997,0.0697,0.491,0.2602,0.4884,355,0.5105
TGT,1,25,0.5028,0.0583,0.5135,0.2547,0.5057,313,0.506
TJX,1,25,0.4959,0.0488,0.5102,0.26,0.6057,438,0.5156
TPR,1,25,0.4914,0.0657,0.5161,0.2672,0.64,443,0.5213
TSLA,1,25,0.5245,0.0703,0.5201,0.2561,0.575,418,0.5244
TSM,1,25,0.5219,0.0571,0.5391,0.2554,0.5772,455,0.5124
UAL,1,25,0.4743,0.068,0.4957,0.26,0.5039,228,0.494
UNH,1,25,0.5168,0.0635,0.5041,0.2571,0.5443,542,0.5251
V,1,25,0.5213,0.0667,0.5142,0.2613,0.5406,679,0.5289
VKTX,1,25,0.5327,0.0635,0.5218,0.2617,0.4587,199,0.4794
VZ,1,25,0.5022,0.0544,0.508,0.2632,0.4651,352,0.494
WMT,1,25,0.5276,0.0632,0.5265,0.259,0.6368,508,0.5314
ZM,1,20,0.5056,0.067,0.4785,0.2578,0.5207,70,0.4786
SPY,1,25,0.5378,0.077,0.496,0.2568,0.5893,662,0.5492
QQQ,1,25,0.5644,0.083,0.5006,0.2525,0.5797,1011,0.56
GLD,1,25,0.5333,0.0673,0.5048,0.2551,0.5294,769,0.5429
XLF,1,25,0.5111,0.0538,0.5224,0.2667,0.5726,582,0.5232
XLE,1,25,0.5264,0.0475,0.4947,0.2543,0.4767,556,0.534
XLV,1,25,0.5149,0.0659,0.5128,0.2579,0.5059,384,0.5118
XLI,1,25,0.4857,0.0756,0.4948,0.2717,0.5478,468,0.534
XLU,1,25,0.5092,0.0542,0.5088,0.2586,0.4278,367,0.5244
