ticker,horizon,n_folds,accuracy_mean,accuracy_std,auc_mean,brier_mean,buy_hit_55_mean,buy_n_55_total,pos_rate_mean
AAPL,3,25,0.5625,0.0726,0.5314,0.2558,0.6345,686,0.5581
ABNB,3,13,0.4969,0.0754,0.5302,0.2762,0.6625,221,0.5275
ABT,3,25,0.5073,0.0907,0.5291,0.269,0.5082,549,0.5149
ADSK,3,25,0.4933,0.1124,0.5224,0.2622,0.5955,775,0.5244
AI,3,24,0.5205,0.0789,0.4955,0.2783,0.5374,359,0.4603
ALK,3,25,0.4825,0.1084,0.5474,0.2844,0.5437,456,0.501
AMD,3,25,0.5067,0.0722,0.5004,0.2653,0.5184,629,0.5416
AMPX,3,6,0.5238,0.0978,0.5544,0.2658,0.7026,99,0.5264
AMZN,3,25,0.4838,0.0961,0.5153,0.2776,0.5909,514,0.52
APLD,3,9,0.5344,0.0757,0.5662,0.2566,0.6242,201,0.5432
ARM,3,2,0.5317,0.0561,0.5038,0.3278,0.4381,56,0.4524
ASAN,3,14,0.4921,0.0792,0.4999,0.2696,0.4587,222,0.4773
ASTS,3,12,0.5,0.0922,0.5343,0.2764,0.631,96,0.4841
AXP,3,25,0.5219,0.0903,0.5521,0.2689,0.6163,656,0.5498
AZN,3,25,0.5175,0.0757,0.5148,0.2711,0.5206,656,0.5365
BA,3,25,0.4895,0.0905,0.5314,0.2728,0.5854,472,0.5009
BETR,3,2,0.4762,0.0225,0.497,0.3022,0.548,57,0.5317
BRKR,3,25,0.5238,0.0753,0.5155,0.2737,0.5005,424,0.5137
BSX,3,25,0.5314,0.089,0.5651,0.2697,0.6189,667,0.5416
CAVA,3,3,0.5503,0.1474,0.5658,0.2476,0.8111,51,0.4868
CI,3,25,0.5067,0.0667,0.5462,0.2638,0.5209,547,0.52
CNC,3,25,0.5003,0.0982,0.5549,0.2801,0.576,611,0.5213
COST,3,25,0.56,0.0899,0.5159,0.2731,0.5846,1079,0.5733
CRM,3,25,0.4978,0.09,0.5231,0.2664,0.5411,588,0.5156
CRWD,3,19,0.5247,0.0842,0.5515,0.2618,0.6094,508,0.5355
DDOG,3,18,0.4956,0.1099,0.5211,0.2877,0.5184,650,0.5265
DNA,3,10,0.4714,0.0826,0.4478,0.265,0.375,5,0.4492
DUOL,3,10,0.4714,0.129,0.4957,0.2791,0.5536,178,0.4794
ETSY,3,25,0.513,0.1099,0.5257,0.2772,0.5861,347,0.5016
FIVN,3,25,0.5371,0.0917,0.5477,0.2594,0.617,656,0.5048
FSLY,3,19,0.5013,0.0808,0.536,0.272,0.4877,380,0.4929
FTNT,3,25,0.5346,0.0922,0.5242,0.2634,0.6179,730,0.5511
GM,3,25,0.4965,0.0928,0.534,0.2896,0.4913,356,0.5257
GME,3,25,0.5124,0.0688,0.5383,0.259,0.5935,189,0.4838
GOOG,3,25,0.5346,0.0806,0.5148,0.2635,0.5929,864,0.5632
HUM,3,25,0.52,0.0794,0.5171,0.2599,0.5175,642,0.5168
HY,3,25,0.4648,0.0996,0.5126,0.2825,0.5111,437,0.4832
INSM,3,25,0.4736,0.0859,0.4941,0.2628,0.5764,182,0.4959
INTC,3,25,0.494,0.0807,0.5474,0.2685,0.5856,517,0.4959
IREN,3,9,0.5732,0.0957,0.5413,0.2635,0.6384,202,0.5273
JNJ,3,25,0.5054,0.0684,0.53,0.2664,0.5332,502,0.5137
KVUE,3,3,0.4286,0.0727,0.5212,0.368,0.4564,65,0.4868
LLY,3,25,0.5448,0.0801,0.4871,0.2671,0.483,801,0.5403
LULU,3,25,0.5022,0.1043,0.5291,0.2636,0.5651,553,0.5067
LYFT,3,20,0.5182,0.0831,0.5152,0.2681,0.4211,243,0.454
META,3,9,0.4727,0.0865,0.5137,0.2775,0.5213,262,0.5362
MP,3,13,0.5238,0.0667,0.538,0.2619,0.5553,158,0.4737
MRNA,3,21,0.5223,0.0975,0.5157,0.2687,0.4796,261,0.4686
MSFT,3,25,0.5257,0.0988,0.5109,0.2715,0.5942,959,0.5568
MU,3,25,0.5257,0.1005,0.5164,0.2638,0.6003,386,0.5321
NET,3,18,0.4903,0.085,0.5081,0.2625,0.5126,533,0.5326
NFLX,3,25,0.4832,0.0983,0.5155,0.2729,0.4971,671,0.5257
NIO,3,22,0.5346,0.0717,0.5196,0.2545,0.5959,172,0.4553
NOK,3,25,0.5486,0.078,0.5725,0.2797,0.6071,704,0.5308
NVDA,3,25,0.546,0.0952,0.5074,0.2589,0.559,1069,0.5784
NVMI,3,25,0.5295,0.1039,0.5324,0.2614,0.6409,725,0.5492
NVO,3,25,0.5067,0.0717,0.5122,0.2624,0.5076,833,0.5321
ONTO,3,17,0.507,0.0785,0.5263,0.2741,0.4899,491,0.5257
OPEN,3,13,0.5409,0.1138,0.5013,0.2651,0.556,27,0.4335
ORIC,3,15,0.5238,0.0796,0.4972,0.2683,0.463,119,0.4815
PFE,3,25,0.5029,0.0772,0.5291,0.2742,0.566,402,0.4705
PL,3,9,0.5414,0.1072,0.5345,0.2751,0.5923,337,0.5538
PLTR,3,14,0.5215,0.0972,0.4851,0.2758,0.5244,461,0.5612
PUBM,3,13,0.4957,0.0716,0.5016,0.288,0.5005,212,0.4945
