n_train,n_calib,n_test,accuracy,roc_auc,log_loss,brier,pos_rate,buy_hit_50,buy_n_50,buy_hit_55,buy_n_55,buy_hit_60,buy_n_60,ticker,horizon,fold,train_end_idx,test_start_idx
701,176,63,0.7302,0.7464,0.5873,0.2,0.4286,0.7778,18,0.7778,18,0.8889,9,ALK,5,6,877,882
752,188,63,0.4444,0.4185,0.8487,0.3166,0.6508,0.5682,44,0.5526,38,0.5714,35,ALK,5,7,940,945
802,201,63,0.6032,0.4069,3.6557,0.3332,0.3492,0.3846,13,0.3846,13,0.3846,13,ALK,5,8,1003,1008
399,100,63,0.4127,0.4568,0.8011,0.3001,0.3968,0.3929,56,0.3542,48,0.35,40,AMD,5,0,499,504
449,113,63,0.5238,0.5,0.7079,0.2572,0.5238,0.5238,63,0.5238,63,0.5238,63,AMD,5,1,562,567
500,125,63,0.4286,0.4381,2.1211,0.3156,0.5397,0.4375,16,0.4375,16,0.4375,16,AMD,5,2,625,630
550,138,63,0.381,0.5256,0.7112,0.259,0.381,0.381,63,,0,,0,AMD,5,3,688,693
600,151,63,0.4762,0.4768,2.7841,0.3272,0.5079,0.4762,21,0.4762,21,0.5,20,AMD,5,4,751,756
651,163,63,0.3968,0.587,0.674,0.2443,0.7302,1.0,8,1.0,8,1.0,8,AMD,5,5,814,819
701,176,63,0.6667,0.5611,0.6429,0.231,0.6032,0.6441,59,0.5,8,,0,AMD,5,6,877,882
752,188,63,0.5873,0.6061,2.2514,0.2839,0.5556,0.6154,39,0.6286,35,0.6316,19,AMD,5,7,940,945
802,201,63,0.4444,0.2957,1.2908,0.317,0.7143,0.6087,46,0.6087,46,0.6087,46,AMD,5,8,1003,1008
399,100,63,0.4762,0.4596,0.939,0.346,0.5238,0.5,10,0.5,8,,0,AMPX,5,0,499,504
449,113,63,0.6508,0.5737,0.6706,0.2387,0.3492,,0,,0,,0,AMPX,5,1,562,567
500,125,63,0.3175,0.537,0.7345,0.2703,0.7143,1.0,2,1.0,2,1.0,2,AMPX,5,2,625,630
550,138,63,0.4603,0.45,0.9681,0.2779,0.5238,0.48,25,0.5385,13,0.5385,13,AMPX,5,3,688,693
600,151,63,0.5556,0.5959,0.6829,0.2449,0.5556,0.5556,63,0.5741,54,0.625,24,AMPX,5,4,751,756
651,163,63,0.5714,0.5709,0.6068,0.2163,0.6825,0.6429,56,0.6429,56,0.7222,36,AMPX,5,5,814,819
399,100,63,0.6984,0.5341,0.6294,0.22,0.6984,0.6984,63,0.6984,63,1.0,3,AMZN,5,0,499,504
449,113,63,0.3333,0.585,0.7779,0.2908,0.3333,0.3333,63,0.3333,63,0.45,20,AMZN,5,1,562,567
500,125,63,0.4127,0.5552,0.9056,0.2545,0.6825,0.8,10,0.7778,9,0.7778,9,AMZN,5,2,625,630
550,138,63,0.4127,0.3647,0.7193,0.2631,0.6032,0.5238,21,0.6667,9,0.6667,9,AMZN,5,3,688,693
600,151,63,0.3968,0.5766,0.7874,0.2924,0.3651,0.377,61,0.377,61,0.4706,17,AMZN,5,4,751,756
651,163,63,0.6349,0.5488,1.1604,0.2654,0.6667,0.6557,61,0.8889,9,,0,AMZN,5,5,814,819
701,176,63,0.5238,0.4821,0.7359,0.2688,0.5556,0.5455,55,0.5319,47,0.5357,28,AMZN,5,6,877,882
