ticker,horizon,n_folds,accuracy_mean,accuracy_std,auc_mean,brier_mean,buy_hit_55_mean,buy_n_55_total,pos_rate_mean
AAPL,1,25,0.4902,0.0605,0.4868,0.2556,0.5146,440,0.5295
ABNB,1,14,0.5306,0.0678,0.5313,0.2577,0.4503,181,0.5227
ABT,1,25,0.5124,0.065,0.5309,0.2603,0.6019,379,0.5092
ADSK,1,25,0.5054,0.0703,0.4896,0.2582,0.5213,459,0.5213
AI,1,25,0.4921,0.0716,0.4957,0.2639,0.5391,91,0.4711
ALK,1,25,0.4775,0.0784,0.5076,0.2715,0.4183,295,0.4901
AMD,1,25,0.4724,0.0679,0.4868,0.2644,0.5064,245,0.5048
AMPX,1,7,0.4988,0.0593,0.5153,0.2662,0.6433,54,0.4943
AMZN,1,25,0.4825,0.0678,0.5027,0.2651,0.577,287,0.5244
APLD,1,9,0.4921,0.042,0.4891,0.2577,0.4011,76,0.4991
ARM,1,3,0.4709,0.0184,0.5312,0.2693,0.4769,72,0.4921
ASAN,1,14,0.5136,0.0552,0.4954,0.2581,0.425,96,0.4705
ASTS,1,12,0.5053,0.0623,0.5249,0.2646,0.594,77,0.5013
AXP,1,25,0.5143,0.0508,0.5198,0.2653,0.5792,447,0.5206
AZN,1,25,0.5105,0.0657,0.4968,0.2596,0.5807,579,0.5264
BA,1,25,0.4978,0.0681,0.5163,0.2579,0.4568,298,0.494
BETR,1,3,0.4921,0.0825,0.4921,0.2627,0.461,67,0.4868
BRKR,1,25,0.4971,0.0564,0.5116,0.2583,0.544,360,0.4984
BSX,1,25,0.5162,0.0612,0.5355,0.2622,0.5605,576,0.5289
CAVA,1,4,0.5278,0.0352,0.4707,0.2817,0.5595,12,0.4682
CI,1,25,0.527,0.0621,0.5208,0.2579,0.5314,591,0.5257
CNC,1,25,0.4933,0.0546,0.4979,0.2603,0.552,307,0.5086
COST,1,25,0.5156,0.0487,0.485,0.2652,0.5534,735,0.5327
CRM,1,25,0.4864,0.0604,0.487,0.2583,0.5116,233,0.5168
CRWD,1,20,0.5103,0.0829,0.5308,0.256,0.5654,402,0.5349
DDOG,1,19,0.4812,0.061,0.5073,0.2625,0.5461,326,0.5004
DNA,1,11,0.5007,0.0343,0.4731,0.2686,0.5638,91,0.4603
DUOL,1,11,0.4502,0.0772,0.4761,0.2649,0.3642,231,0.5065
ETSY,1,25,0.4895,0.0633,0.4922,0.2562,0.5418,235,0.5029
FIVN,1,25,0.5124,0.0511,0.5001,0.2595,0.4693,330,0.487
FSLY,1,20,0.5008,0.0565,0.5018,0.2584,0.4565,159,0.4746
FTNT,1,25,0.5302,0.0491,0.5145,0.2562,0.5563,643,0.5441
GM,1,25,0.5035,0.0621,0.5025,0.2553,0.5067,249,0.5181
GME,1,25,0.5181,0.0646,0.5175,0.2573,0.4475,210,0.48
GOOG,1,25,0.5435,0.0603,0.4957,0.2571,0.5717,774,0.5467
HUM,1,25,0.4908,0.0522,0.5013,0.2617,0.4633,370,0.5219
HY,1,25,0.4876,0.0441,0.491,0.2606,0.5357,234,0.4946
INSM,1,25,0.4946,0.0505,0.5037,0.259,0.4549,209,0.506
INTC,1,25,0.4914,0.0545,0.5091,0.2619,0.5354,231,0.4959
IREN,1,10,0.5206,0.0564,0.5167,0.2582,0.5939,78,0.4968
JNJ,1,25,0.506,0.0756,0.5041,0.257,0.5902,224,0.5105
KVUE,1,4,0.4762,0.0467,0.5156,0.2586,0.6104,75,0.4841
LLY,1,25,0.5168,0.0643,0.5018,0.2587,0.5252,778,0.5264
LULU,1,25,0.5016,0.0635,0.5074,0.2659,0.4708,532,0.5143
LYFT,1,20,0.5103,0.0631,0.5073,0.2543,0.4804,136,0.4778
META,1,10,0.5047,0.0472,0.484,0.2629,0.508,176,0.5254
MP,1,14,0.5238,0.051,0.5415,0.2605,0.5781,201,0.4864
MRNA,1,22,0.5151,0.0623,0.5146,0.2605,0.4676,129,0.4776
MSFT,1,25,0.5156,0.0637,0.4984,0.258,0.5924,414,0.5238
MU,1,25,0.5086,0.058,0.5043,0.2603,0.4171,468,0.5251
NET,1,19,0.5004,0.0548,0.4943,0.2582,0.5669,347,0.5171
NFLX,1,25,0.4851,0.0598,0.5213,0.2683,0.5406,202,0.5111
NIO,1,23,0.5045,0.0548,0.4976,0.2575,0.4149,161,0.4714
NOK,1,25,0.5352,0.0445,0.5498,0.259,0.4459,286,0.5035
NVDA,1,25,0.5283,0.0545,0.5058,0.2555,0.5646,602,0.5435
NVMI,1,25,0.4895,0.073,0.4945,0.257,0.4857,261,0.5244
NVO,1,25,0.5079,0.0723,0.4998,0.2562,0.5444,520,0.5162
ONTO,1,18,0.5238,0.0555,0.5369,0.2635,0.5718,305,0.515
