n_train,n_calib,n_test,accuracy,roc_auc,log_loss,brier,pos_rate,buy_hit_50,buy_n_50,buy_hit_55,buy_n_55,buy_hit_60,buy_n_60,ticker,horizon,fold,train_end_idx,test_start_idx
399,100,63,0.4603,0.5602,2.0686,0.2938,0.4444,0.44,50,0.5714,21,,0,AAPL,5,0,499,504
449,113,63,0.619,0.6347,1.1314,0.2528,0.6032,0.8182,22,0.8182,22,0.7692,13,AAPL,5,1,562,567
500,125,63,0.4444,0.4643,0.8044,0.3025,0.5556,,0,,0,,0,AAPL,5,2,625,630
550,138,63,0.5873,0.499,0.6871,0.247,0.5873,0.5873,63,,0,,0,AAPL,5,3,688,693
600,151,63,0.4921,0.5697,0.6865,0.2489,0.4762,0.4839,62,0.5,42,1.0,3,AAPL,5,4,751,756
651,163,63,0.4921,0.4153,1.9192,0.3181,0.5397,0.5263,38,0.0,4,0.0,4,AAPL,5,5,814,819
701,176,63,0.2857,0.5765,8.5301,0.5912,0.7143,,0,,0,,0,AAPL,5,6,877,882
752,188,63,0.5556,0.5644,0.696,0.2513,0.4127,0.4706,34,0.4706,34,,0,AAPL,5,7,940,945
802,201,63,0.4444,0.5821,3.5709,0.3869,0.5873,0.5625,16,1.0,2,,0,AAPL,5,8,1003,1008
399,100,63,0.5714,0.517,0.6877,0.2471,0.5714,0.5714,63,0.5789,57,0.5789,57,ABNB,5,0,499,504
449,113,63,0.4762,0.55,2.2111,0.3539,0.4444,0.459,61,0.459,61,0.459,61,ABNB,5,1,562,567
500,125,63,0.6667,0.5,0.6572,0.2321,0.6667,0.6667,63,0.6667,63,,0,ABNB,5,2,625,630
550,138,63,0.4921,0.439,0.7387,0.271,0.4921,0.4921,63,0.4921,63,0.3,10,ABNB,5,3,688,693
600,151,63,0.3651,0.3869,1.2021,0.289,0.4762,0.4,50,0.3878,49,,0,ABNB,5,4,751,756
651,163,63,0.619,0.6414,0.6457,0.2308,0.5238,0.6098,41,0.6316,38,,0,ABNB,5,5,814,819
701,176,63,0.3651,0.4259,1.2068,0.287,0.4286,0.3898,59,,0,,0,ABNB,5,6,877,882
752,188,63,0.4762,0.5847,0.6908,0.2492,0.5397,1.0,1,1.0,1,1.0,1,ABNB,5,7,940,945
802,201,63,0.6032,0.7031,0.8776,0.2368,0.5556,0.8571,14,0.8571,14,,0,ABNB,5,8,1003,1008
399,100,63,0.5079,0.4552,0.7938,0.2946,0.4286,0.4,20,0.4,20,0.4,20,ABT,5,0,499,504
449,113,63,0.4921,0.5842,5.3564,0.4273,0.4921,0.4921,63,0.4921,63,0.4921,63,ABT,5,1,562,567
500,125,63,0.4286,0.5477,0.774,0.2907,0.6508,0.7273,11,,0,,0,ABT,5,2,625,630
550,138,63,0.5079,0.5318,3.9849,0.3808,0.4921,,0,,0,,0,ABT,5,3,688,693
600,151,63,0.5714,0.5577,0.6924,0.2494,0.5556,0.625,32,0.6207,29,0.6207,29,ABT,5,4,751,756
651,163,63,0.5397,0.5857,1.124,0.2548,0.5397,0.6,25,0.6,25,0.6,25,ABT,5,5,814,819
701,176,63,0.4603,0.5949,0.6941,0.2522,0.4444,0.4483,58,0.5417,24,0.5417,24,ABT,5,6,877,882
752,188,63,0.6667,0.6613,0.8365,0.2272,0.4603,0.6111,36,0.5882,34,0.8333,12,ABT,5,7,940,945
802,201,63,0.3651,0.4385,4.6414,0.5183,0.2063,0.2245,49,0.2245,49,0.2245,49,ABT,5,8,1003,1008
399,100,63,0.381,0.5417,0.7066,0.2575,0.381,0.381,63,1.0,2,1.0,2,ADSK,5,0,499,504
449,113,63,0.5556,0.5638,0.8867,0.2438,0.5556,0.5556,63,0.7778,9,0.75,8,ADSK,5,1,562,567
500,125,63,0.3333,0.4007,0.8578,0.3297,0.7619,0.6875,16,0.3333,6,,0,ADSK,5,2,625,630
550,138,63,0.4921,0.5,0.7073,0.257,0.4921,0.4921,63,0.4921,63,,0,ADSK,5,3,688,693
600,151,63,0.5873,0.6379,1.3204,0.3076,0.4603,0.5273,55,0.5273,55,0.5273,55,ADSK,5,4,751,756
651,163,63,0.5238,0.5117,0.7213,0.2632,0.5556,0.7778,9,0.7778,9,0.875,8,ADSK,5,5,814,819
701,176,63,0.4127,0.3125,0.746,0.2758,0.4921,0.4483,58,0.4483,58,0.3913,46,ADSK,5,6,877,882
752,188,63,0.3651,0.5,0.7001,0.2535,0.3651,0.3651,63,,0,,0,ADSK,5,7,940,945
802,201,63,0.4127,0.7277,0.7039,0.2526,0.4127,0.4127,63,0.68,25,0.68,25,ADSK,5,8,1003,1008
399,100,63,0.6667,0.6408,1.2182,0.2084,0.4444,0.6522,23,0.8333,18,0.8333,18,AI,5,0,499,504
449,113,63,0.5079,0.6618,0.7102,0.2584,0.4921,,0,,0,,0,AI,5,1,562,567
500,125,63,0.5079,0.5751,0.6792,0.2432,0.4921,,0,,0,,0,AI,5,2,625,630
550,138,63,0.4444,0.6505,0.7612,0.2828,0.5556,,0,,0,,0,AI,5,3,688,693
600,151,63,0.6508,0.7783,1.5471,0.2562,0.381,0.5217,46,0.5217,46,0.5217,46,AI,5,4,751,756
651,163,63,0.5397,0.5293,0.9364,0.2622,0.4286,0.4737,38,0.0,1,0.0,1,AI,5,5,814,819
701,176,63,0.3492,0.5139,9.6685,0.6232,0.3492,0.3492,63,0.3492,63,0.3492,63,AI,5,6,877,882
752,188,63,0.6032,0.619,1.1217,0.2549,0.4127,0.5172,29,0.5,28,0.4815,27,AI,5,7,940,945
802,201,63,0.4127,0.3957,2.075,0.4416,0.3651,0.3158,38,0.3158,38,0.3158,38,AI,5,8,1003,1008
399,100,63,0.3968,0.6111,2.6623,0.3723,0.619,1.0,1,1.0,1,1.0,1,ALK,5,0,499,504
449,113,63,0.3651,0.4636,1.4408,0.2964,0.3651,0.3651,63,0.1111,9,0.0,3,ALK,5,1,562,567
500,125,63,0.8254,0.5804,0.5738,0.192,0.8254,0.8254,63,0.8605,43,0.8718,39,ALK,5,2,625,630
550,138,63,0.3333,0.3472,4.1995,0.4679,0.7619,0.6364,22,,0,,0,ALK,5,3,688,693
600,151,63,0.3333,0.5,0.8829,0.3401,0.3333,0.3333,63,0.3333,63,0.3333,63,ALK,5,4,751,756
651,163,63,0.5556,0.4865,1.1711,0.2729,0.5873,0.6216,37,0.6,35,0.4375,16,ALK,5,5,814,819
701,176,63,0.6825,0.6903,0.6355,0.2217,0.4286,0.6129,31,,0,,0,ALK,5,6,877,882
752,188,63,0.381,0.4745,0.7404,0.2734,0.6508,0.5833,12,,0,,0,ALK,5,7,940,945
802,201,63,0.381,0.5355,0.9745,0.2814,0.3492,0.3607,61,0.3729,59,0.0,1,ALK,5,8,1003,1008
399,100,63,0.3968,0.5932,1.3909,0.2754,0.3968,0.3968,63,0.6154,13,0.7273,11,AMD,5,0,499,504
449,113,63,0.5238,0.4444,0.6994,0.2531,0.5238,0.5238,63,0.4737,38,,0,AMD,5,1,562,567
500,125,63,0.3968,0.4229,1.91,0.3157,0.5397,0.3,10,0.3,10,0.3,10,AMD,5,2,625,630
550,138,63,0.381,0.5,0.7005,0.2537,0.381,0.381,63,,0,,0,AMD,5,3,688,693
600,151,63,0.4603,0.4506,0.7249,0.2655,0.5079,0.4737,38,0.4737,38,0.4737,38,AMD,5,4,751,756
651,163,63,0.2698,0.5,0.7463,0.2765,0.7302,,0,,0,,0,AMD,5,5,814,819
701,176,63,0.6349,0.5616,0.7182,0.257,0.6032,0.6415,53,,0,,0,AMD,5,6,877,882
752,188,63,0.4127,0.4332,0.7235,0.2651,0.5556,0.4375,16,0.25,4,,0,AMD,5,7,940,945
802,201,63,0.5556,0.2759,1.9865,0.3368,0.7143,0.6604,53,0.5946,37,0.5946,37,AMD,5,8,1003,1008
399,100,63,0.5079,0.5207,0.7681,0.2826,0.5238,0.75,4,1.0,1,,0,AMPX,5,0,499,504
449,113,63,0.6984,0.561,1.1326,0.2497,0.3492,0.6154,13,,0,,0,AMPX,5,1,562,567
500,125,63,0.2857,0.6512,1.5267,0.3338,0.7143,,0,,0,,0,AMPX,5,2,625,630
550,138,63,0.5079,0.453,0.703,0.2548,0.5238,0.5172,58,0.45,20,,0,AMPX,5,3,688,693
600,151,63,0.5556,0.5,0.6903,0.2486,0.5556,0.5556,63,0.5556,63,,0,AMPX,5,4,751,756
651,163,63,0.619,0.5721,0.6434,0.2259,0.6825,0.6792,53,0.6792,53,0.6792,53,AMPX,5,5,814,819
399,100,63,0.6984,0.5114,0.6538,0.2305,0.6984,0.6984,63,0.6984,63,1.0,1,AMZN,5,0,499,504
449,113,63,0.3333,0.5578,0.7316,0.2674,0.3333,0.3333,63,0.5556,9,0.5556,9,AMZN,5,1,562,567
500,125,63,0.7302,0.7157,0.8718,0.2323,0.6825,0.8824,34,0.8824,34,0.871,31,AMZN,5,2,625,630
550,138,63,0.4603,0.4242,0.7866,0.285,0.6032,0.5476,42,0.5625,16,0.4286,7,AMZN,5,3,688,693
600,151,63,0.3651,0.6109,1.003,0.2953,0.3651,0.3651,63,0.3962,53,0.4643,28,AMZN,5,4,751,756
651,163,63,0.381,0.5198,0.8129,0.2849,0.6667,0.7143,7,1.0,3,,0,AMZN,5,5,814,819
701,176,63,0.5714,0.551,0.913,0.2535,0.5556,0.5833,48,0.5833,48,0.5938,32,AMZN,5,6,877,882
752,188,63,0.6667,0.6698,0.6698,0.2384,0.4286,0.6364,22,0.6667,21,1.0,4,AMZN,5,7,940,945
802,201,63,0.3968,0.3776,0.8123,0.3069,0.6667,0.5588,34,0.5455,33,0.5455,33,AMZN,5,8,1003,1008
399,100,63,0.4921,0.5632,1.2542,0.3087,0.3968,0.434,53,0.434,53,0.434,53,APLD,5,0,499,504
449,113,63,0.6825,0.6435,0.6555,0.2316,0.5714,0.6538,52,,0,,0,APLD,5,1,562,567
500,125,63,0.5556,0.5566,2.5919,0.3324,0.5556,0.7333,15,0.7333,15,0.7333,15,APLD,5,2,625,630
550,138,63,0.5397,0.4716,0.7343,0.2691,0.5397,0.5397,63,0.5091,55,0.5091,55,APLD,5,3,688,693
600,151,63,0.5238,0.5,0.6933,0.2501,0.4762,,0,,0,,0,APLD,5,4,751,756
651,163,63,0.4762,0.5545,0.6727,0.2431,0.619,0.875,8,1.0,5,1.0,5,APLD,5,5,814,819
701,176,63,0.4444,0.5043,0.7197,0.2632,0.6349,0.6316,19,0.8,5,1.0,4,APLD,5,6,877,882
752,188,63,0.4921,0.4587,0.6969,0.2519,0.5556,0.5254,59,,0,,0,APLD,5,7,940,945
802,201,63,0.5079,0.3145,0.7849,0.2902,0.5079,0.5079,63,0.4255,47,0.1818,11,APLD,5,8,1003,1008
399,100,63,0.3175,0.6767,0.8591,0.3138,0.3175,0.3175,63,0.4667,30,0.4667,30,ARM,5,0,499,504
449,113,63,0.6349,0.511,0.6684,0.2374,0.6825,0.6724,58,0.6829,41,0.7,40,ARM,5,1,562,567
399,100,63,0.3968,0.4926,0.8188,0.3098,0.3968,0.3968,63,0.3968,63,0.3968,63,ASAN,5,0,499,504
449,113,63,0.5397,0.5413,1.5859,0.2713,0.4921,0.5625,16,0.5625,16,0.6429,14,ASAN,5,1,562,567
500,125,63,0.4921,0.5294,0.7308,0.2678,0.5397,0.525,40,0.5676,37,1.0,2,ASAN,5,2,625,630
550,138,63,0.4286,0.5263,0.705,0.2559,0.6032,1.0,2,,0,,0,ASAN,5,3,688,693
600,151,63,0.5397,0.6944,0.6495,0.2288,0.5238,0.5345,58,0.7241,29,0.7241,29,ASAN,5,4,751,756
651,163,63,0.4286,0.5226,0.7287,0.2676,0.4286,0.4286,63,0.4407,59,,0,ASAN,5,5,814,819
701,176,63,0.5556,0.5888,0.6916,0.2491,0.4444,0.5,30,0.5,30,0.5,30,ASAN,5,6,877,882
752,188,63,0.4762,0.5289,2.624,0.3462,0.3333,0.38,50,0.3103,29,0.3333,27,ASAN,5,7,940,945
802,201,63,0.4762,0.5769,2.3288,0.3116,0.381,0.4211,57,0.44,25,0.4167,12,ASAN,5,8,1003,1008
399,100,63,0.619,0.6454,0.6649,0.2375,0.4444,0.5667,30,0.5833,24,0.5833,24,ASTS,5,0,499,504
449,113,63,0.254,0.5376,1.2091,0.4685,0.8095,1.0,4,1.0,4,1.0,4,ASTS,5,1,562,567
500,125,63,0.4127,0.5,0.7472,0.2766,0.4127,0.4127,63,0.4127,63,,0,ASTS,5,2,625,630
550,138,63,0.4444,0.5931,3.0287,0.4258,0.4286,0.4355,62,0.4355,62,0.4355,62,ASTS,5,3,688,693
600,151,63,0.5238,0.4803,1.5038,0.3169,0.5238,0.5556,27,0.3333,6,0.3333,6,ASTS,5,4,751,756
651,163,63,0.4921,0.3624,0.7711,0.2867,0.5079,,0,,0,,0,ASTS,5,5,814,819
701,176,63,0.5873,0.5365,0.6875,0.2495,0.5397,0.75,16,,0,,0,ASTS,5,6,877,882
752,188,63,0.5397,0.5439,0.6985,0.2528,0.5079,0.5714,21,0.5714,21,0.5714,21,ASTS,5,7,940,945
802,201,63,0.4127,0.724,0.7014,0.2542,0.4127,0.4127,63,0.5417,48,0.6,5,ASTS,5,8,1003,1008
399,100,63,0.6984,0.5682,0.6405,0.2283,0.6508,0.6833,60,,0,,0,AXP,5,0,499,504
449,113,63,0.6349,0.671,0.8458,0.2247,0.5873,0.6207,58,0.6207,58,0.6207,58,AXP,5,1,562,567
500,125,63,0.619,0.5126,3.9106,0.3477,0.746,0.7805,41,0.7805,41,0.7805,41,AXP,5,2,625,630
550,138,63,0.4762,0.4879,2.0124,0.3515,0.4762,0.4762,63,0.4762,63,0.4762,63,AXP,5,3,688,693
600,151,63,0.4921,0.6028,0.8025,0.2976,0.4921,0.4921,63,0.4921,63,0.4921,63,AXP,5,4,751,756
651,163,63,0.5079,0.5156,0.691,0.2489,0.5079,0.5079,63,1.0,1,,0,AXP,5,5,814,819
701,176,63,0.5238,0.5326,4.0241,0.3941,0.6825,0.8095,21,0.6,5,0.0,1,AXP,5,6,877,882
752,188,63,0.4762,0.5,0.7232,0.2648,0.5238,,0,,0,,0,AXP,5,7,940,945
802,201,63,0.4127,0.3789,0.8958,0.331,0.4127,0.4127,63,0.2105,19,0.2105,19,AXP,5,8,1003,1008
399,100,63,0.5556,0.3599,0.8028,0.2939,0.6825,0.6415,53,0.6415,53,0.0,2,AZN,5,0,499,504
449,113,63,0.3651,0.3523,0.8152,0.3089,0.4921,0.3902,41,0.3902,41,0.3902,41,AZN,5,1,562,567
500,125,63,0.381,0.5,0.7179,0.2624,0.381,0.381,63,,0,,0,AZN,5,2,625,630
550,138,63,0.5079,0.5774,0.6531,0.2339,0.5873,0.875,8,0.875,8,0.875,8,AZN,5,3,688,693
600,151,63,0.619,0.6764,0.623,0.2201,0.5714,0.6429,42,0.7308,26,0.8125,16,AZN,5,4,751,756
651,163,63,0.4127,0.6117,0.7237,0.2653,0.6667,0.8571,7,0.8,5,0.8,5,AZN,5,5,814,819
701,176,63,0.2698,0.3484,2.0378,0.3759,0.4603,0.2927,41,0.2927,41,0.3243,37,AZN,5,6,877,882
752,188,63,0.4286,0.51,0.6755,0.2433,0.6508,0.619,21,0.619,21,1.0,7,AZN,5,7,940,945
802,201,63,0.3175,0.5727,0.745,0.2741,0.3175,0.3175,63,0.375,8,0.375,8,AZN,5,8,1003,1008
399,100,63,0.3175,0.305,1.3029,0.3356,0.3333,0.1765,34,0.1481,27,0.1538,26,BA,5,0,499,504
449,113,63,0.5079,0.5035,0.7127,0.2589,0.4921,0.5,16,0.0,1,0.0,1,BA,5,1,562,567
500,125,63,0.5238,0.5668,0.6815,0.2442,0.3651,0.4103,39,,0,,0,BA,5,2,625,630
